"","Site","Block","Tree","Source","Name","cond","ht"
"1","SF",1,1,"AK","AK3",1,30
"2","SF",1,2,"AK","AK3",1,29
"3","SF",1,3,"AK","AK3",1,23
"4","SF",1,4,"AK","AK3",1,32
"5","SF",1,1,"AK","AK6",1,36
"6","SF",1,2,"AK","AK6",1,19
"7","SF",1,3,"AK","AK6",1,43
"8","SF",1,5,"AK","AK6",1,38
"9","SF",1,1,"AK","AK9",1,25
"10","SF",1,2,"AK","AK9",1,36
"11","SF",1,3,"AK","AK9",1,56
"12","SF",1,4,"AK","AK9",1,43
"13","SF",1,5,"AK","AK9",1,34
"14","SF",1,1,"BA","BA2",1,46
"15","SF",1,2,"BA","BA2",1,59
"16","SF",1,3,"BA","BA2",1,35
"17","SF",1,4,"BA","BA2",1,38
"18","SF",1,5,"BA","BA2",1,35
"19","SF",1,1,"BA","BA3",1,33
"20","SF",1,2,"BA","BA3",1,36
"21","SF",1,3,"BA","BA3",1,50
"22","SF",1,4,"BA","BA3",1,48
"23","SF",1,5,"BA","BA3",1,50
"24","SF",1,1,"BA","BA5",1,23
"25","SF",1,2,"BA","BA5",1,20
"26","SF",1,3,"BA","BA5",1,44
"27","SF",1,4,"BA","BA5",1,31
"28","SF",1,5,"BA","BA5",1,27
"29","SF",1,1,"BC","BC3",1,33
"30","SF",1,2,"BC","BC3",1,42
"31","SF",1,3,"BC","BC3",1,38
"32","SF",1,4,"BC","BC3",1,35
"33","SF",1,5,"BC","BC3",1,58
"34","SF",1,1,"BC","BC6",1,24
"35","SF",1,2,"BC","BC6",1,37
"36","SF",1,3,"BC","BC6",1,50
"37","SF",1,4,"BC","BC6",1,22
"38","SF",1,5,"BC","BC6",1,48
"39","SF",1,1,"BC","BC8",1,38
"40","SF",1,3,"BC","BC8",1,29
"41","SF",1,4,"BC","BC8",1,43
"42","SF",1,5,"BC","BC8",1,36
"43","SF",1,1,"BK","BK2",1,46
"44","SF",1,2,"BK","BK2",1,33
"45","SF",1,3,"BK","BK2",1,31
"46","SF",1,4,"BK","BK2",1,36
"47","SF",1,5,"BK","BK2",1,47
"48","SF",1,1,"BK","BK3",1,47
"49","SF",1,2,"BK","BK3",1,43
"50","SF",1,3,"BK","BK3",1,35
"51","SF",1,4,"BK","BK3",1,51
"52","SF",1,5,"BK","BK3",1,22
"53","SF",1,1,"BK","BK5",1,30
"54","SF",1,2,"BK","BK5",1,39
"55","SF",1,3,"BK","BK5",1,17
"56","SF",1,4,"BK","BK5",1,35
