"","Site","Block","Tree","Source","Name","cond","ht"
"1","PV",1,1,"AK","AK3",1,169
"2","PV",1,2,"AK","AK3",2,137
"3","PV",1,3,"AK","AK3",2,225
"4","PV",1,4,"AK","AK3",1,90
"5","PV",1,5,"AK","AK3",2,276
"6","PV",1,1,"AK","AK6",3,155
"7","PV",1,2,"AK","AK6",3,144
"8","PV",1,3,"AK","AK6",3,69
"9","PV",1,4,"AK","AK6",3,154
"10","PV",1,5,"AK","AK6",2,205
"11","PV",1,1,"AK","AK9",4,112
"12","PV",1,3,"AK","AK9",3,74
"13","PV",1,4,"AK","AK9",3,198
"14","PV",1,5,"AK","AK9",1,145
"15","PV",1,1,"BA","BA2",1,134
"16","PV",1,2,"BA","BA2",1,88
"17","PV",1,3,"BA","BA2",1,141
"18","PV",1,4,"BA","BA2",1,234
"19","PV",1,5,"BA","BA2",1,116
"20","PV",1,1,"BA","BA3",1,115
"21","PV",1,3,"BA","BA3",1,162
"22","PV",1,4,"BA","BA3",1,201
"23","PV",1,5,"BA","BA3",1,147
"24","PV",1,2,"BA","BA5",1,194
"25","PV",1,3,"BA","BA5",3,167
"26","PV",1,4,"BA","BA5",1,212
"27","PV",1,5,"BA","BA5",3,184
"28","PV",1,1,"BC","BC3",3,218
"29","PV",1,2,"BC","BC3",1,123
"30","PV",1,3,"BC","BC3",2,156
"31","PV",1,5,"BC","BC3",3,63
"32","PV",1,3,"BC","BC6",1,219
"33","PV",1,4,"BC","BC6",2,134
"34","PV",1,2,"BC","BC8",3,174
"35","PV",1,3,"BC","BC8",1,138
"36","PV",1,4,"BC","BC8",1,161
"37","PV",1,5,"BC","BC8",1,172
"38","PV",1,1,"BK","BK2",1,133
"39","PV",1,2,"BK","BK2",1,128
"40","PV",1,5,"BK","BK2",2,111
"41","PV",1,2,"BK","BK3",1,188
"42","PV",1,3,"BK","BK3",1,186
"43","PV",1,4,"BK","BK3",2,194
"44","PV",1,1,"BK","BK5",1,153
"45","PV",1,3,"BK","BK5",2,1
"46","PV",1,4,"BK","BK5",2,88
"47","PV",1,5,"BK","BK5",1,179
"48","PV",1,1,"BL","BL1",1,132
"49","PV",1,3,"BL","BL1",1,292
"50","PV",1,5,"BL","BL1",1,109
"51","PV",1,1,"BL","BL2",2,116
"52","PV",1,3,"BL","BL2",1,153
"53","PV",1,5,"BL","BL2",1,174
"54","PV",1,1,"BL","BL3",1,195
"55","PV",1,2,"BL","BL3",1,204
"56","PV",1,3,"BL","BL3",3,159
"57","PV",1,4,"BL","BL3",3,221
"58","PV",1,1,"BR","BR3",2,181
