"","Site","Block","Tree","Source","Name","cond","ht"
"1","SO",1,1,"AK","AK3",2,48
"2","SO",1,4,"AK","AK3",2,30
"3","SO",1,5,"AK","AK3",2,58
"4","SO",1,6,"AK","AK3",1,40
"5","SO",1,1,"AK","AK6",2,40
"6","SO",1,2,"AK","AK6",2,57
"7","SO",1,4,"AK","AK6",2,37
"8","SO",1,5,"AK","AK6",2,35
"9","SO",1,1,"AK","AK9",2,20
"10","SO",1,2,"AK","AK9",2,18
"11","SO",1,5,"AK","AK9",2,44
"12","SO",1,2,"BA","BA2",2,47
"13","SO",1,5,"BA","BA2",2,34
"14","SO",1,1,"BA","BA3",2,44
"15","SO",1,4,"BA","BA3",2,32
"16","SO",1,5,"BA","BA3",2,28
"17","SO",1,1,"BA","BA5",1,49
"18","SO",1,2,"BA","BA5",2,37
"19","SO",1,3,"BA","BA5",1,18
"20","SO",1,5,"BA","BA5",2,34
"21","SO",1,2,"BC","BC3",2,24
"22","SO",1,3,"BC","BC3",2,53
"23","SO",1,4,"BC","BC3",2,56
"24","SO",1,1,"BC","BC6",1,34
"25","SO",1,2,"BC","BC6",2,36
"26","SO",1,3,"BC","BC6",2,50
"27","SO",1,4,"BC","BC6",2,56
"28","SO",1,5,"BC","BC6",2,33
"29","SO",1,1,"BC","BC8",2,28
"30","SO",1,2,"BC","BC8",2,55
"31","SO",1,4,"BC","BC8",1,45
"32","SO",1,5,"BC","BC8",2,37
"33","SO",1,1,"BK","BK2",2,39
"34","SO",1,2,"BK","BK2",2,31
"35","SO",1,3,"BK","BK2",1,50
"36","SO",1,4,"BK","BK2",1,66
"37","SO",1,5,"BK","BK2",1,25
"38","SO",1,1,"BK","BK3",1,30
"39","SO",1,1,"BK","BK5",1,60
"40","SO",1,2,"BK","BK5",2,48
"41","SO",1,4,"BK","BK5",2,58
"42","SO",1,5,"BK","BK5",2,52
"43","SO",1,1,"BL","BL1",2,19
"44","SO",1,2,"BL","BL1",2,47
"45","SO",1,3,"BL","BL1",2,45
"46","SO",1,4,"BL","BL1",2,27
"47","SO",1,5,"BL","BL1",1,28
"48","SO",1,2,"BL","BL2",2,49
"49","SO",1,4,"BL","BL2",1,55
"50","SO",1,5,"BL","BL2",2,60
"51","SO",1,3,"BL","BL3",1,51
"52","SO",1,5,"BL","BL3",2,25
"53","SO",1,1,"BR","BR3",2,23
"54","SO",1,2,"BR","BR3",2,25
"55","SO",1,4,"BR","BR3",1,21
"56","SO",1,5,"BR","BR3",2,44
"57","SO",1,1,"BR","BR7",2,52
"58","SO",1,3,"BR","BR7",2,42
"59","SO",1,4,"BR","BR7",2,42
"60","SO",1,1,"CA","CA3",1,43
"61","SO",1,2,"CA","CA3",1,28
"62","SO",1,4,"CA","CA3",2,17
"63","SO",1,5,"CA","CA3",2,12
"64","SO",1,1,"CA","CA4",2,67
"65","SO",1,2,"CA","CA4",2,19
"66","SO",1,3,"CA","CA4",2,39
"67","SO",1,4,"CA","CA4",2,27
"68","SO",1,1,"CB","CB1",1,42
"69","SO",1,3,"CB","CB1",2,27
"70","SO",1,1,"CC","CC2",2,43
"71","SO",1,2,"CC","CC2",2,23
"72","SO",1,3,"CC","CC2",2,27
"73","SO",1,4,"CC","CC4",2,25
"74","SO",1,3,"CC","CC7",1,24
"75","SO",1,4,"CC","CC7",2,55
"76","SO",1,5,"CC","CC7",2,46
"77","SO",1,1,"CL","CL1",1,40
"78","SO",1,2,"CL","CL1",1,39
"79","SO",1,3,"CP","CP24",1,36
"80","SO",1,1,"CP","CP26",2,1
"81","SO",1,2,"CP","CP26",2,20
"82","SO",1,3,"CP","CP26",2,39
"83","SO",1,4,"CP","CP26",1,46
"84","SO",1,5,"CP","CP26",2,48
"85","SO",1,1,"CP","CP9",2,34
"86","SO",1,2,"CP","CP9",2,54
"87","SO",1,3,"CP","CP9",1,58
"88","SO",1,5,"CP","CP9",2,22
"89","SO",1,1,"CR","CR2",2,47
"90","SO",1,2,"CR","CR2",2,40
"91","SO",1,5,"CR","CR2",2,44
"92","SO",1,1,"CR","CR3",1,32
"93","SO",1,4,"CR","CR3",1,19
"94","SO",1,6,"CR","CR3",2,41
"95","SO",1,1,"CR","CR4",2,43
"96","SO",1,2,"CR","CR4",1,29
"97","SO",1,3,"CR","CR4",1,22
"98","SO",1,4,"CR","CR4",1,34
"99","SO",1,1,"CY","CY6",2,58
"100","SO",1,2,"CY","CY6",1,42
"101","SO",1,4,"CY","CY6",2,33
"102","SO",1,5,"CY","CY6",2,51
"103","SO",1,2,"DE","DE2",2,70
"104","SO",1,3,"DE","DE2",2,24
"105","SO",1,4,"DE","DE2",2,29
"106","SO",1,1,"DE","DE4",1,31
"107","SO",1,3,"DE","DE4",1,57
"108","SO",1,5,"DE","DE4",2,34
"109","SO",1,1,"DE","DE5",2,41
"110","SO",1,2,"DE","DE5",2,30
"111","SO",1,3,"DE","DE5",2,44
"112","SO",1,4,"DE","DE5",1,48
"113","SO",1,5,"DE","DE5",2,1
"114","SO",1,1,"DE","DE6",1,24
"115","SO",1,2,"DE","DE6",2,45
"116","SO",1,3,"DE","DE6",2,52
"117","SO",1,4,"DE","DE6",1,41
"118","SO",1,5,"DE","DE6",2,31
"119","SO",1,1,"FB","FB3",2,64
"120","SO",1,3,"FB","FB3",2,32
"121","SO",1,4,"FB","FB3",2,2
"122","SO",1,5,"FB","FB3",2,63
"123","SO",1,1,"FB","FB9",2,35
"124","SO",1,2,"FB","FB9",2,24
"125","SO",1,4,"FB","FB9",1,40
"126","SO",1,5,"FB","FB9",2,49
"127","SO",1,1,"FW","FW10",2,26
"128","SO",1,2,"FW","FW10",2,43
"129","SO",1,3,"FW","FW10",2,26
"130","SO",1,4,"FW","FW10",2,53
"131","SO",1,5,"FW","FW10",2,29
"132","SO",1,1,"FW","FW3",1,20
"133","SO",1,2,"FW","FW3",2,33
"134","SO",1,3,"FW","FW3",2,30
"135","SO",1,4,"FW","FW3",1,52
"136","SO",1,5,"FW","FW3",2,31
"137","SO",1,1,"GA","GA1",1,39
"138","SO",1,2,"GA","GA1",2,43
"139","SO",1,3,"GA","GA1",2,27
"140","SO",1,4,"GA","GA1",2,24
"141","SO",1,5,"GA","GA1",2,15
"142","SO",1,1,"GA","GA2",2,34
"143","SO",1,2,"GA","GA2",2,32
"144","SO",1,3,"GA","GA2",2,28
"145","SO",1,5,"GA","GA2",1,65
"146","SO",1,1,"GA","GA3",2,7
"147","SO",1,3,"GA","GA3",2,30
"148","SO",1,4,"GA","GA3",2,45
"149","SO",1,5,"GA","GA3",2,36
"150","SO",1,1,"GP","GP1",2,44
"151","SO",1,2,"GP","GP1",1,31
"152","SO",1,3,"GP","GP1",2,40
"153","SO",1,5,"GP","GP1",1,26
"154","SO",1,1,"GP","GP2",2,47
"155","SO",1,2,"GP","GP2",2,50
"156","SO",1,3,"GP","GP2",2,58
"157","SO",1,4,"GP","GP2",2,30
"158","SO",1,5,"GP","GP2",2,26
"159","SO",1,4,"HC","HC1",2,34
"160","SO",1,5,"HC","HC1",1,19
"161","SO",1,1,"HC","HC2",2,39
