"","Site","Block","Tree","Source","Name","cond","ht"
"1","PH",1,3,"AK","AK9",2,147
"2","PH",1,4,"AK","AK9",1,142
"3","PH",1,5,"AK","AK9",2,155
"4","PH",1,1,"BA","BA2",1,111
"5","PH",1,4,"BA","BA2",2,135
"6","PH",1,5,"BA","BA2",2,110
"7","PH",1,4,"BA","BA3",1,180
"8","PH",1,5,"BA","BA3",2,187
"9","PH",1,2,"BA","BA5",2,74
"10","PH",1,3,"BA","BA5",1,74
"11","PH",1,1,"BC","BC3",2,168
"12","PH",1,3,"BC","BC3",2,204
"13","PH",1,4,"BC","BC3",1,110
"14","PH",1,5,"BC","BC3",1,202
"15","PH",1,4,"BC","BC6",1,156
"16","PH",1,5,"BC","BC6",2,148
"17","PH",1,5,"BK","BK2",1,180
"18","PH",1,5,"BK","BK3",2,136
"19","PH",1,2,"BK","BK5",1,145
"20","PH",1,3,"BK","BK5",2,199
"21","PH",1,4,"BK","BK5",2,142
"22","PH",1,5,"BK","BK5",2,86
"23","PH",1,1,"BL","BL1",2,142
"24","PH",1,5,"BL","BL1",1,115
"25","PH",1,2,"BL","BL2",2,156
"26","PH",1,5,"BL","BL2",2,141
"27","PH",1,2,"BR","BR3",1,90
"28","PH",1,1,"BR","BR7",1,226
"29","PH",1,4,"BR","BR7",2,186
"30","PH",1,5,"BR","BR7",1,158
"31","PH",1,3,"CA","CA3",1,137
"32","PH",1,4,"CA","CA3",2,136
"33","PH",1,5,"CA","CA3",1,90
"34","PH",1,1,"CA","CA4",1,146
"35","PH",1,2,"CA","CA4",1,147
"36","PH",1,4,"CA","CA4",2,236
"37","PH",1,5,"CA","CA4",1,93
"38","PH",1,3,"CC","CC2",1,98
"39","PH",1,4,"CC","CC2",2,142
"40","PH",1,5,"CC","CC2",2,140
"41","PH",1,5,"CC","CC7",2,209
"42","PH",1,3,"CP","CP9",2,81
"43","PH",1,5,"CR","CR2",2,127
"44","PH",1,4,"CR","CR3",2,121
"45","PH",1,5,"CR","CR4",2,204
"46","PH",1,3,"CY","CY6",2,130
"47","PH",1,4,"DE","DE2",1,186
"48","PH",1,3,"DE","DE4",2,161
"49","PH",1,4,"DE","DE4",2,86
"50","PH",1,5,"DE","DE4",2,181
"51","PH",1,5,"DE","DE5",2,131
"52","PH",1,4,"DE","DE6",1,82
"53","PH",1,5,"DE","DE6",1,128
"54","PH",1,2,"FB","FB3",2,74
"55","PH",1,4,"FB","FB3",2,202
"56","PH",1,5,"FB","FB3",1,94
"57","PH",1,4,"FB","FB9",2,145
"58","PH",1,3,"FW","FW3",2,143
"59","PH",1,1,"GA","GA1",2,183
"60","PH",1,2,"GA","GA1",2,177
"61","PH",1,3,"GA","GA1",1,158
"62","PH",1,4,"GA","GA1",2,133
"63","PH",1,2,"GA","GA3",2,158
"64","PH",1,4,"GA","GA3",1,96
"65","PH",1,5,"GA","GA3",1,136
"66","PH",1,1,"GP","GP2",1,78
"67","PH",1,2,"GP","GP2",2,147
"68","PH",1,5,"GP","GP2",2,178
"69","PH",1,4,"HC","HC1",2,83
"70","PH",1,5,"HC","HC1",1,111
"71","PH",1,5,"HP","HP1",1,116
"72","PH",1,3,"KL","KL10",2,134
"73","PH",1,5,"KL","KL11",2,97
"74","PH",1,3,"KL","KL12",2,136
"75","PH",1,5,"KL","KL13",2,125
"76","PH",1,4,"KL","KL14",2,123
"77","PH",1,5,"KL","KL14",1,104
"78","PH",1,1,"KL","KL6",2,97
"79","PH",1,4,"KL","KL6",1,84
"80","PH",1,5,"KL","KL6",1,190
"81","PH",1,5,"KL","KL7",2,142
"82","PH",1,4,"KM","KM1",2,107
"83","PH",1,4,"KM","KM10",1,129
"84","PH",1,1,"LA","LA10",2,172
"85","PH",1,4,"LA","LA10",1,187
"86","PH",1,5,"LA","LA10",1,78
"87","PH",1,3,"LA","LA5",1,155
"88","PH",1,3,"LA","LA8",1,112
"89","PH",1,4,"LA","LA8",1,171
"90","PH",1,5,"LA","LA8",2,141
"91","PH",1,4,"LC","LC1",2,113
"92","PH",1,4,"LC","LC2",2,151
"93","PH",1,4,"OK","OK1",2,197
"94","PH",1,2,"OL","OL1",1,169
"95","PH",1,5,"OL","OL1",2,227
"96","PH",1,1,"OR","OR1",1,144
"97","PH",1,5,"OR","OR1",2,102
"98","PH",1,2,"PA","PA1",2,95
"99","PH",1,5,"PA","PA1",2,147
"100","PH",1,5,"PA","PA4",2,102
"101","PH",1,3,"PF","PF1",1,161
"102","PH",1,4,"PF","PF1",2,155
"103","PH",1,5,"PF","PF1",2,89
"104","PH",1,4,"PF","PF2",1,161
"105","PH",1,5,"PF","PF2",1,192
"106","PH",1,5,"PF","PF4",2,123
"107","PH",1,5,"PL","PL1",1,57
"108","PH",1,2,"PL","PL11",2,123
"109","PH",1,3,"PL","PL11",1,150
"110","PH",1,5,"PL","PL11",2,141
"111","PH",1,2,"PL","PL4",1,93
"112","PH",1,4,"PL","PL4",2,191
"113","PH",1,1,"PL","PL7",1,164
"114","PH",1,3,"RA","RA8",2,211
"115","PH",1,1,"RV","RV4",2,137
"116","PH",1,3,"RV","RV4",2,84
"117","PH",1,4,"RV","RV4",1,96
"118","PH",1,5,"RV","RV4",2,135
"119","PH",1,2,"RV","RV8",1,114
"120","PH",1,4,"RV","RV8",2,98
"121","PH",1,5,"RV","RV8",1,137
"122","PH",1,5,"SA","SA5",1,102
"123","PH",1,1,"SA","SA7",2,291
"124","PH",1,3,"SA","SA7",2,225
"125","PH",1,4,"SC","SC4",1,151
"126","PH",1,1,"SN","SN1",1,143
"127","PH",1,2,"SN","SN1",2,145
"128","PH",1,3,"SN","SN1",2,86
"129","PH",1,5,"SN","SN1",2,104
"130","PH",1,1,"SN","SN2",1,109
"131","PH",1,3,"SN","SN2",1,205
"132","PH",1,4,"SN","SN2",1,135
"133","PH",1,5,"SN","SN2",2,86
"134","PH",1,4,"SN","SN3",2,70
"135","PH",1,4,"SN","SN4",1,145
"136","PH",1,5,"SN","SN4",2,118
"137","PH",1,3,"SR","SR2",1,148
"138","PH",1,5,"SR","SR2",2,83
"139","PH",1,5,"SR","SR3",1,142
"140","PH",1,4,"VE","VE10",1,89
"141","PH",1,5,"VE","VE10",2,139
"142","PH",1,5,"VE","VE5",1,180
"143","PH",1,5,"VE","VE7",2,110
"144","PH",1,5,"VI","VI3",2,1
"145","PH",1,5,"VI","VI5",2,156
"146","PH",1,1,"WL","WL8",1,135
"147","PH",1,5,"WL","WL8",4,148
"148","PH",1,3,"WV","WV2",1,64
"149","PH",1,4,"WV","WV2",1,205
"150","PH",1,3,"ZE","ZE1",2,167
"151","PH",1,4,"ZE","ZE4",1,68
"152","PH",2,1,"AK","AK6",1,158
"153","PH",2,2,"AK","AK6",2,117
"154","PH",2,1,"AK","AK9",2,71
"155","PH",2,3,"AK","AK9",2,113
"156","PH",2,4,"AK","AK9",2,165
"157","PH",2,1,"BA","BA2",2,142
"158","PH",2,1,"BA","BA3",1,102
"159","PH",2,3,"BA","BA3",2,202
"160","PH",2,1,"BA","BA5",2,145
"161","PH",2,2,"BA","BA5",2,151
"162","PH",2,4,"BA","BA5",1,150
"163","PH",2,5,"BA","BA5",2,180
"164","PH",2,1,"BC","BC3",1,147
"165","PH",2,1,"BC","BC6",2,111
"166","PH",2,2,"BC","BC6",1,128
"167","PH",2,3,"BC","BC6",1,166
"168","PH",2,5,"BC","BC6",1,66
"169","PH",2,1,"BC","BC8",2,165
"170","PH",2,2,"BC","BC8",1,22
"171","PH",2,3,"BC","BC8",2,95
"172","PH",2,1,"BK","BK2",2,107
"173","PH",2,2,"BK","BK2",1,112
"174","PH",2,4,"BK","BK2",2,107
"175","PH",2,1,"BK","BK3",1,176
"176","PH",2,3,"BK","BK3",1,169
"177","PH",2,1,"BK","BK5",1,90
"178","PH",2,3,"BK","BK5",1,85
"179","PH",2,1,"BL","BL1",1,150
"180","PH",2,2,"BL","BL1",2,133
"181","PH",2,3,"BL","BL1",1,105
"182","PH",2,4,"BL","BL1",1,122
"183","PH",2,1,"BL","BL2",2,108
"184","PH",2,3,"BL","BL2",1,107
"185","PH",2,4,"BL","BL2",1,141
"186","PH",2,5,"BL","BL2",2,129
"187","PH",2,1,"BL","BL3",2,135
"188","PH",2,2,"BL","BL3",2,141
"189","PH",2,3,"BL","BL3",2,126
"190","PH",2,4,"BL","BL3",1,145
"191","PH",2,5,"BL","BL3",2,120
"192","PH",2,4,"BR","BR3",2,105
"193","PH",2,1,"BR","BR7",1,159
"194","PH",2,3,"BR","BR7",1,9
"195","PH",2,5,"BR","BR7",1,165
"196","PH",2,1,"CA","CA3",1,127
"197","PH",2,2,"CA","CA3",2,125
"198","PH",2,4,"CA","CA3",1,168
"199","PH",2,3,"CA","CA4",2,99
"200","PH",2,1,"CB","CB1",2,140
"201","PH",2,2,"CB","CB1",1,153
"202","PH",2,3,"CB","CB1",2,141
"203","PH",2,4,"CB","CB1",2,130
"204","PH",2,1,"CC","CC2",2,184
"205","PH",2,3,"CC","CC2",1,140
"206","PH",2,4,"CC","CC2",2,127
"207","PH",2,5,"CC","CC2",1,150
"208","PH",2,1,"CC","CC4",1,166
"209","PH",2,2,"CC","CC4",1,102
"210","PH",2,3,"CC","CC4",2,138
"211","PH",2,4,"CC","CC4",1,219
"212","PH",2,5,"CC","CC4",2,170
"213","PH",2,2,"CC","CC7",1,176
"214","PH",2,5,"CC","CC7",2,156
"215","PH",2,2,"CL","CL1",1,238
"216","PH",2,5,"CP","CP24",1,123
"217","PH",2,1,"CP","CP26",1,189
"218","PH",2,2,"CP","CP26",2,96
"219","PH",2,3,"CP","CP26",2,211
"220","PH",2,4,"CP","CP26",1,119
"221","PH",2,1,"CP","CP9",1,88
"222","PH",2,2,"CP","CP9",2,185
"223","PH",2,3,"CP","CP9",2,130
"224","PH",2,4,"CP","CP9",1,87
"225","PH",2,1,"CR","CR2",1,173
"226","PH",2,2,"CR","CR2",2,147
"227","PH",2,4,"CR","CR2",1,173
"228","PH",2,1,"CR","CR3",1,123
"229","PH",2,2,"CR","CR3",1,120
"230","PH",2,4,"CR","CR3",1,170
"231","PH",2,1,"CR","CR4",2,125
"232","PH",2,2,"CR","CR4",2,218
"233","PH",2,3,"CR","CR4",1,135
"234","PH",2,4,"CR","CR4",1,106
"235","PH",2,5,"CR","CR4",1,157
"236","PH",2,2,"CY","CY6",1,137
"237","PH",2,4,"CY","CY6",1,171
"238","PH",2,5,"CY","CY6",2,139
"239","PH",2,2,"DE","DE2",1,108
"240","PH",2,4,"DE","DE2",1,109
"241","PH",2,5,"DE","DE2",2,156
"242","PH",2,1,"DE","DE4",2,164
"243","PH",2,2,"DE","DE4",2,160
"244","PH",2,4,"DE","DE4",1,171
"245","PH",2,5,"DE","DE4",2,167
"246","PH",2,2,"DE","DE5",2,110
"247","PH",2,3,"DE","DE5",2,170
"248","PH",2,5,"DE","DE5",2,151
"249","PH",2,1,"DE","DE6",1,39
"250","PH",2,3,"DE","DE6",2,171
"251","PH",2,1,"FB","FB3",2,126
"252","PH",2,2,"FB","FB3",2,149
"253","PH",2,3,"FB","FB3",2,70
"254","PH",2,4,"FB","FB3",1,141
"255","PH",2,5,"FB","FB3",2,149
"256","PH",2,2,"FB","FB9",2,69
"257","PH",2,1,"FW","FW10",2,129
"258","PH",2,1,"FW","FW3",2,112
"259","PH",2,2,"FW","FW3",1,135
"260","PH",2,1,"GA","GA1",2,135
"261","PH",2,5,"GA","GA1",2,173
"262","PH",2,1,"GA","GA2",1,82
"263","PH",2,2,"GA","GA2",1,158
"264","PH",2,3,"GA","GA2",1,145
"265","PH",2,4,"GA","GA2",2,155
"266","PH",2,1,"GA","GA3",2,166
"267","PH",2,3,"GA","GA3",1,204
"268","PH",2,1,"GP","GP1",2,87
"269","PH",2,2,"GP","GP1",2,138
"270","PH",2,3,"GP","GP1",1,138
"271","PH",2,2,"GP","GP2",1,161
"272","PH",2,3,"GP","GP2",1,157
"273","PH",2,1,"HC","HC1",1,197
"274","PH",2,2,"HC","HC1",1,93
"275","PH",2,3,"HC","HC1",1,138
"276","PH",2,1,"HC","HC2",1,203
"277","PH",2,2,"HC","HC2",1,113
"278","PH",2,3,"HC","HC2",1,164
"279","PH",2,5,"HC","HC2",1,91
"280","PH",2,1,"HP","HP1",1,169
"281","PH",2,1,"KL","KL10",1,158
"282","PH",2,2,"KL","KL10",2,207
"283","PH",2,1,"KL","KL11",2,162
"284","PH",2,3,"KL","KL11",1,127
