"","Site","Block","Tree","Source","Name","cond","ht"
"1","BL",1,4,"AK","AK6",4,28
"2","BL",1,2,"BA","BA3",4,30
"3","BL",1,1,"BA","BA5",4,34
"4","BL",1,4,"BC","BC3",4,14
"5","BL",1,1,"BC","BC6",4,56
"6","BL",1,3,"BC","BC6",4,49
"7","BL",1,2,"BK","BK2",4,42
"8","BL",1,3,"BK","BK2",1,14
"9","BL",1,3,"BK","BK3",4,24
"10","BL",1,5,"BL","BL1",4,31
"11","BL",1,3,"BR","BR3",4,41
"12","BL",1,4,"BR","BR3",4,34
"13","BL",1,1,"BR","BR7",4,30
"14","BL",1,2,"BR","BR7",1,29
"15","BL",1,3,"BR","BR7",4,43
"16","BL",1,5,"CB","CB1",4,35
"17","BL",1,5,"CC","CC2",4,31
"18","BL",1,3,"CC","CC4",4,27
"19","BL",1,5,"CC","CC4",4,28
"20","BL",1,1,"CC","CC7",4,4
"21","BL",1,4,"CC","CC7",4,21
"22","BL",1,3,"CP","CP26",4,30
"23","BL",1,4,"CP","CP26",4,23
"24","BL",1,4,"CY","CY6",4,42
"25","BL",1,5,"DE","DE2",1,26
"26","BL",1,3,"DE","DE6",4,31
"27","BL",1,5,"DE","DE6",4,29
"28","BL",1,3,"FB","FB9",4,40
"29","BL",1,1,"FW","FW10",4,32
"30","BL",1,3,"GA","GA1",4,20
"31","BL",1,5,"GA","GA1",4,34
"32","BL",1,5,"GA","GA2",4,44
"33","BL",1,1,"GP","GP1",1,18
"34","BL",1,4,"GP","GP1",4,33
"35","BL",1,2,"GP","GP2",4,33
"36","BL",1,4,"GP","GP2",1,39
"37","BL",1,4,"HC","HC1",4,27
"38","BL",1,1,"HC","HC2",4,38
"39","BL",1,2,"HC","HC2",4,22
"40","BL",1,3,"HC","HC2",4,27
"41","BL",1,4,"HC","HC2",4,34
"42","BL",1,1,"KL","KL10",1,36
"43","BL",1,1,"KL","KL11",4,31
"44","BL",1,4,"KL","KL11",4,23
"45","BL",1,5,"KL","KL11",1,38
"46","BL",1,2,"KL","KL12",4,38
"47","BL",1,3,"KL","KL12",4,39
"48","BL",1,1,"KL","KL13",4,16
"49","BL",1,3,"KL","KL13",1,36
"50","BL",1,4,"KM","KM1",4,22
"51","BL",1,1,"KM","KM10",4,31
"52","BL",1,2,"LA","LA10",4,29
"53","BL",1,1,"LA","LA8",1,23
"54","BL",1,4,"LA","LA8",4,38
"55","BL",1,2,"LC","LC1",4,45
"56","BL",1,1,"OK","OK1",4,42
"57","BL",1,2,"OK","OK1",4,31
"58","BL",1,2,"OL","OL1",4,19
"59","BL",1,3,"OR","OR1",4,44
"60","BL",1,1,"PA","PA3",1,15
"61","BL",1,5,"PA","PA3",4,35
"62","BL",1,5,"PF","PF5",4,50
"63","BL",1,3,"PL","PL4",4,19
"64","BL",1,4,"PL","PL4",1,29
"65","BL",1,2,"RA","RA2",4,36
"66","BL",1,4,"RV","RV3",4,28
"67","BL",1,3,"RV","RV8",1,47
"68","BL",1,3,"SC","SC4",4,18
"69","BL",1,5,"SC","SC4",4,30
"70","BL",1,5,"SN","SN4",4,24
"71","BL",1,2,"SR","SR2",4,24
"72","BL",1,3,"SR","SR2",4,45
"73","BL",1,4,"SR","SR2",1,9
"74","BL",1,3,"VE","VE10",4,20
"75","BL",1,4,"VE","VE10",4,29
"76","BL",1,5,"VE","VE5",1,18
"77","BL",1,3,"VE","VE7",4,38
"78","BL",1,4,"VE","VE7",1,39
"79","BL",1,1,"VI","VI3",4,25
"80","BL",1,4,"VI","VI3",1,26
"81","BL",1,1,"VI","VI4",4,36
"82","BL",1,5,"VI","VI5",4,28
"83","BL",1,4,"WL","WL3",4,28
"84","BL",1,5,"WL","WL8",4,38
"85","BL",1,5,"WV","WV6",4,33
"86","BL",1,1,"ZE","ZE1",4,36
"87","BL",1,4,"ZE","ZE4",1,35
"88","BL",1,2,"ZE","ZE6",4,36
"89","BL",2,2,"AK","AK6",4,29
"90","BL",2,2,"BA","BA3",4,44
"91","BL",2,5,"BA","BA5",4,29
"92","BL",2,6,"BA","BA5",4,43
"93","BL",2,1,"BC","BC3",4,24
"94","BL",2,1,"BK","BK5",1,37
"95","BL",2,2,"BK","BK5",4,25
"96","BL",2,5,"BK","BK5",4,33
"97","BL",2,3,"BL","BL2",4,18
"98","BL",2,2,"BR","BR7",4,33
"99","BL",2,1,"CA","CA3",4,26
"100","BL",2,2,"CA","CA3",4,33
"101","BL",2,3,"CA","CA3",4,26
"102","BL",2,3,"CA","CA4",4,22
"103","BL",2,3,"CC","CC2",4,29
"104","BL",2,5,"CC","CC2",4,35
"105","BL",2,1,"CC","CC4",4,33
"106","BL",2,2,"CC","CC4",4,34
"107","BL",2,4,"CC","CC4",4,15
"108","BL",2,3,"CC","CC7",1,49
"109","BL",2,2,"CL","CL1",4,33
"110","BL",2,1,"CP","CP24",4,29
"111","BL",2,1,"CP","CP26",4,32
"112","BL",2,1,"CR","CR2",4,16
"113","BL",2,1,"CY","CY6",4,35
"114","BL",2,1,"DE","DE2",4,30
"115","BL",2,4,"DE","DE2",4,29
"116","BL",2,2,"DE","DE5",1,36
"117","BL",2,1,"FB","FB3",4,12
"118","BL",2,1,"FW","FW10",1,37
"119","BL",2,3,"FW","FW10",4,12
"120","BL",2,4,"FW","FW10",1,26
"121","BL",2,4,"GA","GA2",4,28
"122","BL",2,5,"GA","GA3",1,34
"123","BL",2,1,"GP","GP1",4,32
"124","BL",2,3,"GP","GP1",1,26
"125","BL",2,5,"GP","GP2",4,22
"126","BL",2,5,"HC","HC1",4,30
"127","BL",2,5,"HC","HC2",1,19
"128","BL",2,3,"KL","KL10",4,34
"129","BL",2,1,"KL","KL11",4,27
"130","BL",2,5,"KL","KL11",1,26
"131","BL",2,3,"KL","KL12",4,32
"132","BL",2,1,"KL","KL13",4,44
"133","BL",2,1,"KL","KL14",4,48
"134","BL",2,2,"KL","KL14",4,33
"135","BL",2,5,"KL","KL14",4,32
"136","BL",2,2,"LA","LA10",4,24
"137","BL",2,4,"LA","LA10",4,34
"138","BL",2,2,"LA","LA13",4,30
"139","BL",2,4,"LA","LA13",4,33
"140","BL",2,1,"LC","LC1",1,47
"141","BL",2,5,"OH","OH1",1,30
"142","BL",2,5,"OK","OK1",4,36
"143","BL",2,1,"OL","OL1",4,48
"144","BL",2,4,"OR","OR1",4,29
"145","BL",2,1,"PA","PA2",4,32
"146","BL",2,2,"PA","PA2",4,19
"147","BL",2,2,"PA","PA3",1,7
"148","BL",2,3,"PA","PA3",4,34
"149","BL",2,1,"PF","PF1",4,34
"150","BL",2,4,"PF","PF2",4,38
"151","BL",2,3,"PF","PF5",1,33
"152","BL",2,4,"PF","PF5",1,30
"153","BL",2,2,"PL","PL1",4,23
"154","BL",2,4,"PL","PL1",4,21
"155","BL",2,5,"PL","PL1",4,41
"156","BL",2,5,"PL","PL11",4,24
"157","BL",2,1,"PL","PL4",1,54
"158","BL",2,2,"PL","PL7",4,29
"159","BL",2,3,"PL","PL7",4,24
"160","BL",2,4,"PL","PL7",4,32
"161","BL",2,3,"RA","RA2",4,51
"162","BL",2,4,"RA","RA8",1,27
"163","BL",2,3,"RV","RV3",4,25
"164","BL",2,1,"SA","SA8",1,28
"165","BL",2,2,"SC","SC4",1,24
"166","BL",2,5,"SC","SC4",4,16
"167","BL",2,3,"SN","SN1",4,30
"168","BL",2,1,"SN","SN2",4,22
"169","BL",2,1,"SN","SN3",1,22
"170","BL",2,3,"SR","SR2",4,48
"171","BL",2,2,"SR","SR3",4,30
"172","BL",2,3,"SR","SR3",4,37
"173","BL",2,5,"SR","SR3",4,26
"174","BL",2,1,"VE","VE10",4,49
"175","BL",2,3,"VE","VE10",4,42
"176","BL",2,1,"VE","VE5",1,11
"177","BL",2,2,"VE","VE7",1,33
"178","BL",2,4,"VE","VE7",4,41
"179","BL",2,5,"VE","VE7",4,20
"180","BL",2,1,"VI","VI3",1,53
"181","BL",2,6,"VI","VI4",4,38
"182","BL",2,3,"WL","WL3",1,31
"183","BL",2,1,"WL","WL8",1,32
"184","BL",2,2,"WL","WL8",4,24
"185","BL",2,1,"WV","WV2",4,15
"186","BL",2,2,"WV","WV2",4,41
"187","BL",2,4,"WV","WV2",4,36
"188","BL",2,5,"WV","WV2",4,26
"189","BL",2,6,"ZE","ZE1",4,30
"190","BL",2,1,"ZE","ZE6",4,11
"191","BL",2,3,"ZE","ZE6",4,33
"192","BL",3,3,"AK","AK3",4,36
"193","BL",3,4,"AK","AK3",4,40
"194","BL",3,5,"AK","AK3",4,27
"195","BL",3,2,"AK","AK6",4,27
"196","BL",3,3,"AK","AK6",4,17
"197","BL",3,4,"AK","AK6",4,23
"198","BL",3,5,"AK","AK6",4,24
"199","BL",3,1,"AK","AK9",4,40
"200","BL",3,2,"AK","AK9",4,36
"201","BL",3,3,"AK","AK9",4,41
"202","BL",3,4,"AK","AK9",2,37
"203","BL",3,1,"BA","BA2",4,16
"204","BL",3,3,"BA","BA2",4,42
"205","BL",3,4,"BA","BA2",4,38
"206","BL",3,2,"BA","BA3",4,33
"207","BL",3,4,"BA","BA5",4,18
"208","BL",3,2,"BC","BC3",4,19
"209","BL",3,3,"BC","BC3",4,36
"210","BL",3,4,"BC","BC3",4,24
