,Site,Block,Tree,Source,Name,cond,ht
1,PH,1,1,AK,AK3,1,25
2,PH,1,4,AK,AK3,1,44
3,PH,1,5,AK,AK3,1,48
4,PH,2,1,AK,AK3,1,36
5,PH,2,2,AK,AK3,4,36
6,PH,2,3,AK,AK3,1,67
7,PH,2,4,AK,AK3,1,52
8,PH,2,5,AK,AK3,1,58
9,PH,3,1,AK,AK3,1,64
10,PH,3,2,AK,AK3,1,45
11,PH,3,4,AK,AK3,4,16
12,PH,3,5,AK,AK3,1,23
13,PH,4,1,AK,AK3,1,36
14,PH,4,2,AK,AK3,1,35
15,PH,4,3,AK,AK3,1,40
16,PH,4,4,AK,AK3,1,51
17,PH,4,5,AK,AK3,1,38
18,PH,,,AK,AK3,1,59
19,PH,,,AK,AK3,1,56
20,PH,,,AK,AK3,1,46
21,PH,1,1,AK,AK6,1,51
22,PH,1,3,AK,AK6,1,51
23,PH,1,5,AK,AK6,1,60
24,PH,2,1,AK,AK6,1,38
25,PH,2,2,AK,AK6,4,44
26,PH,2,3,AK,AK6,1,62
27,PH,2,5,AK,AK6,1,46
28,PH,3,1,AK,AK6,1,49
29,PH,3,2,AK,AK6,1,75
30,PH,3,3,AK,AK6,1,16
31,PH,3,4,AK,AK6,1,34
32,PH,3,5,AK,AK6,4,61
33,PH,4,1,AK,AK6,1,72
34,PH,4,2,AK,AK6,1,47
35,PH,4,3,AK,AK6,1,57
36,PH,4,5,AK,AK6,1,52
37,PH,,,AK,AK6,1,35
38,PH,,,AK,AK6,1,28
39,PH,,,AK,AK6,1,62
40,PH,,,AK,AK6,1,64
41,PH,1,1,AK,AK9,4,55
42,PH,1,3,AK,AK9,1,57
43,PH,1,4,AK,AK9,1,64
44,PH,1,5,AK,AK9,1,61
45,PH,2,1,AK,AK9,1,29
46,PH,2,2,AK,AK9,1,55
47,PH,2,3,AK,AK9,1,55
48,PH,2,4,AK,AK9,1,37
49,PH,2,5,AK,AK9,1,51
50,PH,3,1,AK,AK9,1,22
51,PH,3,2,AK,AK9,1,61
52,PH,3,3,AK,AK9,1,62
53,PH,3,4,AK,AK9,1,32
54,PH,3,5,AK,AK9,1,44
55,PH,4,2,AK,AK9,1,43
56,PH,4,3,AK,AK9,1,54
57,PH,4,4,AK,AK9,4,58
58,PH,,,AK,AK9,1,40
59,PH,,,AK,AK9,1,54
60,PH,1,1,BA,BA2,1,43
61,PH,1,2,BA,BA2,1,48
62,PH,1,3,BA,BA2,1,55
63,PH,1,4,BA,BA2,1,59
64,PH,1,5,BA,BA2,4,71
65,PH,1,6,BA,BA2,1,75
66,PH,2,1,BA,BA2,1,59
67,PH,2,3,BA,BA2,4,34
68,PH,2,4,BA,BA2,1,70
69,PH,3,1,BA,BA2,1,48
70,PH,3,2,BA,BA2,1,50
71,PH,3,3,BA,BA2,1,61
72,PH,3,4,BA,BA2,4,50
73,PH,3,5,BA,BA2,1,62
74,PH,4,1,BA,BA2,1,70
75,PH,4,2,BA,BA2,1,54
76,PH,4,3,BA,BA2,2,58
77,PH,4,4,BA,BA2,1,63
78,PH,4,5,BA,BA2,1,65
79,PH,,,BA,BA2,1,59
80,PH,1,1,BA,BA3,1,24
81,PH,1,2,BA,BA3,4,48
82,PH,1,3,BA,BA3,1,76
83,PH,1,4,BA,BA3,1,45
84,PH,1,5,BA,BA3,1,53
85,PH,1,6,BA,BA3,1,23
86,PH,2,1,BA,BA3,1,45
87,PH,2,2,BA,BA3,1,59
88,PH,2,3,BA,BA3,1,65
89,PH,2,4,BA,BA3,1,39
90,PH,3,2,BA,BA3,1,87
91,PH,3,3,BA,BA3,1,49
92,PH,3,4,BA,BA3,2,36
93,PH,3,5,BA,BA3,1,50
94,PH,4,1,BA,BA3,1,59
95,PH,4,2,BA,BA3,1,56
96,PH,4,3,BA,BA3,1,49
97,PH,4,4,BA,BA3,1,53
98,PH,4,5,BA,BA3,1,27
99,PH,,,BA,BA3,1,76
100,PH,1,1,BA,BA5,1,30
101,PH,1,2,BA,BA5,1,44
102,PH,1,3,BA,BA5,1,49
103,PH,1,4,BA,BA5,1,54
104,PH,1,5,BA,BA5,1,20
105,PH,2,1,BA,BA5,4,47
106,PH,2,2,BA,BA5,1,35
107,PH,2,3,BA,BA5,1,53
108,PH,2,4,BA,BA5,1,42
109,PH,2,5,BA,BA5,1,57
110,PH,3,1,BA,BA5,1,46
111,PH,3,2,BA,BA5,1,31
112,PH,3,3,BA,BA5,1,62
113,PH,3,4,BA,BA5,1,35
114,PH,3,5,BA,BA5,1,36
115,PH,4,1,BA,BA5,4,65
116,PH,4,2,BA,BA5,1,68
117,PH,4,3,BA,BA5,1,29
118,PH,4,4,BA,BA5,1,37
119,PH,4,5,BA,BA5,1,39
