"","Site","Block","Tree","Source","Name","cond","ht"
"1","PV",1,1,"AK","AK3",2,37
"2","PV",1,2,"AK","AK3",1,26
"3","PV",1,3,"AK","AK3",1,36
"4","PV",1,4,"AK","AK3",1,35
"5","PV",1,5,"AK","AK3",4,53
"6","PV",1,1,"AK","AK6",1,41
"7","PV",1,2,"AK","AK6",1,53
"8","PV",1,3,"AK","AK6",1,51
"9","PV",1,4,"AK","AK6",1,37
"10","PV",1,5,"AK","AK6",1,36
"11","PV",1,1,"AK","AK9",1,36
"12","PV",1,2,"AK","AK9",1,42
"13","PV",1,3,"AK","AK9",1,22
"14","PV",1,4,"AK","AK9",1,41
"15","PV",1,5,"AK","AK9",1,30
"16","PV",1,1,"BA","BA2",1,41
"17","PV",1,2,"BA","BA2",4,49
"18","PV",1,3,"BA","BA2",1,58
"19","PV",1,4,"BA","BA2",1,35
"20","PV",1,5,"BA","BA2",2,26
"21","PV",1,1,"BA","BA3",1,24
"22","PV",1,2,"BA","BA3",1,37
"23","PV",1,3,"BA","BA3",1,42
"24","PV",1,4,"BA","BA3",1,29
"25","PV",1,5,"BA","BA3",1,54
"26","PV",1,2,"BA","BA5",1,35
"27","PV",1,3,"BA","BA5",2,33
"28","PV",1,4,"BA","BA5",1,50
"29","PV",1,5,"BA","BA5",4,35
"30","PV",1,1,"BC","BC3",4,40
"31","PV",1,2,"BC","BC3",1,44
"32","PV",1,3,"BC","BC3",1,67
"33","PV",1,4,"BC","BC3",4,50
"34","PV",1,5,"BC","BC3",1,48
"35","PV",1,1,"BC","BC6",1,46
"36","PV",1,3,"BC","BC6",1,19
"37","PV",1,4,"BC","BC6",1,37
"38","PV",1,2,"BC","BC8",1,36
"39","PV",1,3,"BC","BC8",1,48
"40","PV",1,4,"BC","BC8",1,40
"41","PV",1,5,"BC","BC8",1,34
"42","PV",1,1,"BK","BK2",1,57
"43","PV",1,2,"BK","BK2",1,54
"44","PV",1,3,"BK","BK2",1,22
"45","PV",1,4,"BK","BK2",1,36
"46","PV",1,5,"BK","BK2",1,46
"47","PV",1,1,"BK","BK3",1,60
"48","PV",1,2,"BK","BK3",1,34
"49","PV",1,3,"BK","BK3",1,13
"50","PV",1,4,"BK","BK3",1,42
"51","PV",1,5,"BK","BK3",1,50
"52","PV",1,1,"BK","BK5",1,55
"53","PV",1,2,"BK","BK5",1,59
"54","PV",1,3,"BK","BK5",1,55
"55","PV",1,4,"BK","BK5",1,50
"56","PV",1,5,"BK","BK5",1,51
"57","PV",1,1,"BL","BL1",1,21
"58","PV",1,2,"BL","BL1",1,58
"59","PV",1,3,"BL","BL1",1,43
"60","PV",1,4,"BL","BL1",4,36
"61","PV",1,5,"BL","BL1",1,80
"62","PV",1,1,"BL","BL2",1,47
"63","PV",1,2,"BL","BL2",1,41
"64","PV",1,3,"BL","BL2",1,25
"65","PV",1,4,"BL","BL2",1,37
"66","PV",1,5,"BL","BL2",1,58
"67","PV",1,1,"BL","BL3",1,40
"68","PV",1,2,"BL","BL3",1,63
"69","PV",1,3,"BL","BL3",1,54
"70","PV",1,4,"BL","BL3",1,20
"71","PV",1,5,"BL","BL3",2,41
"72","PV",1,1,"BR","BR3",1,42
"73","PV",1,1,"BR","BR3",1,59
"74","PV",1,2,"BR","BR3",1,38
"75","PV",1,3,"BR","BR3",1,37
"76","PV",1,4,"BR","BR3",1,38
"77","PV",1,1,"BR","BR7",1,56
"78","PV",1,3,"BR","BR7",2,57
"79","PV",1,4,"BR","BR7",1,32
"80","PV",1,5,"BR","BR7",1,48
"81","PV",1,1,"CA","CA3",1,49
"82","PV",1,2,"CA","CA3",1,38
"83","PV",1,3,"CA","CA3",1,22
"84","PV",1,5,"CA","CA3",1,39
"85","PV",1,1,"CA","CA4",2,37
"86","PV",1,2,"CA","CA4",1,29
"87","PV",1,3,"CA","CA4",1,44
"88","PV",1,4,"CA","CA4",1,39
"89","PV",1,5,"CA","CA4",1,58
"90","PV",1,1,"CB","CB1",1,30
"91","PV",1,2,"CB","CB1",1,32
"92","PV",1,3,"CB","CB1",1,51
"93","PV",1,4,"CB","CB1",1,63
"94","PV",1,5,"CB","CB1",4,31
"95","PV",1,1,"CC","CC2",1,41
"96","PV",1,2,"CC","CC2",1,48
"97","PV",1,4,"CC","CC2",1,26
"98","PV",1,5,"CC","CC2",1,52
"99","PV",1,1,"CC","CC4",1,28
"100","PV",1,2,"CC","CC4",1,76
"101","PV",1,3,"CC","CC4",1,19
"102","PV",1,4,"CC","CC4",1,52
"103","PV",1,5,"CC","CC4",1,34
"104","PV",1,1,"CC","CC7",1,41
"105","PV",1,2,"CC","CC7",1,22
"106","PV",1,3,"CC","CC7",1,48
