,Site,Block,Tree,Source,Name,cond,ht
1,PV,1,1,AK,AK3,1,100
2,PV,1,2,AK,AK3,1,112
3,PV,1,3,AK,AK3,1,93
4,PV,1,4,AK,AK3,1,29
5,PV,1,5,AK,AK3,1,69
6,PV,1,1,AK,AK6,1,59
7,PV,1,2,AK,AK6,1,73
8,PV,1,3,AK,AK6,1,54
9,PV,1,4,AK,AK6,1,52
10,PV,1,5,AK,AK6,1,17
11,PV,1,1,AK,AK9,1,152
12,PV,1,2,AK,AK9,1,92
13,PV,1,3,AK,AK9,1,80
14,PV,1,4,AK,AK9,1,91
15,PV,1,5,AK,AK9,1,66
16,PV,1,1,BA,BA2,1,102
17,PV,1,2,BA,BA2,1,105
18,PV,1,3,BA,BA2,1,44
19,PV,1,4,BA,BA2,1,1
20,PV,1,5,BA,BA2,3,86
21,PV,1,1,BA,BA3,1,31
22,PV,1,3,BA,BA3,1,81
23,PV,1,4,BA,BA3,1,111
24,PV,1,5,BA,BA3,1,70
25,PV,1,2,BA,BA5,1,115
26,PV,1,3,BA,BA5,1,120
27,PV,1,4,BA,BA5,1,82
28,PV,1,5,BA,BA5,1,105
29,PV,1,1,BC,BC3,1,66
30,PV,1,2,BC,BC3,1,119
31,PV,1,3,BC,BC3,1,67
32,PV,1,4,BC,BC3,1,82
33,PV,1,5,BC,BC3,1,77
34,PV,1,1,BC,BC6,1,99
35,PV,1,3,BC,BC6,1,138
36,PV,1,4,BC,BC6,1,58
37,PV,1,2,BC,BC8,1,93
38,PV,1,3,BC,BC8,1,76
39,PV,1,4,BC,BC8,1,117
40,PV,1,5,BC,BC8,1,76
41,PV,1,1,BK,BK2,1,64
42,PV,1,2,BK,BK2,1,118
43,PV,1,3,BK,BK2,1,32
44,PV,1,4,BK,BK2,1,113
45,PV,1,5,BK,BK2,1,73
46,PV,1,1,BK,BK3,1,42
47,PV,1,2,BK,BK3,1,112
48,PV,1,3,BK,BK3,1,85
49,PV,1,4,BK,BK3,1,99
50,PV,1,5,BK,BK3,1,100
51,PV,1,1,BK,BK5,1,67
52,PV,1,2,BK,BK5,1,81
53,PV,1,3,BK,BK5,1,69
54,PV,1,4,BK,BK5,1,116
55,PV,1,5,BK,BK5,1,116
56,PV,1,1,BL,BL1,1,96
57,PV,1,2,BL,BL1,1,106
58,PV,1,3,BL,BL1,1,27
59,PV,1,4,BL,BL1,1,25
60,PV,1,5,BL,BL1,1,110
61,PV,1,1,BL,BL2,1,130
62,PV,1,2,BL,BL2,1,66
63,PV,1,3,BL,BL2,1,47
64,PV,1,4,BL,BL2,1,111
65,PV,1,5,BL,BL2,1,41
66,PV,1,1,BL,BL3,1,122
67,PV,1,2,BL,BL3,1,89
68,PV,1,3,BL,BL3,1,98
69,PV,1,4,BL,BL3,1,120
70,PV,1,5,BL,BL3,1,133
71,PV,1,1,BR,BR3,1,53
72,PV,1,5,BR,BR3,1,80
73,PV,1,2,BR,BR3,1,101
74,PV,1,3,BR,BR3,1,69
75,PV,1,4,BR,BR3,1,88
76,PV,1,1,BR,BR7,1,93
77,PV,1,3,BR,BR7,1,52
78,PV,1,4,BR,BR7,1,89
79,PV,1,5,BR,BR7,1,72
80,PV,1,1,CA,CA3,1,47
81,PV,1,2,CA,CA3,1,84
82,PV,1,3,CA,CA3,1,91
83,PV,1,5,CA,CA3,1,51
84,PV,1,1,CA,CA4,1,93
85,PV,1,2,CA,CA4,1,73
86,PV,1,3,CA,CA4,1,99
87,PV,1,4,CA,CA4,1,61
88,PV,1,5,CA,CA4,1,140
89,PV,1,1,CB,CB1,1,159
90,PV,1,2,CB,CB1,1,109
91,PV,1,3,CB,CB1,1,63
92,PV,1,4,CB,CB1,1,89
93,PV,1,5,CB,CB1,1,113
94,PV,1,1,CC,CC2,1,102
95,PV,1,2,CC,CC2,1,70
96,PV,1,4,CC,CC2,1,90
97,PV,1,5,CC,CC2,1,85
98,PV,1,1,CC,CC4,1,27
99,PV,1,2,CC,CC4,1,59
100,PV,1,3,CC,CC4,1,54
101,PV,1,4,CC,CC4,1,145
102,PV,1,5,CC,CC4,1,92
103,PV,1,1,CC,CC7,1,81
104,PV,1,2,CC,CC7,1,47
105,PV,1,3,CC,CC7,1,130
106,PV,1,4,CC,CC7,1,131
107,PV,1,5,CC,CC7,1,1
108,PV,1,1,CL,CL1,1,14
109,PV,1,2,CL,CL1,1,120
110,PV,1,3,CL,CL1,1,52
111,PV,1,4,CL,CL1,1,95
112,PV,1,5,CL,CL1,1,7
113,PV,1,1,CP,CP24,1,142
114,PV,1,3,CP,CP24,1,96
115,PV,1,4,CP,CP24,1,76
116,PV,1,5,CP,CP24,1,83
117,PV,1,1,CP,CP26,1,125
118,PV,1,2,CP,CP26,1,25
119,PV,1,3,CP,CP26,1,99
120,PV,1,4,CP,CP26,1,84
121,PV,1,5,CP,CP26,1,153
122,PV,1,1,CP,CP9,1,120
123,PV,1,3,CP,CP9,1,47
124,PV,1,4,CP,CP9,1,106
125,PV,1,5,CP,CP9,1,106
126,PV,1,1,CR,CR2,1,54
127,PV,1,2,CR,CR2,1,1
128,PV,1,3,CR,CR2,1,96
129,PV,1,4,CR,CR2,1,121
130,PV,1,5,CR,CR2,1,39
131,PV,1,2,CR,CR3,1,49
132,PV,1,3,CR,CR3,1,151
133,PV,1,4,CR,CR3,1,95
134,PV,1,5,CR,CR3,1,58
135,PV,1,1,CR,CR4,1,93
136,PV,1,2,CR,CR4,1,44
137,PV,1,3,CR,CR4,1,58
138,PV,1,4,CR,CR4,1,59
139,PV,1,5,CR,CR4,2,118
140,PV,1,1,CY,CY6,1,100
141,PV,1,2,CY,CY6,1,78
142,PV,1,3,CY,CY6,1,122
