"","Site","Block","Tree","Source","Name","cond","ht"
"1","SF",1,1,"AK","AK3",1,107
"2","SF",1,2,"AK","AK3",1,156
"3","SF",1,3,"AK","AK3",1,53
"4","SF",1,4,"AK","AK3",2,104
"5","SF",1,1,"AK","AK6",2,97
"6","SF",1,2,"AK","AK6",1,75
"7","SF",1,3,"AK","AK6",1,37
"8","SF",1,5,"AK","AK6",1,37
"9","SF",1,1,"AK","AK9",2,102
"10","SF",1,2,"AK","AK9",1,79
"11","SF",1,3,"AK","AK9",1,114
"12","SF",1,4,"AK","AK9",1,27
"13","SF",1,5,"AK","AK9",1,90
"14","SF",1,1,"BA","BA2",1,108
"15","SF",1,2,"BA","BA2",2,64
"16","SF",1,3,"BA","BA2",2,88
"17","SF",1,4,"BA","BA2",1,94
"18","SF",1,5,"BA","BA2",2,59
"19","SF",1,1,"BA","BA3",1,120
"20","SF",1,2,"BA","BA3",2,69
"21","SF",1,3,"BA","BA3",1,55
"22","SF",1,4,"BA","BA3",1,73
"23","SF",1,5,"BA","BA3",1,49
"24","SF",1,1,"BA","BA5",1,108
"25","SF",1,2,"BA","BA5",1,25
"26","SF",1,3,"BA","BA5",2,68
"27","SF",1,5,"BA","BA5",1,48
"28","SF",1,1,"BC","BC3",2,48
"29","SF",1,2,"BC","BC3",2,4
"30","SF",1,3,"BC","BC3",2,39
"31","SF",1,4,"BC","BC3",1,96
"32","SF",1,5,"BC","BC3",2,78
"33","SF",1,1,"BC","BC6",1,99
"34","SF",1,2,"BC","BC6",1,102
"35","SF",1,3,"BC","BC6",2,103
"36","SF",1,4,"BC","BC6",1,129
"37","SF",1,5,"BC","BC6",2,31
"38","SF",1,1,"BC","BC8",1,95
"39","SF",1,3,"BC","BC8",2,115
"40","SF",1,4,"BC","BC8",1,40
"41","SF",1,5,"BC","BC8",2,56
"42","SF",1,1,"BK","BK2",1,35
"43","SF",1,2,"BK","BK2",2,63
"44","SF",1,3,"BK","BK2",1,94
"45","SF",1,4,"BK","BK2",2,100
"46","SF",1,5,"BK","BK2",2,35
"47","SF",1,1,"BK","BK3",1,82
"48","SF",1,2,"BK","BK3",1,93
"49","SF",1,3,"BK","BK3",1,131
"50","SF",1,4,"BK","BK3",2,64
"51","SF",1,5,"BK","BK3",1,39
"52","SF",1,1,"BK","BK5",2,48
"53","SF",1,2,"BK","BK5",1,67
"54","SF",1,3,"BK","BK5",2,55
"55","SF",1,4,"BK","BK5",2,45
"56","SF",1,5,"BK","BK5",1,3
"57","SF",1,1,"BL","BL1",1,54
"58","SF",1,2,"BL","BL1",1,1
"59","SF",1,3,"BL","BL1",2,77
"60","SF",1,4,"BL","BL1",1,93
"61","SF",1,5,"BL","BL1",1,83
"62","SF",1,1,"BL","BL2",1,71
"63","SF",1,2,"BL","BL2",1,70
"64","SF",1,1,"BL","BL3",2,78
"65","SF",1,2,"BL","BL3",1,45
"66","SF",1,3,"BL","BL3",1,46
"67","SF",1,4,"BL","BL3",2,96
"68","SF",1,5,"BL","BL3",2,98
"69","SF",1,1,"BR","BR3",1,88
"70","SF",1,2,"BR","BR3",1,103
"71","SF",1,3,"BR","BR3",1,103
"72","SF",1,4,"BR","BR3",1,93
"73","SF",1,5,"BR","BR3",2,74
"74","SF",1,1,"BR","BR7",2,64
"75","SF",1,2,"BR","BR7",1,162
"76","SF",1,3,"BR","BR7",1,89
"77","SF",1,4,"BR","BR7",1,98
"78","SF",1,5,"BR","BR7",1,60
"79","SF",1,1,"CA","CA3",2,74
"80","SF",1,2,"CA","CA3",1,60
"81","SF",1,3,"CA","CA3",2,60
"82","SF",1,4,"CA","CA3",1,24
"83","SF",1,5,"CA","CA3",1,82
"84","SF",1,1,"CA","CA4",1,108
"85","SF",1,2,"CA","CA4",1,89
"86","SF",1,3,"CA","CA4",2,79
"87","SF",1,4,"CA","CA4",1,133
"88","SF",1,1,"CB","CB1",1,108
"89","SF",1,2,"CB","CB1",1,113
"90","SF",1,3,"CB","CB1",1,120
"91","SF",1,4,"CB","CB1",1,60
"92","SF",1,5,"CB","CB1",1,117
"93","SF",1,1,"CC","CC2",1,58
"94","SF",1,2,"CC","CC2",1,80
"95","SF",1,3,"CC","CC2",2,74
"96","SF",1,4,"CC","CC2",2,78
"97","SF",1,5,"CC","CC2",1,119
"98","SF",1,1,"CC","CC4",2,65
"99","SF",1,2,"CC","CC4",1,100
"100","SF",1,3,"CC","CC4",2,77
"101","SF",1,4,"CC","CC4",2,75
"102","SF",1,5,"CC","CC4",1,48
"103","SF",1,1,"CC","CC7",1,65
"104","SF",1,2,"CC","CC7",2,108
"105","SF",1,3,"CC","CC7",1,66
"106","SF",1,4,"CC","CC7",2,62
"107","SF",1,5,"CC","CC7",1,105
"108","SF",1,1,"CL","CL1",1,96
"109","SF",1,2,"CL","CL1",2,46
"110","SF",1,3,"CL","CL1",1,94
"111","SF",1,5,"CL","CL1",1,76
"112","SF",1,2,"CP","CP24",1,52
"113","SF",1,3,"CP","CP24",1,61
"114","SF",1,4,"CP","CP24",2,37
"115","SF",1,5,"CP","CP24",2,30
"116","SF",1,1,"CP","CP26",1,100
"117","SF",1,2,"CP","CP26",2,74
"118","SF",1,3,"CP","CP26",1,115
"119","SF",1,4,"CP","CP26",2,30
"120","SF",1,5,"CP","CP26",1,46
"121","SF",1,3,"CP","CP9",1,52
"122","SF",1,1,"CR","CR2",1,93
"123","SF",1,2,"CR","CR2",1,87
"124","SF",1,3,"CR","CR2",2,78
"125","SF",1,4,"CR","CR2",1,83
"126","SF",1,5,"CR","CR2",1,41
"127","SF",1,1,"CR","CR3",1,72
"128","SF",1,2,"CR","CR3",2,71
"129","SF",1,4,"CR","CR3",2,41
"130","SF",1,5,"CR","CR3",1,95
"131","SF",1,1,"CR","CR4",2,165
"132","SF",1,3,"CR","CR4",1,102
"133","SF",1,4,"CR","CR4",1,93
"134","SF",1,5,"CR","CR4",2,160
"135","SF",1,1,"CY","CY6",2,183
"136","SF",1,2,"CY","CY6",2,68
"137","SF",1,3,"CY","CY6",1,80
"138","SF",1,4,"CY","CY6",2,107
"139","SF",1,5,"CY","CY6",1,58
"140","SF",1,1,"DE","DE2",2,46
"141","SF",1,2,"DE","DE2",1,141
"142","SF",1,3,"DE","DE2",1,37
"143","SF",1,4,"DE","DE2",1,94
"144","SF",1,5,"DE","DE2",2,125
"145","SF",1,1,"DE","DE4",2,80
"146","SF",1,2,"DE","DE4",2,1
"147","SF",1,3,"DE","DE4",1,124
"148","SF",1,4,"DE","DE4",2,118
"149","SF",1,5,"DE","DE4",2,75
"150","SF",1,1,"DE","DE5",1,93
"151","SF",1,2,"DE","DE5",2,123
"152","SF",1,3,"DE","DE5",2,94
"153","SF",1,4,"DE","DE5",2,43
"154","SF",1,5,"DE","DE5",1,118
"155","SF",1,1,"DE","DE6",1,1
"156","SF",1,2,"DE","DE6",1,45
"157","SF",1,3,"DE","DE6",2,64
"158","SF",1,4,"DE","DE6",1,108
"159","SF",1,5,"DE","DE6",2,77
"160","SF",1,1,"FB","FB3",1,94
"161","SF",1,2,"FB","FB3",1,106
"162","SF",1,3,"FB","FB3",1,154
"163","SF",1,4,"FB","FB3",1,70
"164","SF",1,5,"FB","FB3",2,89
"165","SF",1,1,"FB","FB9",2,126
