"","Site","Block","Tree","Source","Name","cond","ht"
"1","SO","1","1","AK","AK3",1,53
"2","SO","1","4","AK","AK3",2,66
"3","SO","1","5","AK","AK3",1,42
"4","SO","1","6","AK","AK3",2,51
"5","SO","1","1","AK","AK6",1,78
"6","SO","1","2","AK","AK6",2,54
"7","SO","1","4","AK","AK6",2,63
"8","SO","1","5","AK","AK6",2,36
"9","SO","1","1","AK","AK9",2,66
"10","SO","1","2","AK","AK9",2,31
"11","SO","1","5","AK","AK9",1,14
"12","SO","1","2","BA","BA2",1,54
"13","SO","1","5","BA","BA2",1,8
"14","SO","1","1","BA","BA3",1,55
"15","SO","1","4","BA","BA3",1,55
"16","SO","1","5","BA","BA3",2,70
"17","SO","1","1","BA","BA5",4,31
"18","SO","1","2","BA","BA5",2,24
"19","SO","1","3","BA","BA5",1,63
"20","SO","1","5","BA","BA5",1,74
"21","SO","1","2","BC","BC3",2,73
"22","SO","1","3","BC","BC3",2,57
"23","SO","1","1","BC","BC6",1,56
"24","SO","1","2","BC","BC6",1,50
"25","SO","1","3","BC","BC6",1,5
"26","SO","1","4","BC","BC6",2,41
"27","SO","1","5","BC","BC6",2,44
"28","SO","1","1","BC","BC8",1,34
"29","SO","1","4","BC","BC8",2,60
"30","SO","1","5","BC","BC8",2,39
"31","SO","1","1","BK","BK2",1,59
"32","SO","1","2","BK","BK2",4,16
"33","SO","1","3","BK","BK2",1,38
"34","SO","1","4","BK","BK2",4,35
"35","SO","1","5","BK","BK2",2,45
"36","SO","1","1","BK","BK5",3,91
"37","SO","1","2","BK","BK5",1,68
"38","SO","1","4","BK","BK5",1,37
"39","SO","1","5","BK","BK5",1,57
"40","SO","1","1","BL","BL1",3,65
"41","SO","1","2","BL","BL1",2,45
"42","SO","1","3","BL","BL1",2,63
"43","SO","1","4","BL","BL1",2,36
"44","SO","1","5","BL","BL1",2,37
"45","SO","1","5","BL","BL2",1,28
"46","SO","1","3","BL","BL3",1,54
"47","SO","1","1","BR","BR3",2,31
"48","SO","1","2","BR","BR3",4,34
"49","SO","1","4","BR","BR3",1,69
"50","SO","1","5","BR","BR3",1,38
"51","SO","1","1","BR","BR7",4,16
"52","SO","1","3","BR","BR7",1,62
"53","SO","1","4","BR","BR7",1,61
"54","SO","1","1","CA","CA3",1,58
"55","SO","1","2","CA","CA3",2,45
"56","SO","1","4","CA","CA3",1,49
"57","SO","1","5","CA","CA3",1,1
"58","SO","1","1","CA","CA4",2,76
"59","SO","1","2","CA","CA4",2,39
"60","SO","1","3","CA","CA4",1,22
"61","SO","1","4","CA","CA4",2,62
"62","SO","1","1","CB","CB1",2,71
"63","SO","1","3","CB","CB1",1,25
"64","SO","1","1","CC","CC2",1,62
"65","SO","1","2","CC","CC2",2,39
"66","SO","1","3","CC","CC2",3,28
"67","SO","1","4","CC","CC4",1,33
"68","SO","1","4","CC","CC7",1,64
"69","SO","1","5","CC","CC7",2,36
"70","SO","1","1","CL","CL1",2,9
"71","SO","1","2","CL","CL1",2,27
"72","SO","1","3","CP","CP24",2,65
"73","SO","1","1","CP","CP26",1,24
"74","SO","1","2","CP","CP26",1,30
"75","SO","1","3","CP","CP26",1,44
"76","SO","1","5","CP","CP26",4,58
"77","SO","1","1","CP","CP9",1,46
"78","SO","1","2","CP","CP9",2,39
"79","SO","1","3","CP","CP9",2,36
"80","SO","1","5","CP","CP9",1,32
"81","SO","1","1","CR","CR2",3,54
"82","SO","1","2","CR","CR2",1,34
"83","SO","1","5","CR","CR2",3,21
"84","SO","1","1","CR","CR3",2,20
"85","SO","1","4","CR","CR3",1,31
"86","SO","1","6","CR","CR3",1,40
"87","SO","1","1","CR","CR4",1,19
"88","SO","1","2","CR","CR4",2,79
"89","SO","1","3","CR","CR4",4,44
"90","SO","1","4","CR","CR4",2,35
"91","SO","1","1","CY","CY6",1,64
"92","SO","1","2","CY","CY6",1,48
"93","SO","1","4","CY","CY6",2,3
"94","SO","1","5","CY","CY6",1,62
"95","SO","1","2","DE","DE2",2,28
"96","SO","1","3","DE","DE2",1,75
"97","SO","1","4","DE","DE2",2,31
"98","SO","1","3","DE","DE4",2,8
"99","SO","1","5","DE","DE4",2,25
"100","SO","1","1","DE","DE5",2,11
"101","SO","1","2","DE","DE5",1,55
"102","SO","1","3","DE","DE5",1,22
"103","SO","1","4","DE","DE5",1,54
"104","SO","1","5","DE","DE5",4,54
"105","SO","1","1","DE","DE6",2,84
"106","SO","1","2","DE","DE6",1,44
"107","SO","1","3","DE","DE6",3,50
"108","SO","1","4","DE","DE6",2,36
"109","SO","1","5","DE","DE6",2,29
"110","SO","1","1","FB","FB3",2,22
"111","SO","1","3","FB","FB3",4,59
"112","SO","1","4","FB","FB3",1,61
"113","SO","1","5","FB","FB3",2,43
"114","SO","1","1","FB","FB9",2,72
"115","SO","1","2","FB","FB9",1,13
"116","SO","1","4","FB","FB9",1,52
"117","SO","1","5","FB","FB9",1,64
"118","SO","1","1","FW","FW10",2,44
"119","SO","1","3","FW","FW10",2,49
"120","SO","1","4","FW","FW10",4,34
"121","SO","1","5","FW","FW10",1,25
"122","SO","1","1","FW","FW3",2,73
"123","SO","1","2","FW","FW3",2,69
"124","SO","1","3","FW","FW3",2,49
"125","SO","1","4","FW","FW3",2,46
"126","SO","1","5","FW","FW3",1,67
"127","SO","1","1","GA","GA1",1,93
"128","SO","1","2","GA","GA1",4,37
"129","SO","1","3","GA","GA1",2,31
"130","SO","1","4","GA","GA1",2,82
"131","SO","1","5","GA","GA1",2,51
"132","SO","1","1","GA","GA2",2,50
"133","SO","1","2","GA","GA2",2,56
"134","SO","1","3","GA","GA2",1,39
"135","SO","1","5","GA","GA2",2,50
"136","SO","1","1","GA","GA3",1,91
"137","SO","1","3","GA","GA3",2,82
"138","SO","1","4","GA","GA3",1,36
"139","SO","1","5","GA","GA3",1,65
"140","SO","1","1","GP","GP1",1,46
"141","SO","1","3","GP","GP1",4,63
"142","SO","1","5","GP","GP1",4,42
"143","SO","1","1","GP","GP2",2,93
"144","SO","1","2","GP","GP2",2,39
"145","SO","1","3","GP","GP2",1,44
"146","SO","1","4","GP","GP2",1,70
"147","SO","1","5","GP","GP2",1,56
"148","SO","1","4","HC","HC1",1,65
"149","SO","1","5","HC","HC1",4,38
"150","SO","1","1","HC","HC2",2,51
"151","SO","1","3","HC","HC2",2,57
"152","SO","1","5","HC","HC2",1,29
"153","SO","1","1","HP","HP1",2,60
"154","SO","1","2","HP","HP1",1,18
"155","SO","1","3","HP","HP1",2,100
"156","SO","1","2","KL","KL10",2,33
"157","SO","1","3","KL","KL10",2,58
"158","SO","1","2","KL","KL11",4,47
"159","SO","1","4","KL","KL11",1,20
"160","SO","1","5","KL","KL11",2,40
"161","SO","1","1","KL","KL12",2,28
"162","SO","1","3","KL","KL12",1,18
"163","SO","1","5","KL","KL12",2,1
"164","SO","1","1","KL","KL13",1,32
"165","SO","1","2","KL","KL13",2,77
"166","SO","1","6","KL","KL13",1,49
"167","SO","1","1","KL","KL14",1,68
"168","SO","1","2","KL","KL14",2,35
"169","SO","1","3","KL","KL14",2,51
"170","SO","1","4","KL","KL14",2,61
"171","SO","1","1","KL","KL6",1,32
"172","SO","1","2","KL","KL6",2,72
"173","SO","1","3","KL","KL6",1,36
"174","SO","1","4","KL","KL6",2,26
"175","SO","1","1","KL","KL7",2,23
"176","SO","1","2","KL","KL7",2,17
"177","SO","1","3","KL","KL7",1,56
"178","SO","1","5","KL","KL7",2,30
"179","SO","1","1","KM","KM1",2,61
"180","SO","1","3","KM","KM1",2,2
"181","SO","1","4","KM","KM1",2,64
"182","SO","1","5","KM","KM1",2,36
"183","SO","1","3","KM","KM10",1,44
"184","SO","1","5","KM","KM10",2,60
"185","SO","1","2","LA","LA13",1,51
"186","SO","1","5","LA","LA13",2,52
"187","SO","1","1","LA","LA8",4,43
"188","SO","1","4","LA","LA8",1,43
"189","SO","1","5","LA","LA8",1,59
"190","SO","1","1","LC","LC1",1,52
"191","SO","1","2","LC","LC1",2,45
"192","SO","1","5","LC","LC1",1,34
"193","SO","1","5","LC","LC2",2,41
"194","SO","1","1","OH","OH1",1,37
"195","SO","1","2","OH","OH1",2,58
"196","SO","1","4","OH","OH1",2,46
"197","SO","1","5","OH","OH1",2,60
"198","SO","1","1","OK","OK1",2,83
"199","SO","1","2","OK","OK1",2,36
"200","SO","1","3","OK","OK1",2,55
"201","SO","1","5","OK","OK1",1,42
"202","SO","1","2","OL","OL1",4,44
"203","SO","1","5","OL","OL1",2,44
"204","SO","1","2","OR","OR1",1,47
"205","SO","1","3","OR","OR1",1,35
"206","SO","1","5","OR","OR1",2,48
"207","SO","1","6","OR","OR1",1,29
"208","SO","1","2","PA","PA1",2,64
"209","SO","1","3","PA","PA1",1,54
"210","SO","1","2","PA","PA3",2,29
"211","SO","1","4","PA","PA3",2,32
"212","SO","1","5","PA","PA3",4,43
"213","SO","1","1","PA","PA4",2,31
"214","SO","1","3","PA","PA4",1,53
"215","SO","1","4","PA","PA4",2,51
"216","SO","1","5","PA","PA4",2,55
"217","SO","1","1","PF","PF1",2,60
"218","SO","1","2","PF","PF1",1,59
"219","SO","1","3","PF","PF1",1,54
"220","SO","1","4","PF","PF1",4,34
"221","SO","1","5","PF","PF1",2,25
"222","SO","1","1","PF","PF2",2,49
"223","SO","1","2","PF","PF2",1,92
"224","SO","1","5","PF","PF2",2,78
"225","SO","1","1","PF","PF4",1,44
"226","SO","1","2","PF","PF4",4,32
"227","SO","1","2","PF","PF5",1,26
"228","SO","1","5","PF","PF5",1,43
"229","SO","1","1","PL","PL1",1,64
"230","SO","1","3","PL","PL1",4,58
"231","SO","1","4","PL","PL1",1,52
"232","SO","1","5","PL","PL1",1,36
"233","SO","1","1","PL","PL11",1,20
"234","SO","1","2","PL","PL11",1,35
"235","SO","1","5","PL","PL11",1,34
"236","SO","1","1","PL","PL4",2,60
"237","SO","1","2","PL","PL4",1,55
"238","SO","1","3","PL","PL4",1,51
"239","SO","1","3","PL","PL7",4,99
"240","SO","1","4","PL","PL7",4,70
"241","SO","1","5","PL","PL7",2,29
"242","SO","1","4","RA","RA2",2,51
"243","SO","1","5","RA","RA2",2,57
"244","SO","1","1","RA","RA8",1,56
"245","SO","1","3","RA","RA8",2,1
"246","SO","1","2","RV","RV3",1,1
"247","SO","1","4","RV","RV3",2,29
"248","SO","1","2","RV","RV4",1,13
"249","SO","1","3","RV","RV4",2,54
"250","SO","1","4","RV","RV4",1,29
"251","SO","1","5","RV","RV4",2,37
"252","SO","1","6","RV","RV4",2,67
"253","SO","1","1","RV","RV8",1,72
"254","SO","1","2","RV","RV8",1,10
"255","SO","1","5","RV","RV8",2,17
"256","SO","1","4","SA","SA5",2,66
"257","SO","1","5","SA","SA7",1,32
"258","SO","1","1","SC","SC4",1,45
"259","SO","1","3","SC","SC4",1,77
"260","SO","1","4","SC","SC4",1,31
"261","SO","1","5","SC","SC4",2,7
"262","SO","1","3","SN","SN1",2,38
"263","SO","1","4","SN","SN1",2,31
"264","SO","1","5","SN","SN1",1,45
"265","SO","1","2","SN","SN2",1,5
"266","SO","1","4","SN","SN2",1,83
"267","SO","1","1","SN","SN3",2,36
"268","SO","1","5","SN","SN3",1,79
"269","SO","1","1","SN","SN4",2,76
"270","SO","1","3","SN","SN4",1,42
"271","SO","1","4","SN","SN4",2,76
"272","SO","1","5","SN","SN4",4,38
"273","SO","1","2","SR","SR2",1,50
"274","SO","1","5","SR","SR2",1,14
"275","SO","1","1","SR","SR3",1,71
"276","SO","1","1","VE","VE10",2,86
"277","SO","1","2","VE","VE10",2,75
"278","SO","1","3","VE","VE10",2,23
"279","SO","1","4","VE","VE10",2,50
"280","SO","1","5","VE","VE10",2,57
"281","SO","1","1","VE","VE5",1,36
