"","SO_Dist","SF_Dist","PV_Dist","PH_Dist","SO_ElevDist","SF_ElevDist","PV_ElevDist","PH_ElevDist"
"AK3",254.871979866368,50.034717820843,270.091462526342,269.104781677006,-249.88266486,-301.44421526,56.018577612,33.77815497
"AK6",254.871979866368,50.034717820843,270.091462526342,269.104781677006,-249.88266486,-301.44421526,56.018577612,33.77815497
"AK9",254.871979866368,50.034717820843,270.091462526342,269.104781677006,-249.88266486,-301.44421526,56.018577612,33.77815497
"BA2",97.8656276257049,177.142582939592,492.306331558042,491.35331911414,-268.21326921,-319.77481961,37.687973262,15.44755062
"BA3",97.3158579356447,177.404200553972,492.622068349537,491.668722849987,-264.27583187,-315.83738227,41.625410602,19.38498796
"BA5",98.0440418529103,176.153702437509,491.318107195253,490.365054333075,-271.89674733,-323.45829773,34.004495142,11.7640725
"BC3",740.330530293661,527.430787729649,254.47459732005,255.353790736218,-186.4741782,-238.0357286,119.427064272,97.18664163
"BC6",740.177315618642,527.277023514844,254.318458760663,255.197594729011,-196.6210274,-248.1825778,109.280215072,87.03979243
"BC8",740.103133284453,527.205114043985,254.326413973281,255.205189059267,-200.6630235,-252.2245739,105.238218972,82.99779633
"BK2",84.4025267282185,259.343641198286,576.115819748519,575.143906694274,205.9009265,154.3393761,511.802168972,489.56174633
"BK3",81.5626884285419,256.490336422286,573.258486953287,572.285963580497,-85.2662816,-136.827832,220.634960872,198.39453823
"BK5",84.1735445201019,259.574416164477,576.345416080692,575.373258633131,200.8684462,149.3068958,506.769688672,484.52926603
"BL1",377.140814637393,589.856305395344,894.025063127233,893.016060497902,103,51.4384496,408.901242472,386.66081983
"BL2",375.580220579105,588.326084274415,892.654343907674,891.645420135763,117.0671602,65.5056098,422.968402672,400.72798003
"BL3",375.540070138778,588.286787312754,892.619575475948,891.610653970671,121.8810332,70.3194828,427.782275672,405.54185303
"BR3",560.444882105842,350.039690712452,48.0492449782837,48.8963163986328,-269.85674046,-321.41829086,36.044502012,13.80407937
"BR7",560.434259159091,350.019170128736,48.1235874921615,48.969418260658,-278.6519551,-330.2135055,27.249287372,5.00886473
"CA3",441.653031908936,653.430861496825,953.642713661679,952.632551996907,-164.6910296,-216.25258,141.210212872,118.96979023
"CA4",441.652699782495,653.431165818058,953.644884803048,952.634723302835,-162.2082502,-213.7698006,143.692992272,121.45256963
"CB1",682.469977493717,471.805453360226,162.235224725637,163.241414104556,-267.55292052,-319.11447092,38.348321952,16.10789931
"CC2",509.638057216889,721.280903035172,1020.38650449009,1019.37628795333,-279.25177662,-330.81332702,26.649465852,4.40904321
"CC4",509.598170347626,721.239722092107,1020.3418525538,1019.33163608191,-288,-339.5615504,17.901242472,-4.33918017
"CC7",509.563109555359,721.205552304393,1020.31068850179,1019.30047196307,-294.47171558,-346.03326598,11.429526892,-10.81089575
"CL1",609.906733353137,400.727980323111,87.3901844871773,88.399609649074,-272.94072819,-324.50227859,32.960514282,10.72009164
"CP24",25.0387376664524,235.838418952508,548.111637561299,547.115562283885,432.5141535,380.9526031,738.415395972,716.17497333
"CP26",53.1167034526776,255.4411189351,558.459375393069,557.452437164405,388.6523575,337.0908071,694.553599972,672.31317733
"CP9",46.5994272672832,247.000688401489,550.156794746014,549.150095169124,509.2123631,457.6508127,815.113605572,792.87318293
"CR2",393.767177639009,184.769278549705,132.073186898419,131.109107731501,-202.9783438,-254.5398942,102.922898672,80.68247603
"CR3",393.767177639009,184.769278549705,132.073186898419,131.109107731501,-202.9783438,-254.5398942,102.922898672,80.68247603
"CR4",393.767177639009,184.769278549705,132.073186898419,131.109107731501,-202.9783438,-254.5398942,102.922898672,80.68247603
"CY6",43.2650877727978,172.191759125442,480.994898303764,479.995261345976,-49.9655697,-101.5271201,255.935672772,233.69525013
"DE1",265.177793882466,120.731921965392,278.879167268206,277.875146059247,474.089348,422.5277976,779.990590472,757.75016783
"DE4",265.216511333043,120.761737333063,278.849985529059,277.845974979178,492,440.4384496,797.901242472,775.66081983
"DE5",265.13834227676,120.693839095986,278.903824142803,277.899788728899,458.8925058,407.3309554,764.793748272,742.55332563
"DE6",265.06906146641,120.678953530257,278.981386035721,277.97734831352,441.8524513,390.2909009,747.753693772,725.51327113
"FB3",662.855974152325,451.919740319019,144.215962450757,145.214687505771,-304.482917618,-356.044468018,1.418324854,-20.822097788
"FB9",664.485334551609,453.482826181375,146.080007425758,147.077936420193,-299.62078209,-351.18233249,6.280460382,-15.95996226
"FW10",535.292333931539,327.588078504471,12.0072480223356,13.0023932854206,-205.8244218,-257.3859722,100.076820672,77.83639803
"FW3",535.254786832285,327.567536715214,11.9247256949186,12.9216179660551,-209.0350518,-260.5966022,96.866190672,74.62576803
"GA1",274.10843243312,485.830575596706,797.951144617362,796.951388392287,-149.6550878,-201.2166382,156.246154672,134.00573203
"GA2",274.348715490614,486.001221875719,798.212497752553,797.21293130177,-57.3354134,-108.8969638,248.565829072,226.32540643
"GA3",274.195572808128,485.846565226749,798.05990771624,797.060346885863,-35.1828526,-86.744403,270.718389872,248.47796723
"GP1",8.77905481711701,220.322408366504,530.147767844883,529.14794013968,128.0596907,76.4981403,433.960933172,411.72051053
"GP2",8.81009852511147,220.354283365032,530.177492198346,529.177660651824,119.5952513,68.0337009,425.496493772,403.25607113
"HC1",251.344446219044,463.237401008845,775.148730219363,774.148732662012,91.8283781,40.2668277,397.729620572,375.48919793
"HC2",251.326260707605,463.216881424549,775.131526755879,774.131536006439,95.7916281,44.2300777,401.692870572,379.45244793
"HP1",394.104203231916,606.984701430371,911.904398475456,910.8957032852,-4,-55.5615504,301.901242472,279.66081983
"KL10",66.7123239735179,279.356357241971,590.565685873506,589.566696951342,676.2019633,624.6404129,982.103205772,959.86278313
"KL11",81.107170174698,292.624641291856,599.141256966014,598.136190905299,128,76.4384496,433.901242472,411.66081983
"KL12",112.166946908427,324.84587996424,635.810188732605,634.810023847005,176,124.4384496,481.901242472,459.66081983
"KL13",135.577219256292,347.966762124464,654.365133515491,653.359189850569,867,815.4384496,1172.901242472,1150.66081983
"KL14",136.163500448683,348.899280195799,659.63007832104,658.62919014448,-6,-57.5615504,299.901242472,277.66081983
"KL6",66.4728719762569,279.158359257251,590.305154482734,589.306061290477,603.031443,551.4698926,908.932685472,886.69226283
"KL7",66.7556751571461,279.406021359933,590.605762348004,589.606755876616,675.6591217,624.0975713,981.560364172,959.31994153
"KM1",532.781532114339,322.67272572984,29.3353780621126,29.7750163700305,-236.916507,-288.4780574,68.984735472,46.74431283
"KM10",532.614924024217,322.508993419246,29.256205525065,29.6912849361273,-227.59566572,-279.15721612,78.305576752,56.06515411
"LA10",590.365419630457,801.36172722495,1097.83363055328,1096.82379714306,341.3028825,289.7413321,647.204124972,624.96370233
"LA13",586.564641926858,797.550579445413,1094.03080114805,1093.02096020327,242.7551679,191.1936175,548.656410372,526.41598773
"LA5",600.151530340138,811.104755230919,1107.36449806985,1106.35472673255,137,85.4384496,442.901242472,420.66081983
"LA8",591.831972324976,802.801777950532,1099.18680261474,1098.17699014132,381.050928,329.4893776,686.952170472,664.71174783
"LC1",615.438430570665,402.453475912058,147.589932710206,148.256207989748,293.9162552,242.3547048,599.817497672,577.57707503
