Source,Family,EcoregionShort,Ecoregion
AK,AK1,WIVA,Wilamette Valley
AK,AK2,WIVA,Wilamette Valley
AK,AK3,WIVA,Wilamette Valley
AK,AK4,WIVA,Wilamette Valley
AK,AK5,WIVA,Wilamette Valley
AK,AK6,WIVA,Wilamette Valley
AK,AK7,WIVA,Wilamette Valley
AK,AK8,WIVA,Wilamette Valley
AK,AK9,WIVA,Wilamette Valley
AN,AN1,PULO,Strait of Georgia/Puget Lowland
AN,AN10,PULO,Strait of Georgia/Puget Lowland
AN,AN11,PULO,Strait of Georgia/Puget Lowland
AN,AN12,PULO,Strait of Georgia/Puget Lowland
AN,AN13,PULO,Strait of Georgia/Puget Lowland
AN,AN14,PULO,Strait of Georgia/Puget Lowland
AN,AN2,PULO,Strait of Georgia/Puget Lowland
AN,AN3,PULO,Strait of Georgia/Puget Lowland
AN,AN4,PULO,Strait of Georgia/Puget Lowland
AN,AN5,PULO,Strait of Georgia/Puget Lowland
AN,AN6,PULO,Strait of Georgia/Puget Lowland
AN,AN7,PULO,Strait of Georgia/Puget Lowland
AN,AN8,PULO,Strait of Georgia/Puget Lowland
AN,AN9,PULO,Strait of Georgia/Puget Lowland
BA,BA1,CORA,Coast Range
BA,BA2,CORA,Coast Range
BA,BA3,CORA,Coast Range
BA,BA4,CORA,Coast Range
BA,BA5,CORA,Coast Range
BC,BC1,PULO,Strait of Georgia/Puget Lowland
BC,BC10,PULO,Strait of Georgia/Puget Lowland
BC,BC11,PULO,Strait of Georgia/Puget Lowland
BC,BC12,PULO,Strait of Georgia/Puget Lowland
BC,BC13,PULO,Strait of Georgia/Puget Lowland
BC,BC14,PULO,Strait of Georgia/Puget Lowland
BC,BC15,PULO,Strait of Georgia/Puget Lowland
BC,BC2,PULO,Strait of Georgia/Puget Lowland
BC,BC3,PULO,Strait of Georgia/Puget Lowland
BC,BC4,PULO,Strait of Georgia/Puget Lowland
BC,BC5,PULO,Strait of Georgia/Puget Lowland
BC,BC6,PULO,Strait of Georgia/Puget Lowland
BC,BC7,PULO,Strait of Georgia/Puget Lowland
BC,BC8,PULO,Strait of Georgia/Puget Lowland
BC,BC9,PULO,Strait of Georgia/Puget Lowland
BK,BK1,KLMT,Klamath Mountains
BK,BK2,KLMT,Klamath Mountains
BK,BK3,KLMT,Klamath Mountains
BK,BK4,KLMT,Klamath Mountains
