"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"1","PH","WIVA","AK","AK3","1","1","1","38","269.104781677006","33.77815497","761","-19","113.890422669","20","66","2000","12"
"2","PH","WIVA","AK","AK3","1","4","1","60","269.104781677006","33.77815497","761","-19","113.890422669","20","66","2000","12"
"3","PH","WIVA","AK","AK6","1","5","1","26","269.104781677006","33.77815497","761","-19","113.890422669","20","66","2000","12"
"4","PH","WIVA","AK","AK9","1","3","1","35","269.104781677006","33.77815497","761","-19","113.890422669","20","66","2000","12"
"5","PH","WIVA","AK","AK9","1","4","1","29","269.104781677006","33.77815497","761","-19","113.890422669","20","66","2000","12"
"6","PH","WIVA","AK","AK9","1","5","1","47","269.104781677006","33.77815497","761","-19","113.890422669","20","66","2000","12"
"7","PH","CORA","BA","BA2","1","1","1","31","491.35331911414","15.44755062","1378","24","71.990422669","12.6","35","1969","12"
"8","PH","CORA","BA","BA2","1","2","1","44","491.35331911414","15.44755062","1378","24","71.990422669","12.6","35","1969","12"
"9","PH","CORA","BA","BA2","1","3","1","48","491.35331911414","15.44755062","1378","24","71.990422669","12.6","35","1969","12"
"10","PH","CORA","BA","BA2","1","4","1","73","491.35331911414","15.44755062","1378","24","71.990422669","12.6","35","1969","12"
"11","PH","CORA","BA","BA2","1","5","1","63","491.35331911414","15.44755062","1378","24","71.990422669","12.6","35","1969","12"
"12","PH","CORA","BA","BA3","1","1","1","46","491.668722849987","19.38498796","1395","26","71.890422669","12.5","35","1954","12"
"13","PH","CORA","BA","BA3","1","2","1","41","491.668722849987","19.38498796","1395","26","71.890422669","12.5","35","1954","12"
"14","PH","CORA","BA","BA3","1","3","1","33","491.668722849987","19.38498796","1395","26","71.890422669","12.5","35","1954","12"
"15","PH","CORA","BA","BA3","1","4","1","69","491.668722849987","19.38498796","1395","26","71.890422669","12.5","35","1954","12"
"16","PH","CORA","BA","BA3","1","5","2","33","491.668722849987","19.38498796","1395","26","71.890422669","12.5","35","1954","12"
"17","PH","CORA","BA","BA5","1","1","1","32","490.365054333075","11.7640725","1351","21","72.990422669","12.8","35","1978","12"
