Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
PH,WIVA,AK,AK9,1,3,1,123,269.1047817,33.77815497,761,-19,113.8904227,20,66,2000,14
PH,WIVA,AK,AK9,1,4,2,119,269.1047817,33.77815497,761,-19,113.8904227,20,66,2000,14
PH,WIVA,AK,AK9,1,5,2,65,269.1047817,33.77815497,761,-19,113.8904227,20,66,2000,14
PH,CORA,BA,BA2,1,1,2,77,491.3533191,15.44755062,1378,24,71.99042267,12.6,35,1969,14
PH,CORA,BA,BA2,1,4,1,173,491.3533191,15.44755062,1378,24,71.99042267,12.6,35,1969,14
PH,CORA,BA,BA2,1,5,1,120,491.3533191,15.44755062,1378,24,71.99042267,12.6,35,1969,14
PH,CORA,BA,BA3,1,4,2,53,491.6687228,19.38498796,1395,26,71.89042267,12.5,35,1954,14
PH,CORA,BA,BA3,1,5,4,109,491.6687228,19.38498796,1395,26,71.89042267,12.5,35,1954,14
PH,CORA,BA,BA5,1,2,4,138,490.3650543,11.7640725,1351,21,72.99042267,12.8,35,1978,14
PH,CORA,BA,BA5,1,3,2,127,490.3650543,11.7640725,1351,21,72.99042267,12.8,35,1978,14
PH,PULO,BC,BC3,1,1,4,124,255.3537907,97.18664163,792,9,88.89042267,17.7,115,2618,14
PH,PULO,BC,BC3,1,2,4,100,255.3537907,97.18664163,792,9,88.89042267,17.7,115,2618,14
PH,PULO,BC,BC3,1,3,4,123,255.3537907,97.18664163,792,9,88.89042267,17.7,115,2618,14
PH,PULO,BC,BC3,1,4,1,142,255.3537907,97.18664163,792,9,88.89042267,17.7,115,2618,14
PH,PULO,BC,BC3,1,5,2,120,255.3537907,97.18664163,792,9,88.89042267,17.7,115,2618,14
PH,PULO,BC,BC6,1,4,1,115,255.1975947,87.03979243,798,9,88.69042267,17.6,115,2623,14
PH,PULO,BC,BC6,1,5,4,125,255.1975947,87.03979243,798,9,88.69042267,17.6,115,2623,14
PH,KLMT,BK,BK2,1,1,2,76,575.1439067,489.5617463,2668,176,50.89042267,7.4,42,1771,14
PH,KLMT,BK,BK2,1,5,1,67,575.1439067,489.5617463,2668,176,50.89042267,7.4,42,1771,14
PH,KLMT,BK,BK3,1,3,2,93,572.2859636,198.3945382,2233,123,59.59042267,8.8,41,1732,14
PH,KLMT,BK,BK3,1,5,4,117,572.2859636,198.3945382,2233,123,59.59042267,8.8,41,1732,14
PH,KLMT,BK,BK5,1,2,4,105,575.3732586,484.529266,2706,180,50.39042267,7.4,43,1771,14
PH,KLMT,BK,BK5,1,3,4,134,575.3732586,484.529266,2706,180,50.39042267,7.4,43,1771,14
PH,KLMT,BK,BK5,1,4,2,112,575.3732586,484.529266,2706,180,50.39042267,7.4,43,1771,14
PH,KLMT,BK,BK5,1,5,1,127,575.3732586,484.529266,2706,180,50.39042267,7.4,43,1771,14
