"","Site","Block","Tree","Source","Name","cond","ht","Year"
"1","PV",1,1,"AK","AK3",1,25,12
"2","PV",1,2,"AK","AK3",1,49,12
"3","PV",1,3,"AK","AK3",1,56,12
"4","PV",1,4,"AK","AK3",1,66,12
"5","PV",1,5,"AK","AK3",1,41,12
"6","PV",1,1,"AK","AK6",1,36,12
"7","PV",1,2,"AK","AK6",2,6,12
"8","PV",1,3,"AK","AK6",1,47,12
"9","PV",1,4,"AK","AK6",1,60,12
"10","PV",1,5,"AK","AK6",1,56,12
"11","PV",1,1,"AK","AK9",1,28,12
"12","PV",1,2,"AK","AK9",1,25,12
"13","PV",1,3,"AK","AK9",1,21,12
"14","PV",1,4,"AK","AK9",1,43,12
"15","PV",1,5,"AK","AK9",1,74,12
"16","PV",1,1,"BA","BA2",1,55,12
"17","PV",1,2,"BA","BA2",1,42,12
"18","PV",1,3,"BA","BA2",1,59,12
"19","PV",1,4,"BA","BA2",1,52,12
"20","PV",1,5,"BA","BA2",1,35,12
"21","PV",1,1,"BA","BA3",1,32,12
"22","PV",1,2,"BA","BA3",2,43,12
"23","PV",1,3,"BA","BA3",1,26,12
"24","PV",1,4,"BA","BA3",1,27,12
"25","PV",1,5,"BA","BA3",1,46,12
"26","PV",1,2,"BA","BA5",1,68,12
"27","PV",1,3,"BA","BA5",2,55,12
"28","PV",1,4,"BA","BA5",2,36,12
"29","PV",1,5,"BA","BA5",1,47,12
"30","PV",1,1,"BC","BC3",1,37,12
"31","PV",1,2,"BC","BC3",1,61,12
"32","PV",1,3,"BC","BC3",1,51,12
"33","PV",1,4,"BC","BC3",1,62,12
"34","PV",1,5,"BC","BC3",2,57,12
"35","PV",1,1,"BC","BC6",1,40,12
"36","PV",1,3,"BC","BC6",1,51,12
"37","PV",1,4,"BC","BC6",1,50,12
"38","PV",1,2,"BC","BC8",1,58,12
"39","PV",1,3,"BC","BC8",1,38,12
"40","PV",1,4,"BC","BC8",1,40,12
"41","PV",1,5,"BC","BC8",1,52,12
"42","PV",1,1,"BK","BK2",1,50,12
"43","PV",1,2,"BK","BK2",1,48,12
"44","PV",1,3,"BK","BK2",1,42,12
"45","PV",1,4,"BK","BK2",1,47,12
"46","PV",1,5,"BK","BK2",1,31,12
"47","PV",1,1,"BK","BK3",1,45,12
"48","PV",1,2,"BK","BK3",1,36,12
"49","PV",1,3,"BK","BK3",1,45,12
"50","PV",1,4,"BK","BK3",1,48,12
"51","PV",1,5,"BK","BK3",1,37,12
"52","PV",1,1,"BK","BK5",1,73,12
"53","PV",1,2,"BK","BK5",1,83,12
"54","PV",1,3,"BK","BK5",1,59,12
"55","PV",1,4,"BK","BK5",1,34,12
"56","PV",1,5,"BK","BK5",2,61,12
"57","PV",1,1,"BL","BL1",1,44,12
"58","PV",1,2,"BL","BL1",1,32,12
"59","PV",1,3,"BL","BL1",1,58,12
"60","PV",1,4,"BL","BL1",1,74,12
"61","PV",1,5,"BL","BL1",1,47,12
"62","PV",1,1,"BL","BL2",1,37,12
"63","PV",1,2,"BL","BL2",1,56,12
"64","PV",1,3,"BL","BL2",1,46,12
"65","PV",1,4,"BL","BL2",1,32,12
"66","PV",1,5,"BL","BL2",1,51,12
"67","PV",1,1,"BL","BL3",1,41,12
"68","PV",1,2,"BL","BL3",1,32,12
"69","PV",1,3,"BL","BL3",1,21,12
"70","PV",1,4,"BL","BL3",1,28,12
"71","PV",1,5,"BL","BL3",1,56,12
"72","PV",1,1,"BR","BR3",1,44,12
"73","PV",1,1,"BR","BR3",1,35,12
"74","PV",1,2,"BR","BR3",1,44,12
"75","PV",1,3,"BR","BR3",1,44,12
"76","PV",1,4,"BR","BR3",1,30,12
"77","PV",1,1,"BR","BR7",1,60,12
"78","PV",1,3,"BR","BR7",2,40,12
"79","PV",1,4,"BR","BR7",1,48,12
"80","PV",1,5,"BR","BR7",1,31,12
"81","PV",1,1,"CA","CA3",1,27,12
"82","PV",1,2,"CA","CA3",1,39,12
"83","PV",1,3,"CA","CA3",1,39,12
"84","PV",1,5,"CA","CA3",1,42,12
"85","PV",1,1,"CA","CA4",1,52,12
"86","PV",1,2,"CA","CA4",1,59,12
"87","PV",1,3,"CA","CA4",1,27,12
"88","PV",1,4,"CA","CA4",1,41,12
"89","PV",1,5,"CA","CA4",1,53,12
"90","PV",1,1,"CB","CB1",2,18,12
"91","PV",1,2,"CB","CB1",1,40,12
"92","PV",1,3,"CB","CB1",1,44,12
"93","PV",1,4,"CB","CB1",1,46,12
"94","PV",1,5,"CB","CB1",1,16,12
"95","PV",1,1,"CC","CC2",1,48,12
"96","PV",1,2,"CC","CC2",1,50,12
"97","PV",1,4,"CC","CC2",1,50,12
"98","PV",1,5,"CC","CC2",1,42,12
"99","PV",1,1,"CC","CC4",1,41,12
"100","PV",1,2,"CC","CC4",1,66,12
"101","PV",1,3,"CC","CC4",1,45,12
"102","PV",1,4,"CC","CC4",1,55,12
"103","PV",1,5,"CC","CC4",1,56,12
"104","PV",1,1,"CC","CC7",1,47,12
"105","PV",1,2,"CC","CC7",1,41,12
"106","PV",1,3,"CC","CC7",1,46,12
"107","PV",1,4,"CC","CC7",1,50,12
"108","PV",1,5,"CC","CC7",1,55,12
"109","PV",1,1,"CL","CL1",1,53,12
"110","PV",1,2,"CL","CL1",1,46,12
"111","PV",1,3,"CL","CL1",1,64,12
"112","PV",1,4,"CL","CL1",1,47,12
"113","PV",1,5,"CL","CL1",1,41,12
"114","PV",1,1,"CP","CP24",1,69,12
"115","PV",1,2,"CP","CP24",1,46,12
"116","PV",1,3,"CP","CP24",1,13,12
"117","PV",1,4,"CP","CP24",1,72,12
"118","PV",1,5,"CP","CP24",1,68,12
"119","PV",1,1,"CP","CP26",1,66,12
"120","PV",1,2,"CP","CP26",1,47,12
"121","PV",1,3,"CP","CP26",1,38,12
"122","PV",1,4,"CP","CP26",1,24,12
"123","PV",1,5,"CP","CP26",1,76,12
"124","PV",1,1,"CP","CP9",1,42,12
"125","PV",1,2,"CP","CP9",1,52,12
"126","PV",1,3,"CP","CP9",1,40,12
"127","PV",1,4,"CP","CP9",1,34,12
"128","PV",1,5,"CP","CP9",1,65,12
"129","PV",1,1,"CR","CR2",1,57,12
"130","PV",1,2,"CR","CR2",1,37,12
"131","PV",1,3,"CR","CR2",1,54,12
"132","PV",1,4,"CR","CR2",1,42,12
"133","PV",1,5,"CR","CR2",1,77,12
"134","PV",1,1,"CR","CR3",1,64,12
"135","PV",1,2,"CR","CR3",1,35,12
"136","PV",1,3,"CR","CR3",1,34,12
"137","PV",1,4,"CR","CR3",1,58,12
"138","PV",1,5,"CR","CR3",1,50,12
"139","PV",1,1,"CR","CR4",1,56,12
"140","PV",1,2,"CR","CR4",1,66,12
"141","PV",1,3,"CR","CR4",1,38,12
"142","PV",1,4,"CR","CR4",1,62,12
"143","PV",1,5,"CR","CR4",1,47,12
"144","PV",1,1,"CY","CY6",1,24,12
"145","PV",1,2,"CY","CY6",1,60,12
"146","PV",1,3,"CY","CY6",1,47,12
"147","PV",1,4,"CY","CY6",1,46,12
"148","PV",1,5,"CY","CY6",1,25,12
