Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
PV,WIVA,AK,AK3,1,1,1,25,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK3,1,2,1,49,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK3,1,3,1,56,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK3,1,4,1,66,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK3,1,5,1,41,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK6,1,1,1,36,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK6,1,2,2,6,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK6,1,3,1,47,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK6,1,4,1,60,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK6,1,5,1,56,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK9,1,1,1,28,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK9,1,2,1,25,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK9,1,3,1,21,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK9,1,4,1,43,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,WIVA,AK,AK9,1,5,1,74,270.0914625,56.01857761,760,-12,113.9326928,20,66,1983,12
PV,CORA,BA,BA2,1,1,1,55,492.3063316,37.68797326,1377,31,72.03269276,12.6,35,1952,12
PV,CORA,BA,BA2,1,2,1,42,492.3063316,37.68797326,1377,31,72.03269276,12.6,35,1952,12
PV,CORA,BA,BA2,1,3,1,59,492.3063316,37.68797326,1377,31,72.03269276,12.6,35,1952,12
PV,CORA,BA,BA2,1,4,1,52,492.3063316,37.68797326,1377,31,72.03269276,12.6,35,1952,12
PV,CORA,BA,BA2,1,5,1,35,492.3063316,37.68797326,1377,31,72.03269276,12.6,35,1952,12
PV,CORA,BA,BA3,1,1,1,32,492.6220683,41.6254106,1394,33,71.93269276,12.5,35,1937,12
PV,CORA,BA,BA3,1,2,2,43,492.6220683,41.6254106,1394,33,71.93269276,12.5,35,1937,12
PV,CORA,BA,BA3,1,3,1,26,492.6220683,41.6254106,1394,33,71.93269276,12.5,35,1937,12
PV,CORA,BA,BA3,1,4,1,27,492.6220683,41.6254106,1394,33,71.93269276,12.5,35,1937,12
PV,CORA,BA,BA3,1,5,1,46,492.6220683,41.6254106,1394,33,71.93269276,12.5,35,1937,12
PV,CORA,BA,BA5,1,2,1,68,491.3181072,34.00449514,1350,28,73.03269276,12.8,35,1961,12
PV,CORA,BA,BA5,1,3,2,55,491.3181072,34.00449514,1350,28,73.03269276,12.8,35,1961,12
PV,CORA,BA,BA5,1,4,2,36,491.3181072,34.00449514,1350,28,73.03269276,12.8,35,1961,12
PV,CORA,BA,BA5,1,5,1,47,491.3181072,34.00449514,1350,28,73.03269276,12.8,35,1961,12
PV,PULO,BC,BC3,1,1,1,37,254.4745973,119.4270643,791,16,88.93269276,17.7,115,2601,12
PV,PULO,BC,BC3,1,2,1,61,254.4745973,119.4270643,791,16,88.93269276,17.7,115,2601,12
PV,PULO,BC,BC3,1,3,1,51,254.4745973,119.4270643,791,16,88.93269276,17.7,115,2601,12
PV,PULO,BC,BC3,1,4,1,62,254.4745973,119.4270643,791,16,88.93269276,17.7,115,2601,12
PV,PULO,BC,BC3,1,5,2,57,254.4745973,119.4270643,791,16,88.93269276,17.7,115,2601,12
PV,PULO,BC,BC6,1,1,1,40,254.3184588,109.2802151,797,16,88.73269276,17.6,115,2606,12
PV,PULO,BC,BC6,1,3,1,51,254.3184588,109.2802151,797,16,88.73269276,17.6,115,2606,12
PV,PULO,BC,BC6,1,4,1,50,254.3184588,109.2802151,797,16,88.73269276,17.6,115,2606,12
PV,PULO,BC,BC8,1,2,1,58,254.326414,105.238219,808,17,88.23269276,17.4,116,2616,12
PV,PULO,BC,BC8,1,3,1,38,254.326414,105.238219,808,17,88.23269276,17.4,116,2616,12
PV,PULO,BC,BC8,1,4,1,40,254.326414,105.238219,808,17,88.23269276,17.4,116,2616,12
PV,PULO,BC,BC8,1,5,1,52,254.326414,105.238219,808,17,88.23269276,17.4,116,2616,12
PV,KLMT,BK,BK2,1,1,1,50,576.1158197,511.802169,2667,183,50.93269276,7.4,42,1754,12
PV,KLMT,BK,BK2,1,2,1,48,576.1158197,511.802169,2667,183,50.93269276,7.4,42,1754,12
PV,KLMT,BK,BK2,1,3,1,42,576.1158197,511.802169,2667,183,50.93269276,7.4,42,1754,12
PV,KLMT,BK,BK2,1,4,1,47,576.1158197,511.802169,2667,183,50.93269276,7.4,42,1754,12
PV,KLMT,BK,BK2,1,5,1,31,576.1158197,511.802169,2667,183,50.93269276,7.4,42,1754,12
