"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"1","SF","WIVA","AK","AK3","1","1","1","30","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"2","SF","WIVA","AK","AK3","1","2","1","29","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"3","SF","WIVA","AK","AK3","1","3","1","23","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"4","SF","WIVA","AK","AK3","1","4","1","32","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"5","SF","WIVA","AK","AK6","1","1","1","36","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"6","SF","WIVA","AK","AK6","1","2","1","19","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"7","SF","WIVA","AK","AK6","1","3","1","43","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"8","SF","WIVA","AK","AK6","1","5","1","38","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"9","SF","WIVA","AK","AK9","1","1","1","25","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"10","SF","WIVA","AK","AK9","1","2","1","36","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"11","SF","WIVA","AK","AK9","1","3","1","56","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"12","SF","WIVA","AK","AK9","1","4","1","43","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"13","SF","WIVA","AK","AK9","1","5","1","34","50.034717820843","-301.44421526","761","-23","113.804192481","20","66","2081","12"
"14","SF","CORA","BA","BA2","1","1","1","46","177.142582939592","-319.77481961","1378","20","71.904192481","12.6","35","2050","12"
"15","SF","CORA","BA","BA2","1","2","1","59","177.142582939592","-319.77481961","1378","20","71.904192481","12.6","35","2050","12"
"16","SF","CORA","BA","BA2","1","3","1","35","177.142582939592","-319.77481961","1378","20","71.904192481","12.6","35","2050","12"
"17","SF","CORA","BA","BA2","1","4","1","38","177.142582939592","-319.77481961","1378","20","71.904192481","12.6","35","2050","12"
"18","SF","CORA","BA","BA2","1","5","1","35","177.142582939592","-319.77481961","1378","20","71.904192481","12.6","35","2050","12"
"19","SF","CORA","BA","BA3","1","1","1","33","177.404200553972","-315.83738227","1395","22","71.804192481","12.5","35","2035","12"
"20","SF","CORA","BA","BA3","1","2","1","36","177.404200553972","-315.83738227","1395","22","71.804192481","12.5","35","2035","12"
"21","SF","CORA","BA","BA3","1","3","1","50","177.404200553972","-315.83738227","1395","22","71.804192481","12.5","35","2035","12"
"22","SF","CORA","BA","BA3","1","4","1","48","177.404200553972","-315.83738227","1395","22","71.804192481","12.5","35","2035","12"
