Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SF,WIVA,AK,AK3,1,1,1,107,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK3,1,2,1,156,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK3,1,3,1,53,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK3,1,4,2,104,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK6,1,1,2,97,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK6,1,2,1,75,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK6,1,3,1,37,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK6,1,5,1,37,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK9,1,1,2,102,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK9,1,2,1,79,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK9,1,3,1,114,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK9,1,4,1,27,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,WIVA,AK,AK9,1,5,1,90,50.03471782,-301.4442153,761,-23,113.8041925,20,66,2081,14
SF,CORA,BA,BA2,1,1,1,108,177.1425829,-319.7748196,1378,20,71.90419248,12.6,35,2050,14
SF,CORA,BA,BA2,1,2,2,64,177.1425829,-319.7748196,1378,20,71.90419248,12.6,35,2050,14
SF,CORA,BA,BA2,1,3,2,88,177.1425829,-319.7748196,1378,20,71.90419248,12.6,35,2050,14
SF,CORA,BA,BA2,1,4,1,94,177.1425829,-319.7748196,1378,20,71.90419248,12.6,35,2050,14
SF,CORA,BA,BA2,1,5,2,59,177.1425829,-319.7748196,1378,20,71.90419248,12.6,35,2050,14
SF,CORA,BA,BA3,1,1,1,120,177.4042006,-315.8373823,1395,22,71.80419248,12.5,35,2035,14
SF,CORA,BA,BA3,1,2,2,69,177.4042006,-315.8373823,1395,22,71.80419248,12.5,35,2035,14
SF,CORA,BA,BA3,1,3,1,55,177.4042006,-315.8373823,1395,22,71.80419248,12.5,35,2035,14
SF,CORA,BA,BA3,1,4,1,73,177.4042006,-315.8373823,1395,22,71.80419248,12.5,35,2035,14
SF,CORA,BA,BA3,1,5,1,49,177.4042006,-315.8373823,1395,22,71.80419248,12.5,35,2035,14
SF,CORA,BA,BA5,1,1,1,108,176.1537024,-323.4582977,1351,17,72.90419248,12.8,35,2059,14
SF,CORA,BA,BA5,1,2,1,25,176.1537024,-323.4582977,1351,17,72.90419248,12.8,35,2059,14
SF,CORA,BA,BA5,1,3,2,68,176.1537024,-323.4582977,1351,17,72.90419248,12.8,35,2059,14
SF,CORA,BA,BA5,1,5,1,48,176.1537024,-323.4582977,1351,17,72.90419248,12.8,35,2059,14
SF,PULO,BC,BC3,1,1,2,48,527.4307877,-238.0357286,792,5,88.80419248,17.7,115,2699,14
SF,PULO,BC,BC3,1,2,2,4,527.4307877,-238.0357286,792,5,88.80419248,17.7,115,2699,14
SF,PULO,BC,BC3,1,3,2,39,527.4307877,-238.0357286,792,5,88.80419248,17.7,115,2699,14
SF,PULO,BC,BC3,1,4,1,96,527.4307877,-238.0357286,792,5,88.80419248,17.7,115,2699,14
SF,PULO,BC,BC3,1,5,2,78,527.4307877,-238.0357286,792,5,88.80419248,17.7,115,2699,14
SF,PULO,BC,BC6,1,1,1,99,527.2770235,-248.1825778,798,5,88.60419248,17.6,115,2704,14
SF,PULO,BC,BC6,1,2,1,102,527.2770235,-248.1825778,798,5,88.60419248,17.6,115,2704,14
SF,PULO,BC,BC6,1,3,2,103,527.2770235,-248.1825778,798,5,88.60419248,17.6,115,2704,14
SF,PULO,BC,BC6,1,4,1,129,527.2770235,-248.1825778,798,5,88.60419248,17.6,115,2704,14
SF,PULO,BC,BC6,1,5,2,31,527.2770235,-248.1825778,798,5,88.60419248,17.6,115,2704,14
SF,PULO,BC,BC8,1,1,1,95,527.205114,-252.2245739,809,6,88.10419248,17.4,116,2714,14
SF,PULO,BC,BC8,1,3,2,115,527.205114,-252.2245739,809,6,88.10419248,17.4,116,2714,14
SF,PULO,BC,BC8,1,4,1,40,527.205114,-252.2245739,809,6,88.10419248,17.4,116,2714,14
SF,PULO,BC,BC8,1,5,2,56,527.205114,-252.2245739,809,6,88.10419248,17.4,116,2714,14
SF,KLMT,BK,BK2,1,1,1,35,259.3436412,154.3393761,2668,172,50.80419248,7.4,42,1852,14
SF,KLMT,BK,BK2,1,2,2,63,259.3436412,154.3393761,2668,172,50.80419248,7.4,42,1852,14
SF,KLMT,BK,BK2,1,3,1,94,259.3436412,154.3393761,2668,172,50.80419248,7.4,42,1852,14
SF,KLMT,BK,BK2,1,4,2,100,259.3436412,154.3393761,2668,172,50.80419248,7.4,42,1852,14
SF,KLMT,BK,BK2,1,5,2,35,259.3436412,154.3393761,2668,172,50.80419248,7.4,42,1852,14
SF,KLMT,BK,BK3,1,1,1,82,256.4903364,-136.827832,2233,119,59.50419248,8.8,41,1813,14
SF,KLMT,BK,BK3,1,2,1,93,256.4903364,-136.827832,2233,119,59.50419248,8.8,41,1813,14
SF,KLMT,BK,BK3,1,3,1,131,256.4903364,-136.827832,2233,119,59.50419248,8.8,41,1813,14
SF,KLMT,BK,BK3,1,4,2,64,256.4903364,-136.827832,2233,119,59.50419248,8.8,41,1813,14
SF,KLMT,BK,BK3,1,5,1,39,256.4903364,-136.827832,2233,119,59.50419248,8.8,41,1813,14
SF,KLMT,BK,BK5,1,1,2,48,259.5744162,149.3068958,2706,176,50.30419248,7.4,43,1852,14
SF,KLMT,BK,BK5,1,2,1,67,259.5744162,149.3068958,2706,176,50.30419248,7.4,43,1852,14
SF,KLMT,BK,BK5,1,3,2,55,259.5744162,149.3068958,2706,176,50.30419248,7.4,43,1852,14
SF,KLMT,BK,BK5,1,4,2,45,259.5744162,149.3068958,2706,176,50.30419248,7.4,43,1852,14
SF,KLMT,BK,BK5,1,5,1,3,259.5744162,149.3068958,2706,176,50.30419248,7.4,43,1852,14
SF,CSCO,BL,BL1,1,1,1,54,589.8563054,51.4384496,747,-141,437.7041925,22.5,41,1534,14
SF,CSCO,BL,BL1,1,2,1,1,589.8563054,51.4384496,747,-141,437.7041925,22.5,41,1534,14
SF,CSCO,BL,BL1,1,3,2,77,589.8563054,51.4384496,747,-141,437.7041925,22.5,41,1534,14
SF,CSCO,BL,BL1,1,4,1,93,589.8563054,51.4384496,747,-141,437.7041925,22.5,41,1534,14
SF,CSCO,BL,BL1,1,5,1,83,589.8563054,51.4384496,747,-141,437.7041925,22.5,41,1534,14
SF,CSCO,BL,BL2,1,1,1,71,588.3260843,65.5056098,765,-140,431.4041925,22.2,42,1534,14
SF,CSCO,BL,BL2,1,2,1,70,588.3260843,65.5056098,765,-140,431.4041925,22.2,42,1534,14
SF,CSCO,BL,BL3,1,1,2,78,588.2867873,70.3194828,767,-140,431.0041925,22.1,42,1534,14
SF,CSCO,BL,BL3,1,2,1,45,588.2867873,70.3194828,767,-140,431.0041925,22.1,42,1534,14
SF,CSCO,BL,BL3,1,3,1,46,588.2867873,70.3194828,767,-140,431.0041925,22.1,42,1534,14
SF,CSCO,BL,BL3,1,4,2,96,588.2867873,70.3194828,767,-140,431.0041925,22.1,42,1534,14
SF,CSCO,BL,BL3,1,5,2,98,588.2867873,70.3194828,767,-140,431.0041925,22.1,42,1534,14
SF,PULO,BR,BR3,1,1,1,88,350.0396907,-321.4182909,991,-6,98.30419248,16.2,69,2188,14
SF,PULO,BR,BR3,1,2,1,103,350.0396907,-321.4182909,991,-6,98.30419248,16.2,69,2188,14
SF,PULO,BR,BR3,1,3,1,103,350.0396907,-321.4182909,991,-6,98.30419248,16.2,69,2188,14
SF,PULO,BR,BR3,1,4,1,93,350.0396907,-321.4182909,991,-6,98.30419248,16.2,69,2188,14
SF,PULO,BR,BR3,1,5,2,74,350.0396907,-321.4182909,991,-6,98.30419248,16.2,69,2188,14
SF,PULO,BR,BR7,1,1,2,64,350.0191701,-330.2135055,993,-6,98.30419248,16.2,68,2184,14
