"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"1","SO","WIVA","AK","AK3","1","1","1","32","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"2","SO","WIVA","AK","AK3","1","3","1","42","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"3","SO","WIVA","AK","AK3","1","4","1","39","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"4","SO","WIVA","AK","AK3","1","5","1","43","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"5","SO","WIVA","AK","AK3","1","6","1","37","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"6","SO","WIVA","AK","AK6","1","1","1","40","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"7","SO","WIVA","AK","AK6","1","2","2","36","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"8","SO","WIVA","AK","AK6","1","4","1","34","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"9","SO","WIVA","AK","AK6","1","5","4","32","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"10","SO","WIVA","AK","AK9","1","1","1","44","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"11","SO","WIVA","AK","AK9","1","2","1","28","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"12","SO","WIVA","AK","AK9","1","4","1","39","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"13","SO","WIVA","AK","AK9","1","5","1","25","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"14","SO","CORA","BA","BA2","1","1","1","44","97.8656276257049","-268.21326921","1398","127","71.984262369","12.6","35","1876","12"
"15","SO","CORA","BA","BA2","1","2","1","25","97.8656276257049","-268.21326921","1398","127","71.984262369","12.6","35","1876","12"
"16","SO","CORA","BA","BA2","1","3","1","31","97.8656276257049","-268.21326921","1398","127","71.984262369","12.6","35","1876","12"
"17","SO","CORA","BA","BA2","1","4","4","51","97.8656276257049","-268.21326921","1398","127","71.984262369","12.6","35","1876","12"
"18","SO","CORA","BA","BA2","1","5","1","18","97.8656276257049","-268.21326921","1398","127","71.984262369","12.6","35","1876","12"
"19","SO","CORA","BA","BA3","1","1","1","38","97.3158579356447","-264.27583187","1415","129","71.884262369","12.5","35","1861","12"
"20","SO","CORA","BA","BA3","1","4","1","35","97.3158579356447","-264.27583187","1415","129","71.884262369","12.5","35","1861","12"
"21","SO","CORA","BA","BA3","1","5","1","36","97.3158579356447","-264.27583187","1415","129","71.884262369","12.5","35","1861","12"
"22","SO","CORA","BA","BA5","1","1","1","25","98.0440418529103","-271.89674733","1371","124","72.984262369","12.8","35","1885","12"
"23","SO","CORA","BA","BA5","1","2","1","38","98.0440418529103","-271.89674733","1371","124","72.984262369","12.8","35","1885","12"
"24","SO","CORA","BA","BA5","1","3","1","27","98.0440418529103","-271.89674733","1371","124","72.984262369","12.8","35","1885","12"
"25","SO","CORA","BA","BA5","1","4","1","25","98.0440418529103","-271.89674733","1371","124","72.984262369","12.8","35","1885","12"
"26","SO","CORA","BA","BA5","1","5","1","37","98.0440418529103","-271.89674733","1371","124","72.984262369","12.8","35","1885","12"
"27","SO","PULO","BC","BC3","1","1","1","54","740.330530293661","-186.4741782","812","112","88.884262369","17.7","115","2525","12"
"28","SO","PULO","BC","BC3","1","2","1","41","740.330530293661","-186.4741782","812","112","88.884262369","17.7","115","2525","12"
"29","SO","PULO","BC","BC3","1","3","1","15","740.330530293661","-186.4741782","812","112","88.884262369","17.7","115","2525","12"
"30","SO","PULO","BC","BC3","1","4","1","23","740.330530293661","-186.4741782","812","112","88.884262369","17.7","115","2525","12"
"31","SO","PULO","BC","BC6","1","1","1","45","740.177315618642","-196.6210274","818","112","88.684262369","17.6","115","2530","12"
"32","SO","PULO","BC","BC6","1","2","1","40","740.177315618642","-196.6210274","818","112","88.684262369","17.6","115","2530","12"
"33","SO","PULO","BC","BC6","1","3","1","31","740.177315618642","-196.6210274","818","112","88.684262369","17.6","115","2530","12"
"34","SO","PULO","BC","BC6","1","4","1","28","740.177315618642","-196.6210274","818","112","88.684262369","17.6","115","2530","12"
"35","SO","PULO","BC","BC6","1","5","4","42","740.177315618642","-196.6210274","818","112","88.684262369","17.6","115","2530","12"
"36","SO","PULO","BC","BC8","1","1","1","22","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"37","SO","PULO","BC","BC8","1","2","1","40","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"38","SO","PULO","BC","BC8","1","3","4","33","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"39","SO","PULO","BC","BC8","1","4","1","42","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"40","SO","PULO","BC","BC8","1","5","1","44","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"41","SO","KLMT","BK","BK2","1","1","1","34","84.4025267282185","205.9009265","2688","279","50.884262369","7.4","42","1678","12"
"42","SO","KLMT","BK","BK2","1","2","1","47","84.4025267282185","205.9009265","2688","279","50.884262369","7.4","42","1678","12"
"43","SO","KLMT","BK","BK2","1","3","1","41","84.4025267282185","205.9009265","2688","279","50.884262369","7.4","42","1678","12"
"44","SO","KLMT","BK","BK2","1","4","1","49","84.4025267282185","205.9009265","2688","279","50.884262369","7.4","42","1678","12"
"45","SO","KLMT","BK","BK2","1","5","1","32","84.4025267282185","205.9009265","2688","279","50.884262369","7.4","42","1678","12"
"46","SO","KLMT","BK","BK3","1","1","1","18","81.5626884285419","-85.2662816","2253","226","59.584262369","8.8","41","1639","12"
"47","SO","KLMT","BK","BK3","1","5","1","26","81.5626884285419","-85.2662816","2253","226","59.584262369","8.8","41","1639","12"
"48","SO","KLMT","BK","BK5","1","1","1","59","84.1735445201019","200.8684462","2726","283","50.384262369","7.4","43","1678","12"
