Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SO,WIVA,AK,AK3,1,1,2,48,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK3,1,4,2,30,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK3,1,5,2,58,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK3,1,6,1,40,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK6,1,1,2,40,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK6,1,2,2,57,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK6,1,4,2,37,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK6,1,5,2,35,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK9,1,1,2,20,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK9,1,2,2,18,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,WIVA,AK,AK9,1,5,2,44,254.8719799,-249.8826649,781,84,113.8842624,20,66,1907,14
SO,CORA,BA,BA2,1,2,2,47,97.86562763,-268.2132692,1398,127,71.98426237,12.6,35,1876,14
SO,CORA,BA,BA2,1,5,2,34,97.86562763,-268.2132692,1398,127,71.98426237,12.6,35,1876,14
SO,CORA,BA,BA3,1,1,2,44,97.31585794,-264.2758319,1415,129,71.88426237,12.5,35,1861,14
SO,CORA,BA,BA3,1,4,2,32,97.31585794,-264.2758319,1415,129,71.88426237,12.5,35,1861,14
SO,CORA,BA,BA3,1,5,2,28,97.31585794,-264.2758319,1415,129,71.88426237,12.5,35,1861,14
SO,CORA,BA,BA5,1,1,1,49,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,14
SO,CORA,BA,BA5,1,2,2,37,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,14
SO,CORA,BA,BA5,1,3,1,18,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,14
SO,CORA,BA,BA5,1,5,2,34,98.04404185,-271.8967473,1371,124,72.98426237,12.8,35,1885,14
SO,PULO,BC,BC3,1,2,2,24,740.3305303,-186.4741782,812,112,88.88426237,17.7,115,2525,14
SO,PULO,BC,BC3,1,3,2,53,740.3305303,-186.4741782,812,112,88.88426237,17.7,115,2525,14
SO,PULO,BC,BC3,1,4,2,56,740.3305303,-186.4741782,812,112,88.88426237,17.7,115,2525,14
SO,PULO,BC,BC6,1,1,1,34,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,14
SO,PULO,BC,BC6,1,2,2,36,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,14
SO,PULO,BC,BC6,1,3,2,50,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,14
SO,PULO,BC,BC6,1,4,2,56,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,14
SO,PULO,BC,BC6,1,5,2,33,740.1773156,-196.6210274,818,112,88.68426237,17.6,115,2530,14
SO,PULO,BC,BC8,1,1,2,28,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,14
SO,PULO,BC,BC8,1,2,2,55,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,14
SO,PULO,BC,BC8,1,4,1,45,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,14
SO,PULO,BC,BC8,1,5,2,37,740.1031333,-200.6630235,829,113,88.18426237,17.4,116,2540,14
SO,KLMT,BK,BK2,1,1,2,39,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,14
SO,KLMT,BK,BK2,1,2,2,31,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,14
SO,KLMT,BK,BK2,1,3,1,50,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,14
SO,KLMT,BK,BK2,1,4,1,66,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,14
SO,KLMT,BK,BK2,1,5,1,25,84.40252673,205.9009265,2688,279,50.88426237,7.4,42,1678,14
SO,KLMT,BK,BK3,1,1,1,30,81.56268843,-85.2662816,2253,226,59.58426237,8.8,41,1639,14
SO,KLMT,BK,BK5,1,1,1,60,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,14
SO,KLMT,BK,BK5,1,2,2,48,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,14
SO,KLMT,BK,BK5,1,4,2,58,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,14
SO,KLMT,BK,BK5,1,5,2,52,84.17354452,200.8684462,2726,283,50.38426237,7.4,43,1678,14
SO,CSCO,BL,BL1,1,1,2,19,377.1408146,103,767,-34,437.7842624,22.5,41,1360,14
SO,CSCO,BL,BL1,1,2,2,47,377.1408146,103,767,-34,437.7842624,22.5,41,1360,14
SO,CSCO,BL,BL1,1,3,2,45,377.1408146,103,767,-34,437.7842624,22.5,41,1360,14
SO,CSCO,BL,BL1,1,4,2,27,377.1408146,103,767,-34,437.7842624,22.5,41,1360,14
SO,CSCO,BL,BL1,1,5,1,28,377.1408146,103,767,-34,437.7842624,22.5,41,1360,14
SO,CSCO,BL,BL2,1,2,2,49,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,14
SO,CSCO,BL,BL2,1,4,1,55,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,14
SO,CSCO,BL,BL2,1,5,2,60,375.5802206,117.0671602,785,-33,431.4842624,22.2,42,1360,14
SO,CSCO,BL,BL3,1,3,1,51,375.5400701,121.8810332,787,-33,431.0842624,22.1,42,1360,14
SO,CSCO,BL,BL3,1,5,2,25,375.5400701,121.8810332,787,-33,431.0842624,22.1,42,1360,14
SO,PULO,BR,BR3,1,1,2,23,560.4448821,-269.8567405,1011,101,98.38426237,16.2,69,2014,14
SO,PULO,BR,BR3,1,2,2,25,560.4448821,-269.8567405,1011,101,98.38426237,16.2,69,2014,14
SO,PULO,BR,BR3,1,4,1,21,560.4448821,-269.8567405,1011,101,98.38426237,16.2,69,2014,14
SO,PULO,BR,BR3,1,5,2,44,560.4448821,-269.8567405,1011,101,98.38426237,16.2,69,2014,14
SO,PULO,BR,BR7,1,1,2,52,560.4342592,-278.6519551,1013,101,98.38426237,16.2,68,2010,14
SO,PULO,BR,BR7,1,3,2,42,560.4342592,-278.6519551,1013,101,98.38426237,16.2,68,2010,14
SO,PULO,BR,BR7,1,4,2,42,560.4342592,-278.6519551,1013,101,98.38426237,16.2,68,2010,14
SO,CSCO,CA,CA3,1,1,1,43,441.6530319,-164.6910296,733,-45,545.2842624,24.3,25,967,14
SO,CSCO,CA,CA3,1,2,1,28,441.6530319,-164.6910296,733,-45,545.2842624,24.3,25,967,14
SO,CSCO,CA,CA3,1,4,2,17,441.6530319,-164.6910296,733,-45,545.2842624,24.3,25,967,14
SO,CSCO,CA,CA3,1,5,2,12,441.6530319,-164.6910296,733,-45,545.2842624,24.3,25,967,14
SO,CSCO,CA,CA4,1,1,2,67,441.6526998,-162.2082502,734,-45,544.6842624,24.3,25,967,14
SO,CSCO,CA,CA4,1,2,2,19,441.6526998,-162.2082502,734,-45,544.6842624,24.3,25,967,14
SO,CSCO,CA,CA4,1,3,2,39,441.6526998,-162.2082502,734,-45,544.6842624,24.3,25,967,14
SO,CSCO,CA,CA4,1,4,2,27,441.6526998,-162.2082502,734,-45,544.6842624,24.3,25,967,14
SO,PULO,CB,CB1,1,1,1,42,682.4699775,-267.5529205,640,138,76.58426237,21.7,80,2257,14
SO,PULO,CB,CB1,1,3,2,27,682.4699775,-267.5529205,640,138,76.58426237,21.7,80,2257,14
SO,CSCO,CC,CC2,1,1,2,43,509.6380572,-279.2517766,444,-61,728.4842624,32.9,20,965,14
SO,CSCO,CC,CC2,1,2,2,23,509.6380572,-279.2517766,444,-61,728.4842624,32.9,20,965,14
SO,CSCO,CC,CC2,1,3,2,27,509.6380572,-279.2517766,444,-61,728.4842624,32.9,20,965,14
SO,CSCO,CC,CC4,1,4,2,25,509.5981703,-288,448,-60,725.0842624,32.7,20,965,14
SO,CSCO,CC,CC7,1,3,1,24,509.5631096,-294.4717156,435,-61,738.0842624,33.3,20,964,14
SO,CSCO,CC,CC7,1,4,2,55,509.5631096,-294.4717156,435,-61,738.0842624,33.3,20,964,14
SO,CSCO,CC,CC7,1,5,2,46,509.5631096,-294.4717156,435,-61,738.0842624,33.3,20,964,14
SO,PULO,CL,CL1,1,1,1,40,609.9067334,-272.9407282,595,125,82.58426237,23.3,69,2116,14
SO,PULO,CL,CL1,1,2,1,39,609.9067334,-272.9407282,595,125,82.58426237,23.3,69,2116,14
SO,KLMT,CP,CP24,1,3,1,36,25.03873767,432.5141535,1183,55,146.0842624,14.6,76,1992,14
SO,KLMT,CP,CP26,1,1,2,1,53.11670345,388.6523575,333,22,192.4842624,33.2,108,2205,14
SO,KLMT,CP,CP26,1,2,2,20,53.11670345,388.6523575,333,22,192.4842624,33.2,108,2205,14
SO,KLMT,CP,CP26,1,3,2,39,53.11670345,388.6523575,333,22,192.4842624,33.2,108,2205,14
SO,KLMT,CP,CP26,1,4,1,46,53.11670345,388.6523575,333,22,192.4842624,33.2,108,2205,14
SO,KLMT,CP,CP26,1,5,2,48,53.11670345,388.6523575,333,22,192.4842624,33.2,108,2205,14
SO,KLMT,CP,CP9,1,1,2,34,46.59942727,509.2123631,362,25,183.2842624,31,125,2350,14
SO,KLMT,CP,CP9,1,2,2,54,46.59942727,509.2123631,362,25,183.2842624,31,125,2350,14
SO,KLMT,CP,CP9,1,3,1,58,46.59942727,509.2123631,362,25,183.2842624,31,125,2350,14
