"","Latitude","Longitude","Slope","Aspect","Elevation","DD.5.wt","Tmax.wt","Eref.wt","MCMT","DD.5.at","Tave.wt","DD.18.wt","Tave.at","DD.18.at","DD.18","DD.5","MAT","SHM","Tmax.at","CMD.at","Eref.at","eFFP.y","DD.5.sp","DD.18.at.1","Tave.sp","DD.18.sp","Tmin.at","Tmin.wt","PPT.sm","CMD","CMD.sp","EMT","Eref.sp","MSP.y","bFFP.x"
"Latitude",0,0.0762153684955063,0.0759346798475183,0.000757038937194396,0.181246859947195,0.661272056804158,0.729635686179422,0.901989586624954,0.587729175288042,0.845660115025977,0.593644967813081,0.59379951029131,0.829273291152785,0.818451645013622,0.728412182213335,0.7773411223598,0.747632177823761,0.563062353754753,0.834990693930873,0.75523580272882,0.861894929062549,0.354763049264496,0.591426295744656,0.701860656194944,0.568077783605983,0.561912609358568,0.382676474897241,0.293689923482189,0.565637434062189,0.659024681218808,0.445244042391188,0.234046301519548,0.718189254342616,0.344696737876719,0.229874252694338
"Longitude",0,0,0.00745007948364795,0.0310056734003139,0.0609640346316188,0.0404655458087641,0.0435517224212546,0.0858847523399546,0.0187262733851423,0.119009159261448,0.0204642865095881,0.0206004217264192,0.105510949891625,0.0840807895971772,0.0742869969697788,0.147209513476762,0.114791287316643,0.0862542795755329,0.0930050114638672,0.0909535098679742,0.0843900781543856,0.0190585769461911,0.109479977525106,0.182381922905054,0.0931115679999606,0.0863116068062098,0.0700880545377246,0.00122815480404014,0.0807711655324906,0.104704504070141,0.0733629565627583,0.00010183147902263,0.0909696367395363,0.0992821195550165,0.0161640689453561
"Slope",0,0,0,0.00085135324657266,0.114173089637996,0.00938664538816916,0.00386803861265414,0.0443439959454222,3.5579550615572e-06,0.0231885837918225,4.60156648626499e-05,3.09900707901584e-05,0.0181072187765577,0.0128127504023611,0.00542408089162375,0.0194935484442525,0.00979894405712077,0.0515747095949743,0.0387759008474779,0.0553391424105811,0.0686861211634038,0.000823869992515721,0.00595147930664011,0.0304864937491922,0.00223353696617377,0.00165812595720002,0.000882754055554125,0.00529488521218825,0.0208722720028092,0.0576872201281191,0.0380540105669335,0.00913141887767243,0.0592953751653348,0.0085949591415385,0.00521059967466349
"Aspect",0,0,0,0,0.0433173683154286,0.0175368512385182,0.00694385776667763,4.59067532819342e-05,0.0143441165943427,0.00607317223841668,0.0181824289614654,0.018040132597973,0.0062586462485635,0.0082069511196077,0.0128528481414175,0.00586221501430865,0.00763961187129558,0.0253383433499473,8.41087494991346e-05,0.00103172262209393,0.00160366475935541,0.0397026016119687,0.0238561689425573,0.00100590404193303,0.0241233958103093,0.0249278058288519,0.0383984378858629,0.0332671058564313,0.00450567721567336,8.96484168132816e-05,0.0233913075937924,0.0364929351756942,0.000661234453673352,0.0198769446044615,0.0594586167103057
"Elevation",0,0,0,0,0,0.00142999394492971,1.49193705858238e-07,0.0612899031913569,0.00872598154118792,0.0411525723513493,0.0118428819956673,0.0112874643173201,0.031852314515662,0.0181447897465607,1.64194606086978e-05,0.0237381072058224,0.00980572736704156,0.0002416067352166,0.0592426384411004,0.0407791262572385,0.115572195375895,0.0158364618294673,0.017145819496384,0.104174300421604,0.0235604972237638,0.027736540548051,2.17804762798093e-07,0.0570654915425124,0.00906438910075451,0.0561514208124772,0.000381506834826781,0.083014674914432,0.0590088523591852,0.00242988051595262,0.0868555997614048
"DD.5.wt",0,0,0,0,0,0,0.858437393752765,0.696807443552164,0.95206515681194,0.783301795121923,0.953742434349723,0.953967494949892,0.787570237029102,0.829846226945822,0.832810591609786,0.682899011437717,0.717472791601692,0.581279862527353,0.572555890296502,0.484711523097862,0.484281440039552,0.806727943536626,0.712215007171352,0.48698191663506,0.705226559052334,0.711990183684755,0.733222279771451,0.800942840161744,0.44758071574609,0.340088864347679,0.366767675087699,0.749494230149153,0.373557369789108,0.332051866282114,0.753766723889881
"Tmax.wt",0,0,0,0,0,0,0,0.881010123470748,0.896552822773128,0.898452273543574,0.905383502225749,0.90448354459061,0.910856409706756,0.927108256995387,0.943296391602105,0.868319073622748,0.904279541438705,0.580727565664276,0.822327559127998,0.675765567970346,0.7193306609735,0.588971618605326,0.866759630311985,0.704329441659397,0.868856619094172,0.870331850351345,0.558115111699793,0.55431189364203,0.569418264889229,0.565343672787042,0.489236279474462,0.497642748685657,0.645098156075038,0.404688277009799,0.479188086082307
"Eref.wt",0,0,0,0,0,0,0,0,0.659982540572506,0.892252779819617,0.670127462769359,0.66895459506073,0.882226034891491,0.86204396492643,0.828254081468115,0.883168062461702,0.863283714059902,0.628281505926515,0.938134807192952,0.853335571342552,0.929934950821963,0.343369777139731,0.769927842478952,0.796614824734866,0.747549531727844,0.737903627045331,0.348535245470809,0.286846215888655,0.640515232081775,0.760324040358687,0.563348168844918,0.232454697929451,0.841690290008564,0.430596249902464,0.232722797577168
"MCMT",0,0,0,0,0,0,0,0,0,0.777717653104939,0.995236610245726,0.99592524233066,0.79653414538175,0.845665112593261,0.863394233128243,0.686512609979518,0.747511725978494,0.477907153834124,0.569422263116195,0.431202923829362,0.452367108750545,0.836066362146114,0.722509697087978,0.492417711795721,0.734791432258591,0.745777490849878,0.76483591947525,0.837083459277013,0.419978116059126,0.311083436378416,0.32180331685055,0.791713492849895,0.3566282136662,0.302505336317585,0.751907023291689
"DD.5.at",0,0,0,0,0,0,0,0,0,0,0.796372553306449,0.795759149546413,0.99778990565638,0.984356162727164,0.949657673614156,0.96928541904995,0.968885988698173,0.592291390379243,0.900573269901344,0.726611784252511,0.812017777444074,0.557919635552106,0.847729252039864,0.875550996069106,0.837998232476455,0.832355832446856,0.610315052097415,0.468339477905162,0.593137963759614,0.657039619058758,0.507136885770149,0.402705710551769,0.715528419671112,0.403000368016106,0.412088970734164
