"","ClimVar","PVGr","PVDBK","PVMort","PHGr","PHDBK","PHMort","SFGr","SFDBK","SFMort","SOGr","SODBK","SOMort"
"1","Ecoregion",0.00381486754400313,0.00261369137685022,0.0286433541417714,0.00189932013891398,0.00123373393388171,0.00913582906243076,0.00240196963502026,0.00597874698037494,0.00772130552309466,0.00903486178025868,0.00305069019390156,0.0069018512962223
"2","Dist",0.000962167440090523,0.000862512469344146,0.00420389254416389,0.0012809357002011,0.000158809334634806,0.000804211896173071,0.000481846578415976,0.00118737515139295,0.000164168207992319,0.00266114248611865,3.51190040322786e-06,0.00146089396666131
"3","ElevDist",0.000538216902589617,0.00115265591044608,0.00141939831380069,0.000100907891669922,4.16705810098024e-06,8.77629189654489e-06,0.000274352300716558,0.000937636315743055,0.000403199529507307,0.00107194968915528,7.98797967707983e-05,1.21592956290261e-05
"4","Slope",0.000361270903097482,5.51179935388156e-05,0.000942952300188318,0.000757712767968399,3.70384633593767e-05,1.08920197712591e-07,0.00019441030804556,1.23617711139501e-05,0.000559225923041686,9.56145350605573e-05,4.33449902082168e-05,0.000142858201044386
"5","Aspect",0.000563723992067035,0.000340813691599878,0.00504605932579664,0.000814923484452213,7.73803881633937e-05,0.00272198918133699,0.000120535870448434,0.000987175284650257,0.000411619288598118,5.78756566819845e-07,0.000793570167940104,0.000340130829804081
"6","MAT",6.75174571589998e-05,0.000792940032850435,0.00256564093660988,0.00020131775480315,0.000337947473118964,0.0012660534190311,1.46152194073834e-06,0.000806270685673552,0.000455590745736395,0.000154488623838592,1.0728411549783e-06,0.000324936474400243
"7","MWMT",6.6450160145362e-05,0.0012054372059508,0.00541576687881894,1.65758384332939e-05,9.35070107664222e-05,3.09119971022732e-05,4.05162111916973e-05,0.000392733446280802,0.000761780020451207,7.99725379028701e-06,0.000372130168063375,0.000699077138417092
"8","MCMT",4.8763495268856e-05,0.000215289724572677,0.00054711355646021,0.000901698129447039,0.000384836970579306,0.00156036714711221,3.14903462481854e-05,0.00100939229214122,0.000248078507036897,9.53055501150303e-05,0.000113376905162234,0.000150351763561693
"9","TD",4.12663711566341e-06,0.000433191216134927,0.00250118435220692,0.000700929400904437,3.74703257759478e-05,0.000706007807602708,0.000102852775334301,3.88842172289865e-05,0.000196236488071226,9.72083753436367e-05,0.00071234536697304,0.000198116278184332
"10","MAP",1.92914866178737e-05,9.05931532050439e-05,0.000730374648127179,0.000516146646324918,1.14708502825316e-05,0.000200878177344747,0.00027870702895623,0.000135829754745398,0.00102649702698459,4.44312788785838e-05,2.07577206225182e-05,0.00014767436595478
"11","MSP.y",4.53984194187977e-05,0.000176784630659817,0.000599021984812948,6.36070839402969e-06,4.62807366624416e-05,9.69347640368127e-05,0.000331076107787186,0.000928526330768156,0.000335627095811299,2.96387537572518e-06,0.000270057342238046,0.000566618413205664
"12","AHM",0.000361270903097482,5.51179935388156e-05,0.000942952300188318,0.000757712767968399,3.70384633593767e-05,1.08920197712591e-07,0.00019441030804556,1.23617711139501e-05,0.000559225923041686,9.56145350605573e-05,4.33449902082168e-05,0.000142858201044386
"13","SHM",0.000538216902589638,0.0011526559104461,0.00141939831380069,0.000100907891669912,4.16705810098037e-06,8.77629189654201e-06,0.000274352300716555,0.000937636315743043,0.000403199529507314,0.00107194968915527,7.98797967707978e-05,1.2159295629026e-05
"14","DD.0",3.05036794482594e-05,0.000109267238732597,0.000712895731924967,7.58756434142841e-05,0.000381373068827029,0.00364199288783307,1.3806115976172e-05,0.000604774990422063,0.000183910608563124,0.000263937958959272,0.000214480825681346,0.000251721910658461
"15","DD.5",0.000129079190203765,0.000929314091837913,0.00294138440847264,0.00025073479438088,0.00031243126541541,0.000875666128622697,4.74947021806837e-06,0.000820048871589694,0.000503048974551585,0.000121097417036467,1.14252215674422e-05,0.000259479423847381
"16","DD.18",3.59728348910762e-05,0.00053507947555714,0.00138830333507117,0.000329061738509303,0.000429135534412556,0.00200764281230209,8.24235748215331e-06,0.000748192381632361,0.000435081546172868,0.000305644821888911,2.483390763487e-05,0.000221961574929015
"17","DD.18.1",0.000170399628258762,0.00141828730991691,0.00733363188960768,5.60973752626459e-07,6.6339476631201e-05,3.06767024733074e-06,0.000156911496969248,0.000658662186975184,0.000374199819675942,7.49736481945371e-06,0.000323690176848183,0.000411038551979192
"18","NFFD",5.62970186200124e-05,1.71028905077571e-05,0.000117010342804097,0.000534568285941593,0.000257065999521751,0.00353039706764337,2.36927732637804e-07,0.000249502677577951,9.54559759018036e-06,2.79710337080504e-05,9.69735898184055e-05,6.14023628357564e-05
"19","bFFP",3.72986423244405e-05,5.97163781551159e-06,4.38042172961732e-05,0.00095493113463169,0.00034094970915012,0.00185863450279696,2.23687511673355e-06,0.000456574694478998,0.000168218949561103,0.000150236134984929,1.43406072470372e-05,0.000321986665980909
"20","eFFP.y",9.75610244280403e-06,0.000115300383116664,0.000607380535237727,0.00134507839819376,0.000534791709992461,0.00274427398998229,4.44555470349349e-05,0.000659701707808897,5.69459005836854e-06,0.000281846052704473,1.85843896100364e-05,2.6745137360555e-05
"21","FFP",2.70485436839496e-05,2.98669853894145e-05,0.000164547570148876,0.00110250805976773,0.000417120424546067,0.0022569845889632,1.21822894443539e-05,0.000543053350051454,9.32839019850223e-05,0.000197207769039089,1.3705363317114e-05,0.000173714236697711
"22","PAS",0.000119228456572259,8.56038423910657e-05,0.000146380190506837,0.000177480607203261,0.000488198134683391,0.00502814549647153,1.44863752995697e-05,0.000203996542463832,0.000111247876321076,0.000166019378671488,0.000216393683580291,5.72514659471963e-05
"23","EMT",5.76968189677626e-05,7.24632455309797e-07,5.09425113244302e-05,0.00119971353091254,0.00042621920811043,0.00292719611564235,2.40825781010487e-05,0.000425877906452218,8.79498347684423e-05,0.000113267016740258,0.000136945433399451,6.9477381938222e-05
"24","EXT",0.000182787048905354,0.000933343967802933,0.00233405068685433,4.2900961902063e-05,0.000105540159985555,0.000627736475541573,1.72275481253346e-08,9.561036060108e-05,0.00158371822681176,2.14701556970783e-05,5.10025835238768e-05,0.00137127067309123
"25","MAR",0.000469505095879373,0.000207878137750437,1.4605979031719e-06,4.59180703682544e-06,0.000630762434106363,0.00694387147129726,0.00130805753641039,0.000932040246667124,0.00155420791681162,0.000114976137559564,0.000741863942798641,0.00044223533677727
"26","Eref",0.000655437737847246,0.00118194961669225,0.00271545543962373,6.61659393534546e-05,0.000111671978396501,6.72191874043177e-05,1.98554426654849e-07,0.000501777470304533,0.00176917721727411,0.000121343901661962,1.33727136308809e-06,0.0016023726911393
