"","Group","Dep","Indep","MAE1","MAE2","MAE3","MAE4","MAE5"
"1","Bud.Swollen","Phenology","Lat_Long","7.20775838208217","8.29533203740131","7.05091136347911","8.11952147912477","8.10556676958644"
"2","Bud.Swollen","Phenology","Long","7.1782047241781","8.29773896513486","7.05103647763608","8.09648465238789","8.0944336256503"
"3","Bud.Swollen","Phenology","Long_Elev","7.17672022086941","8.29736760074304","7.08380651835078","8.09869494126593","8.093258482085"
"4","Bud.Swollen","Phenology","Long_eFFP","7.2189917444079","8.29864239450024","7.0538389224709","8.08693396743641","8.11160013010875"
"5","Bud.Swollen","Phenology","Long_MSP","7.16083186984197","8.2595207577181","7.1031480123126","8.15938522752714","8.14264267212909"
"6","Bud.Swollen","Phenology","Long_MSP_Slope","7.15870935199382","8.2821726260679","7.09078871466902","8.16587796955046","8.14314543444648"
"7","Bud.Swollen","Phenology","Long_MSP_Aspect","7.13600423026658","8.24724338239723","7.0888531503471","8.1420750063322","8.18032379989101"
"8","Bud.Swollen","Phenology","Long_Slope","7.17368253916823","8.32380222324167","7.04561981931109","8.10219178816551","8.09265478330471"
"9","Bud.Swollen","Phenology","Long_Aspect","7.14717491829753","8.28309925839158","7.03225864704621","8.06902154464991","8.12331602887034"
"10","Bud.Swollen","Phenology","Long_DD.5.sp","7.22012100367409","8.29133729803895","7.04945878739468","8.14050315373119","8.15536664560431"
"11","Bud.Swollen","Phenology","Elev","7.17522202905626","8.2779215571188","7.1193690796547","8.14714972113049","8.12357197741961"
"12","Bud.Swollen","Phenology","eFFP","7.2286808505223","8.27758256157917","7.06400399115392","8.12915730807198","8.15216275602262"
"13","Bud.Swollen","Phenology","MSP","7.17108634240635","8.25886363528786","7.1010363779608","8.20255259097498","8.17837863102599"
"14","Bud.Swollen","Phenology","Aspect","7.13696097432962","8.25429040149639","7.05203200964806","8.1254494487031","8.15556639404798"
"15","Bud.Swollen","Phenology","DD.5.sp","7.1918617326307","8.27785327698538","7.06979186283398","8.18663517826761","8.19465210128042"
"16","Bud.Elongating","Phenology","Lat_Elev_eFFP_Slope","6.8785359781065","7.378127771633","7.32068903642765","7.22704385756678","6.91105781846577"
"17","Bud.Elongating","Phenology","Long_Elev_eFFP_Slope","6.87812044819078","7.37051666963824","7.27686374219388","7.19986831929354","6.94036158119737"
"18","Bud.Elongating","Phenology","Elev_eFFP","6.9184029402207","7.41471992292735","7.28574090024468","7.18540500521913","6.90917467382758"
"19","Bud.Elongating","Phenology","Elev_eFFP_MSP_Slope","6.90301861993603","7.43048636139697","7.2858126457288","7.22193274411057","6.90878801490907"
"20","Bud.Elongating","Phenology","Elev_eFFP_Slope","6.87809083338854","7.37204060244515","7.27353098217154","7.20283506800168","6.90823216691492"
"21","Bud.Elongating","Phenology","Elev_eFFP_Slope_Aspect","6.90948050700136","7.37057080297379","7.26512357003596","7.21809055123719","6.92317855378768"
"22","Bud.Elongating","Phenology","Elev_eFFP_Slope_DD.5.sp","6.87767914909985","7.40971548979685","7.35597030344608","7.23912191819176","6.934532115909"
"23","Bud.Elongating","Phenology","Elev_Slope_DD.5.sp","6.90630201435079","7.33673302986189","7.36440419557661","7.27045777605089","6.95325733981933"
"24","Leaves.emerging","Phenology","Ecoregion","5.65857229448808","6.22974301385198","5.75767345999504","5.54263965495678","6.32289725468399"
"25","Leaves.emerging","Phenology","Ecoregion_Lat","5.64534464441244","6.23744033981412","5.80600146712767","5.52067036823249","6.30017499332692"
"26","Leaves.emerging","Phenology","Ecoregion_Lat_Long","5.64685596610841","6.2329905376147","5.80513659954133","5.52356513302069","6.29418837548591"
"27","Leaves.emerging","Phenology","Ecoregion_Lat_eFFP","5.64538550248066","6.23870531616268","5.82541448475643","5.52863176109585","6.29544946502968"
"28","Leaves.emerging","Phenology","Ecoregion_Lat_Slope","5.6350428568961","6.22865842224404","5.79826682349076","5.51854968259806","6.28356555058131"
"29","Leaves.emerging","Phenology","Ecoregion_Lat_DD.5.sp","5.64011856290667","6.2207856548948","5.80278551585438","5.55220743091036","6.34730355246428"
"30","Leaves.emerging","Phenology","Ecoregion_Long","5.65662698728039","6.22386331933561","5.74826471407942","5.54026245167577","6.29958916110227"
"31","Leaves.emerging","Phenology","Ecoregion_Elev_DD.5.sp","5.60425335305439","6.21620032672245","5.7230153700481","5.61147947764023","6.28811931119897"
"32","Leaves.emerging","Phenology","Ecoregion_Slope","5.646593922333","6.22054909329516","5.76937255986435","5.53973649485578","6.30580408924541"
"33","Leaves.emerging","Phenology","Ecoregion_Slope_DD.5.sp","5.63277457987947","6.20145868616394","5.73556916561945","5.57968565586755","6.30044332087504"
"34","Leaves.emerging","Phenology","Ecoregion_DD.5.sp","5.65132886206573","6.21176749248304","5.73691518322907","5.57886790358203","6.32345504912761"
"35","Leaves.emerging","Phenology","Lat_Elev","5.73398319117778","6.16741211502921","5.81688035290889","5.59050700069165","6.31146426893749"
"36","Leaves.emerging","Phenology","Lat_Elev_eFFP","5.71484683840519","6.17576859641463","5.84386319093201","5.54140828770516","6.35729752208686"
"37","Leaves.emerging","Phenology","Long_Elev","5.74706588615966","6.16241429355053","5.83272176609632","5.60520221026866","6.368097622063"
"38","Leaves.emerging","Phenology","Elev","5.7349223764887","6.1647280792654","5.81748122278635","5.59092403119914","6.3057867650171"
"39","Leaves.emerging","Phenology","Elev_eFFP","5.72421475616508","6.1783029631409","5.81991455611616","5.55410736537172","6.35570812022817"
"40","Leaves.emerging","Phenology","Elev_eFFP_Slope","5.69259169151472","6.1596069486245","5.81791861323114","5.55367718892436","6.33568337102484"
"41","Leaves.emerging","Phenology","Elev_eFFP_Aspect","5.7249654793578","6.16546686539838","5.84870663694667","5.59423105253714","6.35318889973898"
"42","Leaves.emerging","Phenology","Elev_eFFP_DD.5.sp","5.7263844354868","6.17088250084509","5.81204985302886","5.55121976733188","6.36831712364329"
"43","Leaves.emerging","Phenology","Elev_MSP","5.73897600179657","6.1997193410932","5.81760737149108","5.60189604053653","6.30792403959958"
"44","Leaves.emerging","Phenology","Elev_Slope","5.70333660560485","6.13792932949995","5.83117734436399","5.58792933546098","6.29259294844867"
"45","Leaves.emerging","Phenology","Elev_Aspect","5.73308784863563","6.15001241373172","5.85975396649186","5.62659448520542","6.30063582880479"
"46","Leaves.emerging","Phenology","Elev_DD.5.sp","5.73636617968092","6.16788609678428","5.82255813923774","5.59513060855421","6.30635478958913"
