"","Site","IndepVars","AIC"
"1","PuyallupValley","Ecoregion","1311.29125180339"
"2","PuyallupValley","Ecoregion_Dist","1313.2678993432"
"3","PuyallupValley","Ecoregion_Slope","1313.28432810491"
"4","PuyallupValley","Ecoregion_Aspect","1313.15936994065"
"5","PuyallupValley","Ecoregion_ElevDist","1313.23135869134"
"6","PuyallupValley","Ecoregion_eFFP","1313.28970409402"
"7","PuyallupValley","Ecoregion_MSP","1313.28068658142"
"8","PuyallupValley","Ecoregion_DD.5.sp","1313.23289423756"
"9","PuyallupValley","Dist","1312.71153271911"
"10","PuyallupValley","Aspect_ElevDist","1312.99814779269"
"11","PuyallupValley","Aspect_ElevDist_eFFP","1312.12656705765"
"12","PuyallupValley","Aspect_eFFP","1312.05097453061"
"13","PuyallupValley","ElevDist","1312.3795177972"
"14","PuyallupHill","Dist_Slope_ElevDist_DD.5.sp","1171.63723058054"
"15","PuyallupHill","Dist_Slope_DD.5.sp","1171.51982247364"
"16","PuyallupHill","Dist_Aspect_ElevDist_DD.5.sp","1171.57258469175"
"17","PuyallupHill","Dist_Aspect_DD.5.sp","1171.11900098993"
"18","PuyallupHill","Dist_ElevDist_eFFP_DD.5.sp","1171.12155485831"
"19","PuyallupHill","Dist_ElevDist_MSP_DD.5.sp","1171.60934999867"
"20","PuyallupHill","Dist_ElevDist_DD.5.sp","1169.66592349143"
"21","PuyallupHill","Dist_eFFP_MSP_DD.5.sp","1171.60665626658"
"22","PuyallupHill","Dist_eFFP_DD.5.sp","1170.35500422448"
"23","PuyallupHill","Dist_MSP_DD.5.sp","1171.32533276158"
"24","PuyallupHill","Dist_DD.5.sp","1169.83070832411"
"25","Starker","Dist","1126.44367856253"
"26","Starker","Dist_eFFP","1128.03883500353"
"27","Starker","Dist_DD.5.sp","1127.68021800419"
"28","Starker","Slope","1126.31403000317"
"29","Starker","Slope_eFFP","1127.99938989308"
"30","Starker","Slope_DD.5.sp","1126.64408122767"
"31","Starker","Aspect","1126.27900375453"
"32","Starker","Aspect_eFFP","1128.02378929241"
"33","Starker","Aspect_DD.5.sp","1127.85482473352"
"34","Starker","ElevDist","1126.3563687789"
"35","Starker","ElevDist_eFFP","1128.01923644285"
"36","Starker","eFFP","1126.04582052981"
"37","Starker","eFFP_MSP","1128.04299707497"
"38","Starker","eFFP_DD.5.sp","1127.78108602574"
"39","Starker","MSP","1126.34052135936"
"40","Starker","MSP_DD.5.sp","1127.40629577271"
"41","Starker","DD.5.sp","1126.31825747265"
"42","Sprague","Dist","1337.46950532389"
"43","Sprague","Dist_Slope","1339.46934840003"
"44","Sprague","Dist_Aspect","1339.46921558692"
"45","Sprague","Dist_ElevDist","1339.46950419836"
"46","Sprague","Dist_eFFP","1339.44384380872"
"47","Sprague","Dist_MSP","1338.90295826522"
"48","Sprague","Dist_DD.5.sp","1339.36405425309"
"49","Sprague","Slope","1338.43075516896"
"50","Sprague","Aspect","1338.31737173266"
"51","Sprague","Aspect_MSP","1339.32565581688"
"52","Sprague","ElevDist","1338.32513303843"
"53","Sprague","eFFP","1338.33944361087"
"54","Sprague","eFFP_MSP","1339.39955535686"
"55","Sprague","MSP","1338.23238932182"
"56","Sprague","DD.5.sp","1338.37704024917"
