"","Phen","IndepVars","AIC"
"1","Bud.Swollen","Lat_Long","4288.05513880961"
"2","Bud.Swollen","Long","4286.40844370689"
"3","Bud.Swollen","Long_Elev","4288.33831807478"
"4","Bud.Swollen","Long_eFFP","4288.25018538977"
"5","Bud.Swollen","Long_MSP","4286.71476776465"
"6","Bud.Swollen","Long_MSP_Slope","4288.33798788425"
"7","Bud.Swollen","Long_MSP_Aspect","4287.90526929731"
"8","Bud.Swollen","Long_Slope","4288.10754732346"
"9","Bud.Swollen","Long_Aspect","4287.4625184591"
"10","Bud.Swollen","Long_DD.5.sp","4287.31020136325"
"11","Bud.Swollen","Elev","4288.01344328887"
"12","Bud.Swollen","eFFP","4288.12616004993"
"13","Bud.Swollen","MSP","4287.84836508928"
"14","Bud.Swollen","Aspect","4287.91264762298"
"15","Bud.Swollen","DD.5.sp","4288.10061268833"
"16","Bud.Elongating","Lat_Elev_eFFP_Slope","4199.52502464232"
"17","Bud.Elongating","Long_Elev_eFFP_Slope","4199.5312469172"
"18","Bud.Elongating","Elev_eFFP","4197.87660183692"
"19","Bud.Elongating","Elev_eFFP_MSP_Slope","4199.52490718135"
"20","Bud.Elongating","Elev_eFFP_Slope","4197.53232279836"
"21","Bud.Elongating","Elev_eFFP_Slope_Aspect","4199.40615176262"
"22","Bud.Elongating","Elev_eFFP_Slope_DD.5.sp","4199.30526706006"
"23","Bud.Elongating","Elev_Slope_DD.5.sp","4198.91629322941"
"24","Leaves.emerging","Ecoregion","4009.97559430389"
"25","Leaves.emerging","Ecoregion_Lat","4009.79042306857"
"26","Leaves.emerging","Ecoregion_Lat_Long","4011.69711329954"
"27","Leaves.emerging","Ecoregion_Lat_eFFP","4011.75585967537"
"28","Leaves.emerging","Ecoregion_Lat_Slope","4011.51803544004"
"29","Leaves.emerging","Ecoregion_Lat_DD.5.sp","4011.35048827628"
"30","Leaves.emerging","Ecoregion_Long","4011.55004031988"
"31","Leaves.emerging","Ecoregion_Elev_DD.5.sp","4011.06017806978"
"32","Leaves.emerging","Ecoregion_Slope","4011.66462578211"
"33","Leaves.emerging","Ecoregion_Slope_DD.5.sp","4011.59612460627"
"34","Leaves.emerging","Ecoregion_DD.5.sp","4010.12911315831"
"35","Leaves.emerging","Lat_Elev","4011.7508960653"
"36","Leaves.emerging","Lat_Elev_eFFP","4010.89619029141"
"37","Leaves.emerging","Long_Elev","4011.68698858036"
"38","Leaves.emerging","Elev","4009.76480173681"
"39","Leaves.emerging","Elev_eFFP","4009.80249841131"
"40","Leaves.emerging","Elev_eFFP_Slope","4010.97046342591"
"41","Leaves.emerging","Elev_eFFP_Aspect","4011.64355288043"
"42","Leaves.emerging","Elev_eFFP_DD.5.sp","4011.09585371442"
"43","Leaves.emerging","Elev_MSP","4011.69923059948"
"44","Leaves.emerging","Elev_Slope","4010.80095983368"
"45","Leaves.emerging","Elev_Aspect","4011.40025001333"
"46","Leaves.emerging","Elev_DD.5.sp","4011.71862731741"
