"","Dep","Indep","Rand","AIC","R2m","R2c"
"1","Bud.Swollen","Ecoregion","Block","4324.08490626721","0.024998106868013","0.0250124098052912"
"2","Bud.Swollen","Ecoregion_Lat","Block","4325.89767934233","0.0253106366233976","0.0253249310956032"
"3","Bud.Swollen","Ecoregion_Lat_Long","Block","4325.9382673996","0.0285751076578994","0.0285893091895338"
"4","Bud.Swollen","Ecoregion_Long","Block","4324.51283173711","0.0276189599415776","0.0276331985137975"
"5","Bud.Swollen","Ecoregion_Long_Elev","Block","4326.01615349381","0.0284456806077882","0.0284601826055294"
"6","Bud.Swollen","Ecoregion_Long_Slope","Block","4325.5715837357","0.0291845823045423","0.0291983302990365"
"7","Bud.Swollen","Ecoregion_Elev","Block","4325.88417797852","0.0253332397665743","0.0253477086805204"
"8","Bud.Swollen","Ecoregion_eFFP","Block","4325.60718096211","0.0257952883382908","0.0258096312394311"
"9","Bud.Swollen","Ecoregion_MSP","Block","4325.88505679253","0.0253317224228733","0.0253461667959832"
"10","Bud.Swollen","Ecoregion_Slope","Block","4325.65895473428","0.0257087751715044","0.0257227398502913"
"11","Bud.Swollen","Ecoregion_Aspect","Block","4325.83223162362","0.0254196678175831","0.0254335968152992"
"12","Bud.Swollen","Lat","Block","4324.63215833715","0.00723014318337195","0.00724523416684106"
"13","Bud.Swollen","Lat_Long","Block","4324.04860872844","0.0116122193265784","0.0116271656443758"
"14","Bud.Swollen","Lat_Long_Elev","Block","4325.81753289116","0.0120032284673403","0.0120182168439234"
"15","Bud.Swollen","Lat_Long_eFFP","Block","4325.79158144744","0.0120471865742852","0.0120622952032747"
"16","Bud.Swollen","Lat_Long_MSP","Block","4325.5363069798","0.0124788977234533","0.0124939690823605"
"17","Bud.Swollen","Lat_Long_Slope","Block","4325.87529466705","0.0119053370747369","0.0119199922606024"
"18","Bud.Swollen","Lat_Long_Aspect","Block","4325.95382842682","0.0117725043566831","0.01178722294464"
"19","Bud.Swollen","Lat_Long_DD.5.sp","Block","4326.04860252165","0.0116122298654211","0.0116271763158549"
"20","Bud.Swollen","Lat_Elev","Block","4325.80913644978","0.00862830242460158","0.00864350013183218"
"21","Bud.Elongating","Lat_Elev_DD.5.sp","Block","4141.01158505406","0.0112044874239172","0.0112211124263214"
"22","Bud.Elongating","Lat_MSP","Block","4141.03974707402","0.00776334997173276","0.00777783483465395"
"23","Bud.Elongating","Long_MSP","Block","4140.73905869509","0.00827445485100149","0.00828956487468913"
"24","Bud.Elongating","Elev_MSP","Block","4141.40643713173","0.00714032624786999","0.00715514304486156"
"25","Bud.Elongating","eFFP_MSP","Block","4141.40165988303","0.00714834755897511","0.0071629889594094"
"26","Bud.Elongating","MSP","Block","4139.41561700918","0.00712469404026366","0.00713946869725145"
"27","Bud.Elongating","MSP_Slope","Block","4141.36435589862","0.00721185425033663","0.00722665850862194"
"28","Bud.Elongating","MSP_Aspect","Block","4141.34128547691","0.00725098026910056","0.00726562137849718"
"29","Bud.Elongating","MSP_DD.5.sp","Block","4141.32290199163","0.00728252186591266","0.00729767031784597"
"30","Leaves.emerging","Lat","Block","4008.3671593423","0.00192801352927327","0.00474268300178334"
"31","Leaves.emerging","Lat_Long","Block","4010.1557031712","0.0022866428623276","0.00531903590816883"
"32","Leaves.emerging","Lat_Elev","Block","4010.1795835284","0.00224811161249603","0.00502704240322572"
"33","Leaves.emerging","Lat_eFFP","Block","4010.3399426514","0.00197327705007431","0.00484331375412715"
"34","Leaves.emerging","Lat_MSP","Block","4010.2921813025","0.00205775764368678","0.00478167354941659"
"35","Leaves.emerging","Lat_Slope","Block","4010.31362611221","0.00201809649667283","0.00493961649932658"
"36","Leaves.emerging","Lat_Aspect","Block","4010.36148649897","0.00193772325600566","0.00474272518315751"
"37","Leaves.emerging","Lat_DD.5.sp","Block","4010.33060248498","0.00199068964708896","0.00477440036894648"
"38","Leaves.emerging","Long","Block","4009.02484948312","0.000807841856759884","0.00413546294311793"
"39","Leaves.emerging","Elev","Block","4008.71547294097","0.00133359949140221","0.00420050700770416"
"40","Leaves.emerging","Elev_DD.5.sp","Block","4010.15997780238","0.00228045781185201","0.00511551623271136"
"41","Leaves.emerging","eFFP","Block","4009.4131001926","0.000142485742920118","0.00303482329194877"
"42","Leaves.emerging","MSP","Block","4009.47407127815","3.76824708534151e-05","0.00308433713891419"
"43","Leaves.emerging","Slope","Block","4009.48775359567","1.43389765348733e-05","0.00298231787789599"
"44","Leaves.emerging","Aspect","Block","4009.44994208526","7.88893025709316e-05","0.00305799547166604"
"45","Leaves.emerging","DD.5.sp","Block","4009.05524395428","0.000753432279372931","0.00374960901611135"
