"","Site","Dep","Indep","Rand","AIC","R2m","R2c"
"1","PuyallupValley","TotGrowth","Dist","Block","14622.5131147598","0.000963250431785074","0.000990688344372893"
"2","PuyallupValley","TotGrowth","Dist_DD.5.sp","Block","14623.4885219928","0.00392661366402878","0.00395350936569265"
"3","PuyallupValley","TotGrowth","Slope","Block","14624.9397303769","0.000544459492405147","0.000571848861525543"
"4","PuyallupValley","TotGrowth","DD.5.sp","Block","14622.2719125716","0.00315983377487388","0.00318675491534232"
"5","PuyallupHill","TotGrowth","Dist","Block","12276.2763035634","0.00128252461204911","0.00132255192049254"
"6","PuyallupHill","TotGrowth","Aspect","Block","12278.6753924853","0.000855128409834304","0.000894994597254206"
"7","PuyallupHill","TotGrowth","ElevDist","Block","12279.0252984783","0.000480458878039863","0.000520489882200306"
"8","PuyallupHill","TotGrowth","eFFP","Block","12278.7797695718","0.000742850119572196","0.000781933801738978"
"9","PuyallupHill","TotGrowth","MSP","Block","12278.4117559778","0.00113831109890748","0.00117955812669363"
"10","PuyallupHill","TotGrowth","DD.5.sp","Block","12277.1490237252","0.00248801016434964","0.00252731312046257"
"11","Starker","TotGrowth","Dist","Block","20749.2526766933","0.000482324926667655","0.000502772555841376"
"12","Starker","TotGrowth","Slope","Block","20751.6098215731","0.000253460076492175","0.000273895864351874"
"13","Starker","TotGrowth","DD.5.sp","Block","20751.165022288","0.000538272099548728","0.000558443214433178"
"14","Sprague","TotGrowth","Dist","Block","9867.35795341896","0.00266444420162369","0.0026990789591014"
"15","Sprague","TotGrowth","Dist_Slope","Block","9870.54903635619","0.00360906189143821","0.00364281647963768"
"16","Sprague","TotGrowth","Dist_ElevDist","Block","9867.43287112704","0.00724260797746371","0.00727666383445837"
"17","Sprague","TotGrowth","Slope","Block","9871.20667486845","0.000500133171936861","0.000534237420694018"
"18","Sprague","TotGrowth","Aspect","Block","9870.54846879488","0.00127133324530326","0.00130573640004483"
"19","Sprague","TotGrowth","ElevDist","Block","9868.70001221922","0.00343292666439183","0.00346696742667523"
"20","Sprague","TotGrowth","eFFP","Block","9871.00271934882","0.000738931781319658","0.000772835408894081"
"21","Sprague","TotGrowth","MSP","Block","9870.87649738243","0.000886755393942111","0.000920604458433952"
