"","Site","Overal_Indep","Dep","Spec_Indep","Estimate","Lower","Upper","P_val"
"1","PuyallupValley","Dist","TotGrowth","Dist","-0.0279749435802145","-0.0833836306073151","0.0274337434468862","0.322525737462339"
"2","PuyallupValley","Dist_DD.5.sp","TotGrowth","Dist","-0.0563813219871952","-0.181358752491144","0.0685961085167535","0.377164096950207"
"3","PuyallupValley","Dist_DD.5.sp","TotGrowth","DD.5.sp","0.136851340275725","-0.189599919684116","0.463302600235565","0.411838231758408"
"4","PuyallupValley","Dist_DD.5.sp","TotGrowth","DD.5.sp2","-4.4831955870015e-05","-0.000122026861133373","3.23629493933432e-05","0.255640805455471"
"5","PuyallupValley","Slope","TotGrowth","Slope","1.96692206862408","-11.6824222573028","15.616266394551","0.777725534985924"
"6","PuyallupValley","Slope","TotGrowth","Slope2","-0.0721995183606696","-0.400473179298937","0.256074142577598","0.666597535875817"
"7","PuyallupValley","DD.5.sp","TotGrowth","DD.5.sp","0.230527083987581","-0.0214694029158149","0.482523570890977","0.0733542726439108"
"8","PuyallupValley","DD.5.sp","TotGrowth","DD.5.sp2","-6.16027441694327e-05","-0.00012928279579385","6.0773074549849e-06","0.0748087195742987"
"9","PuyallupHill","Dist","TotGrowth","Dist","-0.0174027086532912","-0.0486039602607376","0.0137985429541551","0.274485571893833"
"10","PuyallupHill","Aspect","TotGrowth","Aspect","-0.0277401162472982","-0.147916786213853","0.0924365537192567","0.651175220548123"
"11","PuyallupHill","Aspect","TotGrowth","Aspect2","1.28263659667613e-05","-0.000118510515394001","0.000144163247327524","0.848291608321289"
"12","PuyallupHill","ElevDist","TotGrowth","ElevDist","-0.0723482963327091","-0.287576059516107","0.142879466850689","0.510292095457973"
"13","PuyallupHill","ElevDist","TotGrowth","ElevDist2","8.95188452207528e-05","-0.000205699365042787","0.000384737055484293","0.55256435986177"
"14","PuyallupHill","eFFP","TotGrowth","eFFP","-0.0232612137376706","-0.0947607743442116","0.0482383468688704","0.523989804482399"
"15","PuyallupHill","eFFP","TotGrowth","eFFP2","4.97365291878132e-06","-1.62735091224729e-05","2.62208149600356e-05","0.646585764119954"
"16","PuyallupHill","MSP","TotGrowth","MSP","-0.00113858388507382","-0.126766787062926","0.124489619292778","0.985835723777859"
"17","PuyallupHill","MSP","TotGrowth","MSP2","-0.000494481494548565","-0.00143823591185576","0.000449272922758628","0.304869604810234"
"18","PuyallupHill","DD.5.sp","TotGrowth","DD.5.sp","0.107487414979782","-0.0345204311062253","0.249495261065789","0.138395407685743"
"19","PuyallupHill","DD.5.sp","TotGrowth","DD.5.sp2","-2.74924139136153e-05","-6.54640266712997e-05","1.04791988440691e-05","0.156341726222938"
"20","Starker","Dist","TotGrowth","Dist","0.0187631227801943","-0.0236550405792912","0.0611812861396797","0.386029966416626"
"21","Starker","Slope","TotGrowth","Slope","1.4044387793799","-5.18282053701822","7.99169809577802","0.676152333778262"
"22","Starker","Slope","TotGrowth","Slope2","-0.0239608523627419","-0.179088915222614","0.13116721049713","0.762175974564143"
"23","Starker","DD.5.sp","TotGrowth","DD.5.sp","-0.0570344820381134","-0.183465031887268","0.0693960678110415","0.376830950031336"
"24","Starker","DD.5.sp","TotGrowth","DD.5.sp2","1.47809738263778e-05","-1.70936668252565e-05","4.66556144780121e-05","0.363642956603415"
"25","Sprague","Dist","TotGrowth","Dist","0.0193959989896163","-0.00582233038087564","0.0446143283601082","0.131968282351802"
"26","Sprague","Dist_Slope","TotGrowth","Dist","0.0235971969774754","-0.00479230653309652","0.0519867004880473","0.103977979346126"
"27","Sprague","Dist_Slope","TotGrowth","Slope","-0.269094803630229","-4.34639019899109","3.80820059173063","0.897201762145637"
"28","Sprague","Dist_Slope","TotGrowth","Slope2","-0.00318806840757013","-0.0957234054608402","0.0893472686456999","0.946228540407081"
"29","Sprague","Dist_ElevDist","TotGrowth","Dist","0.023585334715262","-0.00200080880203454","0.0491714782325586","0.0714234203248211"
"30","Sprague","Dist_ElevDist","TotGrowth","ElevDist","0.0580321245528347","-0.0444550210502406","0.16051927015591","0.267836145646304"
"31","Sprague","Dist_ElevDist","TotGrowth","ElevDist2","-0.000111453493612882","-0.000251823667099931","2.89166798741669e-05","0.120372400956965"
"32","Sprague","Slope","TotGrowth","Slope","0.987368893440367","-2.80524738124397","4.7799851681247","0.610122819281797"
"33","Sprague","Slope","TotGrowth","Slope2","-0.0264486745355657","-0.114788208158859","0.0618908590877273","0.557618532140796"
"34","Sprague","Aspect","TotGrowth","Aspect","0.0100209184497491","-0.0157375416910547","0.0357793785905529","0.446128590279888"
"35","Sprague","Aspect","TotGrowth","Aspect2","-3.26095094884915e-05","-9.40457895821522e-05","2.88267706051693e-05","0.298647163631852"
"36","Sprague","ElevDist","TotGrowth","ElevDist","0.0558771226864963","-0.046779367387568","0.158533612760561","0.286511194273411"
"37","Sprague","ElevDist","TotGrowth","ElevDist2","-0.000101549166615458","-0.000241775269299914","3.86769360689979e-05","0.156295652131957"
"38","Sprague","eFFP","TotGrowth","eFFP","0.0118967917691191","-0.0225659073227598","0.046359490860998","0.498989722221122"
"39","Sprague","eFFP","TotGrowth","eFFP2","-4.09560943980171e-06","-1.45370783816991e-05","6.34585950209564e-06","0.442385980733831"
"40","Sprague","MSP","TotGrowth","MSP","0.0445888921513487","-0.0704995897730789","0.159677374075776","0.448003614730712"
"41","Sprague","MSP","TotGrowth","MSP2","-0.000211193529741957","-0.000688395061704567","0.000266008002220654","0.386117385054926"
