"","Site","IndepVars","AIC"
"1","PuyallupValley","Dist","11920.3012489547"
"2","PuyallupValley","Aspect","11922.2858454792"
"3","PuyallupValley","MSP","11921.8209746707"
"4","PuyallupValley","DD.5.sp","11921.3607378617"
"5","PuyallupHill","Dist","10844.8471940108"
"6","PuyallupHill","Dist_Slope","10845.655472488"
"7","PuyallupHill","Dist_Aspect","10844.2989668554"
"8","PuyallupHill","Dist_eFFP","10844.144044109"
"9","PuyallupHill","Dist_MSP","10843.7775307802"
"10","PuyallupHill","Aspect","10845.1504911522"
"11","PuyallupHill","Aspect_DD.5.sp","10845.0442335586"
"12","PuyallupHill","eFFP","10843.719124146"
"13","PuyallupHill","eFFP_MSP","10845.0876724272"
"14","PuyallupHill","eFFP_DD.5.sp","10845.4625761579"
"15","PuyallupHill","MSP","10843.919547916"
"16","PuyallupHill","MSP_DD.5.sp","10845.3330623269"
"17","Starker","Dist","17359.0811186113"
"18","Starker","Dist_MSP","17360.1540595985"
"19","Starker","Slope","17359.3639148795"
"20","Starker","Aspect_MSP","17359.7040735248"
"21","Starker","eFFP_MSP","17360.0627528318"
"22","Starker","MSP","17358.1995401258"
"23","Starker","DD.5.sp","17359.3410981993"
"24","Sprague","Dist","9002.52091563136"
"25","Sprague","Dist_DD.5.sp","9004.47300691228"
