"","diff","lwr","upr","p adj"
"KLa-BL",26.2482621648474,1.37979693258,51.1167273971148,0.0223633011692956
"PF-BL",26.4883040935693,3.38260130891327,49.5940068782253,0.00512628244941749
"WL-BL",27.735526315791,0.854462795051024,54.616589836531,0.0318289974233957
"WV-BL",27.6578947368436,0.36430997634703,54.9514794973402,0.0414914835952296
"KLa-CA",29.3197871311082,1.82491660964182,56.8146576525745,0.0189300348468581
"PF-CA",29.5598290598301,3.64842533180776,55.4712327878524,0.00564152789298977
"WL-CA",30.8070512820518,1.47926722000978,60.1348353440938,0.0241356377184831
"WV-CA",30.7294197031044,1.02307171042581,60.4357676957829,0.0306166273690516
"KLa-CC",27.1650085763294,2.07963334376166,52.2503838088972,0.0146217034206045
"PF-CC",27.4050505050513,4.06604905419458,50.7440519559081,0.00315343431212245
"WL-CC",28.6522727272731,1.57041415818126,55.7341312963648,0.0215277483994866
"WV-CC",28.5746411483256,1.08327420107031,56.066008095581,0.0284571726473486
"PF-GA",23.4181286549707,0.312425870314637,46.5238314396267,0.0413896029414716
"KLa-HC",27.774577954321,0.0720777634686662,55.4770781451734,0.0482320037122901
"PF-HC",28.0146198830429,1.88300196549821,54.1462378005876,0.0173333376396874
"LA-KLa",-28.1593574706769,-51.6111513952868,-4.70756354606704,0.0019562223943087
"RV-KLa",-27.0546850015988,-51.7192280702166,-2.39014193298108,0.0116917139449714
"SA-KLa",-27.9031204644408,-53.3411253506033,-2.4651155782782,0.0116915615456729
"SR-KLa",-32.0627358490564,-59.3588953545953,-4.76657634351746,0.00313070754523193
"PF-LA",28.3993993993988,6.8258142442435,49.9729845545541,0.000208993228147381
"WL-LA",29.6466216216205,4.07050676263668,55.2227364806044,0.00411049122962381
"WV-LA",29.5689900426731,3.5596485601925,55.5783315251537,0.00603328940250536
"RV-PF",-27.2947269303207,-50.1808061696328,-4.40864769100871,0.00226667049278173
"SA-PF",-28.1431623931627,-51.8607725331578,-4.42555225316753,0.00252779149837867
"SN-PF",-22.0935672514627,-43.5267080447533,-0.660426458172012,0.0322844420618865
"SR-PF",-32.3027777777783,-58.0032303402565,-6.60232521530011,0.000680739262561181
"WL-RV",28.5419491525425,1.84942776955456,55.2344705355304,0.0180959560748992
"WV-RV",28.4643175735951,1.35640561317989,55.5722295340102,0.0242820844866097
"WL-SA",29.3903846153844,1.98157023777956,56.7991989929892,0.017269115547331
"WV-SA",29.312753036437,1.4992437530267,57.1262623198473,0.022905542327579
"WL-SR",33.55,4.40842597337288,62.6915740266271,0.00471287960043176
"WV-SR",33.4723684210526,3.94984261749471,62.9948942246105,0.00635554179787523
