"","diff","lwr","upr","p adj"
"BR-AK",0.124999999999992,0.0265988352757934,0.223401164724191,0.000612613749710111
"BR-BA",0.124999999999994,0.026598835275795,0.223401164724192,0.00061261374971211
"BR-BC",0.124999999999994,0.0265988352757951,0.223401164724193,0.000612613749712332
"BR-BK",0.124999999999994,0.026598835275795,0.223401164724192,0.00061261374971211
"BR-BL",0.124999999999994,0.026598835275795,0.223401164724192,0.00061261374971211
"CC-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757949,0.000612613749711888
"CP-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757948,0.000612613749711888
"CR-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757949,0.000612613749711888
"DE-BR",-0.124999999999994,-0.218351541482558,-0.0316484585174288,0.00016319234393114
"FB-BR",-0.124999999999994,-0.232793075208444,-0.017206924791543,0.00439484398627021
"GA-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757949,0.000612613749711888
"GP-BR",-0.124999999999994,-0.232793075208444,-0.0172069247915431,0.00439484398627021
"HC-BR",-0.124999999999994,-0.232793075208444,-0.0172069247915431,0.00439484398627044
"KLa-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757949,0.000612613749711888
"KLb-BR",-0.124999999999994,-0.232793075208444,-0.0172069247915431,0.00439484398627021
"KLc-BR",-0.124999999999994,-0.232793075208444,-0.017206924791543,0.00439484398627021
"KM-BR",-0.124999999999994,-0.232793075208444,-0.0172069247915431,0.00439484398627021
"LA-BR",-0.124999999999994,-0.218351541482558,-0.0316484585174289,0.00016319234393114
"LC-BR",-0.124999999999994,-0.232793075208444,-0.017206924791543,0.00439484398627021
"PA-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757949,0.000612613749711888
"PF-BR",-0.124999999999994,-0.218351541482558,-0.0316484585174289,0.00016319234393114
"PL-BR",-0.124999999999994,-0.218351541482558,-0.0316484585174289,0.00016319234393114
"RA-BR",-0.124999999999994,-0.232793075208444,-0.0172069247915431,0.00439484398627044
"RV-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757948,0.000612613749711888
"SA-BR",-0.124999999999994,-0.225174301321377,-0.0248256986786107,0.000929509130299766
"SN-BR",-0.124999999999994,-0.218351541482558,-0.0316484585174289,0.00016319234393114
"SR-BR",-0.124999999999994,-0.236576433105421,-0.0134235668945658,0.00839785650714764
"VE-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757948,0.000612613749711888
"VI-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757949,0.000612613749711888
"WV-BR",-0.124999999999994,-0.232793075208444,-0.0172069247915431,0.00439484398627021
"ZE-BR",-0.124999999999994,-0.223401164724192,-0.0265988352757948,0.000612613749711888
