"","diff","lwr","upr","p adj"
"BA-AK",0.0166666666666663,0.00067538545883182,0.0326579478745008,0.0277120986652696
"BC-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832237,0.0277120986652588
"BK-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832237,0.0277120986652588
"BL-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832237,0.0277120986652588
"CC-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832237,0.0277120986652588
"CP-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832237,0.0277120986652588
"CR-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832237,0.0277120986652588
"DE-BA",-0.0166666666666667,-0.031625140530485,-0.00170819280284844,0.00925954124157213
"GA-BA",-0.0166666666666668,-0.0326579478745013,-0.000675385458832278,0.0277120986652567
"KLa-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832192,0.0277120986652593
"LA-BA",-0.0166666666666668,-0.0316251405304851,-0.00170819280284845,0.00925954124157202
"PA-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832237,0.0277120986652588
"PF-BA",-0.0166666666666667,-0.031625140530485,-0.00170819280284843,0.00925954124157236
"PL-BA",-0.0166666666666667,-0.031625140530485,-0.00170819280284843,0.00925954124157236
"RV-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832247,0.0277120986652583
"SA-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832251,0.0277120986652583
"SN-BA",-0.0166666666666667,-0.031625140530485,-0.00170819280284843,0.00925954124157236
"VE-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832261,0.0277120986652576
"VI-BA",-0.0166666666666667,-0.0326579478745012,-0.000675385458832261,0.0277120986652576
"ZE-BA",-0.0166666666666668,-0.0326579478745012,-0.000675385458832268,0.0277120986652567
