"","Ecoregion","Source","PH_OGR","PV_OGR","SF_OGR","SO_OGR","PH_DBK","PV_DBK","SF_DBK","SO_DBK","PH_PMT","PV_PMT","SF_PMT","SO_PMT"
"1","WIVA","AK",27.5555555555556,72.2857142857143,66.3921568627451,12.8461538461538,17.2796610169492,22.0833333333333,16.9745762711864,8.18032786885246,0.625,0.716666666666667,0.166666666666667,0.688888888888889
"2","CORA","BA",59.1875,99.28,60.0666666666667,9.74074074074074,14.8790322580645,31.0083333333333,16.6885245901639,7.80769230769231,0.583333333333333,0.805555555555556,0.277777777777778,0.608333333333333
"3","PULO","BC",60.0645161290323,86.1935483870968,62.9130434782609,12.8709677419355,15.125,25.075,18.5333333333333,8.46666666666667,0.55,0.879761904761905,0.216666666666667,0.508333333333333
"4","KLMT","BK",41.6923076923077,55.9166666666667,74.6,13.2727272727273,22.3196721311475,46.4918032786885,16.6083333333333,6.38135593220339,0.441666666666667,0.772222222222222,0.166666666666667,0.608333333333333
"5","CSCO","BL",39.1052631578947,66.6296296296296,58.1944444444444,13,12.7,37.875,21.6779661016949,4.89166666666667,0.55,0.883333333333333,0.233333333333333,0.733333333333333
"6","PULO","BR",32.9411764705882,69.3076923076923,61.741935483871,16.0833333333333,28.719512195122,34.7948717948718,20.375,6.1,0.625,0.6875,0.325,0.675
"7","CSCO","CA",40.304347826087,55.2941176470588,58.551724137931,9.4375,21.1219512195122,34.5125,26.1153846153846,7.6875,0.575,0.654166666666667,0.18125,0.675
"8","PULO","CB",42.6666666666667,75.2222222222222,70.6470588235294,8,13.625,30.25,20.65,6.44736842105263,0.7,0.8,0.25,0.725
"9","CSCO","CC",47.3,99.7826086956522,65.025,2.72727272727273,18.984126984127,30.525,12.0333333333333,9.48333333333333,0.566666666666667,0.757539682539683,0.333333333333333,0.616666666666667
"10","PULO","CL",50.3333333333333,91.9,55.5,2.83333333333333,26.925,26.1,28.25,6.5,0.45,0.6,0.3,0.65
"11","KLMT","CP",53.4583333333333,120.071428571429,52.8461538461538,6.52173913043478,19.1,15.6,22.8916666666667,8.11864406779661,0.533333333333333,0.866666666666667,0.233333333333333,0.566666666666667
"12","PULO","CR",32.1379310344828,75.3030303030303,55.8679245283019,3.81818181818182,21.475,31.8916666666667,23.3474576271186,6.85,0.5,0.852777777777778,0.166666666666667,0.734722222222222
"13","KLMT","CY",54.6363636363636,96.2307692307692,70.4736842105263,11,27.0952380952381,30.425,6.6,5.3,0.4,0.758333333333333,0.45,0.5
"14","CSCD","DE",45.1891891891892,75.3076923076923,62.2173913043478,10,13.5060240963855,31.8625,20.626582278481,9.65625,0.5875,0.820238095238095,0.28125,0.6375
"15","PULO","FB",40.8571428571429,93.2608695652174,81.7105263157895,16.625,13.047619047619,27.65,20.75,7.8625,0.65,0.879166666666667,0.125,0.675
"16","PULO","FW",58.1538461538462,56.7894736842105,55.7878787878788,19.1052631578947,10.9756097560976,42.5384615384615,15,7.875,0.65625,0.691666666666667,0.28125,0.575
"17","CORA","GA",54.3448275862069,80.4137931034483,75.7391304347826,21.28,18.1031746031746,28.125,16.6583333333333,7.225,0.6,0.780555555555556,0.25,0.7
"18","KLMT","GP",59.2272727272727,55.7391304347826,71.71875,17.6190476190476,17.775,39.725,15.225,7.45,0.475,0.7,0.225,0.55
"19","KLMT","HC",48.4545454545455,74.2,48.4242424242424,11.125,17.2073170731707,29.675,31.3717948717949,8.4875,0.65,0.779166666666667,0.15,0.625
"20","CSCO","HP",37.25,33.2727272727273,75.2941176470588,11.75,19.2272727272727,53.45,17.8095238095238,5.7,0.45,0.778571428571429,0,0.55
"21","KLMT","KLa",44.8620689655172,71.5925925925926,62.0238095238095,8.82608695652174,20.9076923076923,26.4166666666667,14.655737704918,6.08333333333333,0.5,0.817592592592593,0.205555555555556,0.733333333333333
