"","Site","Group","DBK","NumLoc","NumDist","AIC"
"1",78,"Local",0,25,15,0.728221463406699
"2",78,"Local",0,0,0,0
"3",78,"Local",12,0,0,0
"4",78,"Local",0,0,0,0
"5",78,"Local",44,0,0,0
"6",78,"Local",0,0,0,0
"7",78,"Local",0,0,0,0
"8",78,"Local",3,0,0,0
"9",78,"Local",0,0,0,0
"10",78,"Local",2,0,0,0
"11",78,"Local",0,0,0,0
"12",78,"Local",0,0,0,0
"13",78,"Local",27,0,0,0
"14",78,"Local",42,0,0,0
"15",78,"Local",10,0,0,0
"16",78,"Local",0,0,0,0
"17",78,"Local",14,0,0,0
"18",78,"Local",10,0,0,0
"19",78,"Local",0,0,0,0
"20",78,"Local",0,0,0,0
"21",78,"Local",0,0,0,0
"22",78,"Local",0,0,0,0
"23",78,"Local",22,0,0,0
"24",78,"Local",19,0,0,0
"25",78,"Local",39,0,0,0
"26",78,"Local",15,0,0,0
"27",78,"Local",42,0,0,0
"28",78,"Local",102,0,0,0
"29",78,"Local",25,0,0,0
"30",78,"Local",0,0,0,0
"31",78,"Local",0,0,0,0
"32",78,"Local",0,0,0,0
"33",78,"Local",49,0,0,0
"34",78,"Local",0,0,0,0
"35",78,"Local",0,0,0,0
"36",78,"Local",19,0,0,0
"37",78,"Local",21,0,0,0
"38",78,"Local",72,0,0,0
"39",78,"Local",0,0,0,0
"40",78,"Local",0,0,0,0
"41",78,"Local",0,0,0,0
"42",78,"Local",25,0,0,0
"43",78,"Local",0,0,0,0
"44",78,"Local",0,0,0,0
"45",78,"Local",0,0,0,0
"46",78,"Local",0,0,0,0
"47",78,"Local",95,0,0,0
"48",78,"Local",8,0,0,0
"49",78,"Local",0,0,0,0
"50",78,"Local",4,0,0,0
"51",78,"Local",0,0,0,0
"52",78,"Local",0,0,0,0
"53",78,"Local",35,0,0,0
"54",78,"Local",0,0,0,0
"55",78,"Local",7,0,0,0
"56",78,"Local",0,0,0,0
"57",78,"Local",24,0,0,0
"58",78,"Local",0,0,0,0
"59",78,"Local",24,0,0,0
"60",78,"Local",0,0,0,0
"61",78,"Local",18,0,0,0
"62",78,"Local",0,0,0,0
"63",78,"Local",0,0,0,0
"64",78,"Local",0,0,0,0
"65",78,"Local",0,0,0,0
"66",78,"Local",44,0,0,0
"67",78,"Local",35,0,0,0
"68",78,"Local",0,0,0,0
"69",78,"Local",28,0,0,0
"70",78,"Local",3,0,0,0
"71",78,"Local",0,0,0,0
"72",78,"Local",0,0,0,0
"73",78,"Local",29,0,0,0
"74",78,"Local",0,0,0,0
"75",78,"Local",0,0,0,0
"76",78,"Local",15,0,0,0
"77",78,"Local",7,0,0,0
"78",78,"Local",0,0,0,0
"79",78,"Local",16,0,0,0
"80",78,"Local",34,0,0,0
"81",78,"Local",0,0,0,0
"82",78,"Local",5,0,0,0
"83",78,"Local",0,0,0,0
"84",78,"Local",133,0,0,0
"85",78,"Local",0,0,0,0
"86",78,"Local",0,0,0,0
"87",78,"Local",3,0,0,0
"88",78,"Local",50,0,0,0
"89",78,"Local",0,0,0,0
"90",78,"Local",0,0,0,0
"91",78,"Local",21,0,0,0
"92",78,"Local",0,0,0,0
"93",78,"Local",88,0,0,0
"94",78,"Local",17,0,0,0
"95",78,"Local",0,0,0,0
"96",78,"Local",0,0,0,0
"97",78,"Local",0,0,0,0
"98",78,"Local",0,0,0,0
"99",78,"Local",0,0,0,0
"100",78,"Local",0,0,0,0
"101",78,"Local",0,0,0,0
"102",78,"Local",15,0,0,0
"103",78,"Local",32,0,0,0
"104",78,"Local",0,0,0,0
"105",78,"Local",0,0,0,0
"106",78,"Local",97,0,0,0
"107",78,"Local",13,0,0,0
"108",78,"Local",0,0,0,0
"109",78,"Local",0,0,0,0
"110",78,"Local",91,0,0,0
"111",78,"Local",32,0,0,0
"112",78,"Local",33,0,0,0
"113",78,"Local",0,0,0,0
"114",78,"Local",0,0,0,0
"115",78,"Local",0,0,0,0
"116",78,"Local",6,0,0,0
"117",78,"Local",0,0,0,0
"118",78,"Local",0,0,0,0
"119",78,"Local",14,0,0,0
"120",78,"Local",0,0,0,0
"121",78,"Local",0,0,0,0
"122",78,"Local",0,0,0,0
"123",78,"Local",0,0,0,0
"124",78,"Local",0,0,0,0
"125",78,"Local",12,0,0,0
"126",78,"Local",0,0,0,0
"127",78,"Local",0,0,0,0
"128",78,"Local",0,0,0,0
"129",78,"Local",0,0,0,0
"130",78,"Local",0,0,0,0
"131",78,"Local",0,0,0,0
"132",78,"Local",38,0,0,0
"133",78,"Local",0,0,0,0
"134",78,"Local",78,0,0,0
"135",78,"Local",51,0,0,0
"136",78,"Local",0,0,0,0
"137",78,"Local",0,0,0,0
"138",78,"Local",37,0,0,0
"139",78,"Local",0,0,0,0
"140",78,"Local",0,0,0,0
"141",78,"Local",0,0,0,0
"142",78,"Local",0,0,0,0
"143",78,"Local",0,0,0,0
"144",78,"Local",69,0,0,0
"145",78,"Local",18,0,0,0
"146",78,"Local",0,0,0,0
"147",78,"Local",0,0,0,0
"148",78,"Local",12,0,0,0
"149",78,"Local",46,0,0,0
"150",78,"Local",0,0,0,0
"151",78,"Local",0,0,0,0
"152",78,"Local",53,0,0,0
"153",78,"Local",0,0,0,0
"154",78,"Local",0,0,0,0
"155",78,"Local",0,0,0,0
"156",78,"Local",3,0,0,0
"157",78,"Local",0,0,0,0
"158",78,"Local",30,0,0,0
"159",78,"Local",14,0,0,0
"160",78,"Local",0,0,0,0
"161",78,"Local",0,0,0,0
"162",78,"Local",0,0,0,0
"163",78,"Local",0,0,0,0
"164",78,"Local",0,0,0,0
"165",78,"Local",0,0,0,0
"166",78,"Local",0,0,0,0
"167",78,"Local",0,0,0,0
"168",78,"Local",14,0,0,0
"169",78,"Local",0,0,0,0
"170",78,"Local",33,0,0,0
"171",78,"Local",0,0,0,0
"172",78,"Local",0,0,0,0
"173",78,"Local",13,0,0,0
"174",78,"Local",5,0,0,0
"175",78,"Local",0,0,0,0
"176",78,"Local",2,0,0,0
"177",78,"Local",5,0,0,0
"178",78,"Local",1,0,0,0
"179",78,"Local",0,0,0,0
"180",78,"Local",1,0,0,0
"181",78,"Local",23,0,0,0
"182",78,"Local",0,0,0,0
"183",78,"Local",0,0,0,0
"184",78,"Local",16,0,0,0
"185",78,"Local",32,0,0,0
"186",78,"Local",21,0,0,0
"187",78,"Local",23,0,0,0
"188",78,"Local",8,0,0,0
"189",78,"Local",0,0,0,0
"190",78,"Local",0,0,0,0
"191",78,"Local",9,0,0,0
"192",78,"Local",0,0,0,0
"193",78,"Local",46,0,0,0
"194",78,"Local",0,0,0,0
"195",78,"Local",14,0,0,0
"196",78,"Local",28,0,0,0
"197",78,"Local",0,0,0,0
"198",78,"Local",2,0,0,0
"199",78,"Local",43,0,0,0
"200",78,"Local",0,0,0,0
"201",78,"Local",0,0,0,0
"202",78,"Local",0,0,0,0
"203",78,"Local",0,0,0,0
"204",78,"Local",0,0,0,0
"205",78,"Local",0,0,0,0
"206",78,"Local",0,0,0,0
"207",78,"Local",0,0,0,0
"208",78,"Local",0,0,0,0
"209",78,"Local",0,0,0,0
"210",78,"Local",0,0,0,0
"211",78,"Local",22,0,0,0
"212",78,"Local",0,0,0,0
"213",78,"Local",0,0,0,0
"214",78,"Local",0,0,0,0
"215",78,"Local",12,0,0,0
"216",78,"Local",0,0,0,0
"217",78,"Local",0,0,0,0
"218",78,"Local",65,0,0,0
"219",78,"Local",0,0,0,0
"220",78,"Local",9,0,0,0
"221",78,"Local",54,0,0,0
"222",78,"Local",60,0,0,0
"223",78,"Local",9,0,0,0
"224",78,"Local",0,0,0,0
"225",78,"Local",0,0,0,0
"226",78,"Local",7,0,0,0
"227",78,"Local",87,0,0,0
"228",78,"Local",3,0,0,0
"229",78,"Local",0,0,0,0
"230",78,"Local",0,0,0,0
"231",78,"Local",26,0,0,0
"232",78,"Local",0,0,0,0
"233",78,"Local",17,0,0,0
"234",78,"Local",0,0,0,0
"235",78,"Local",0,0,0,0
"236",78,"Local",24,0,0,0
"237",78,"Local",11,0,0,0
"238",78,"Local",12,0,0,0
"239",78,"Local",12,0,0,0
"240",78,"Local",0,0,0,0
"241",78,"Local",49,0,0,0
"242",78,"Local",32,0,0,0
"243",78,"Local",60,0,0,0
"244",78,"Local",0,0,0,0
"245",78,"Local",0,0,0,0
"246",78,"Local",0,0,0,0
"247",78,"Local",0,0,0,0
"248",78,"Local",12,0,0,0
"249",78,"Local",5,0,0,0
"250",78,"Local",1,0,0,0
"251",78,"Local",18,0,0,0
"252",78,"Local",0,0,0,0
"253",78,"Local",3,0,0,0
"254",78,"Local",31,0,0,0
"255",78,"Local",73,0,0,0
"256",78,"Local",0,0,0,0
"257",78,"Local",0,0,0,0
"258",78,"Local",23,0,0,0
"259",78,"Local",11,0,0,0
"260",78,"Local",0,0,0,0
"261",78,"Local",2,0,0,0
"262",78,"Local",0,0,0,0
"263",78,"Local",54,0,0,0
"264",78,"Local",0,0,0,0
"265",78,"Local",6,0,0,0
"266",78,"Local",0,0,0,0
"267",78,"Local",0,0,0,0
"268",78,"Local",37,0,0,0
"269",78,"Local",29,0,0,0
"270",78,"Local",32,0,0,0
"271",78,"Local",19,0,0,0
"272",78,"Local",19,0,0,0
"273",78,"Local",0,0,0,0
"274",78,"Local",68,0,0,0
"275",78,"Local",15,0,0,0
"276",78,"Local",0,0,0,0
"277",78,"Local",0,0,0,0
"278",78,"Local",0,0,0,0
"279",78,"Local",0,0,0,0
"280",78,"Local",0,0,0,0
"281",78,"Local",39,0,0,0
"282",78,"Local",27,0,0,0
"283",78,"Local",0,0,0,0
"284",78,"Local",3,0,0,0
"285",78,"Local",0,0,0,0
"286",78,"Local",23,0,0,0
"287",78,"Local",0,0,0,0
"288",78,"Local",0,0,0,0
"289",78,"Local",32,0,0,0
"290",78,"Local",16,0,0,0
"291",78,"Local",0,0,0,0
"292",78,"Local",0,0,0,0
"293",78,"Local",0,0,0,0
"294",78,"Local",0,0,0,0
"295",78,"Local",15,0,0,0
"296",78,"Local",0,0,0,0
"297",78,"Local",36,0,0,0
"298",78,"Local",0,0,0,0
"299",78,"Local",0,0,0,0
"300",78,"Local",0,0,0,0
"301",78,"Local",19,0,0,0
"302",78,"Local",0,0,0,0
"303",78,"Local",0,0,0,0
"304",78,"Local",0,0,0,0
"305",78,"Local",0,0,0,0
"306",78,"Local",0,0,0,0
"307",78,"Local",0,0,0,0
"308",78,"Local",45,0,0,0
"309",78,"Local",69,0,0,0
"310",78,"Local",0,0,0,0
"311",78,"Local",0,0,0,0
"312",78,"Local",29,0,0,0
"313",78,"Local",0,0,0,0
"314",78,"Local",0,0,0,0
"315",78,"Local",0,0,0,0
"316",78,"Local",0,0,0,0
"317",78,"Local",0,0,0,0
"318",78,"Local",10,0,0,0
"319",78,"Local",0,0,0,0
"320",78,"Local",0,0,0,0
"321",78,"Local",39,0,0,0
"322",78,"Local",0,0,0,0
"323",78,"Local",0,0,0,0
"324",78,"Local",0,0,0,0
"325",78,"Local",0,0,0,0
