"","Site","Group","DBK","NumLoc","NumDist","AIC"
"1",92,"Local",24,23,14,0.239646552053275
"2",92,"Local",11,0,0,0
"3",92,"Local",55,0,0,0
"4",92,"Local",13,0,0,0
"5",92,"Local",15,0,0,0
"6",92,"Local",38,0,0,0
"7",92,"Local",3,0,0,0
"8",92,"Local",0,0,0,0
"9",92,"Local",29,0,0,0
"10",92,"Local",0,0,0,0
"11",92,"Local",27,0,0,0
"12",92,"Local",6,0,0,0
"13",92,"Local",16,0,0,0
"14",92,"Local",9,0,0,0
"15",92,"Local",0,0,0,0
"16",92,"Local",0,0,0,0
"17",92,"Local",0,0,0,0
"18",92,"Local",0,0,0,0
"19",92,"Local",1,0,0,0
"20",92,"Local",0,0,0,0
"21",92,"Local",17,0,0,0
"22",92,"Local",7,0,0,0
"23",92,"Local",0,0,0,0
"24",92,"Local",0,0,0,0
"25",92,"Local",0,0,0,0
"26",92,"Local",2,0,0,0
"27",92,"Local",35,0,0,0
"28",92,"Local",0,0,0,0
"29",92,"Local",0,0,0,0
"30",92,"Local",0,0,0,0
"31",92,"Local",0,0,0,0
"32",92,"Local",29,0,0,0
"33",92,"Local",9,0,0,0
"34",92,"Local",6,0,0,0
"35",92,"Local",0,0,0,0
"36",92,"Local",0,0,0,0
"37",92,"Local",0,0,0,0
"38",92,"Local",0,0,0,0
"39",92,"Local",0,0,0,0
"40",92,"Local",7,0,0,0
"41",92,"Local",26,0,0,0
"42",92,"Local",0,0,0,0
"43",92,"Local",0,0,0,0
"44",92,"Local",0,0,0,0
"45",92,"Local",16,0,0,0
"46",92,"Local",0,0,0,0
"47",92,"Local",0,0,0,0
"48",92,"Local",8,0,0,0
"49",92,"Local",20,0,0,0
"50",92,"Local",30,0,0,0
"51",92,"Local",32,0,0,0
"52",92,"Local",38,0,0,0
"53",92,"Local",48,0,0,0
"54",92,"Local",7,0,0,0
"55",92,"Local",0,0,0,0
"56",92,"Local",0,0,0,0
"57",92,"Local",3,0,0,0
"58",92,"Local",0,0,0,0
"59",92,"Local",2,0,0,0
"60",92,"Local",5,0,0,0
"61",92,"Local",10,0,0,0
"62",92,"Local",13,0,0,0
"63",92,"Local",22,0,0,0
"64",92,"Local",12,0,0,0
"65",92,"Local",7,0,0,0
"66",92,"Local",21,0,0,0
"67",92,"Local",11,0,0,0
"68",92,"Local",0,0,0,0
"69",92,"Local",0,0,0,0
"70",92,"Local",7,0,0,0
"71",92,"Local",0,0,0,0
"72",92,"Local",1,0,0,0
