"","Site","Group","Mort","NumLoc","NumDist","AIC"
"1","Site","Local",0,25,15,NA
"2","Site","Local",0,0,0,0
"3","Site","Local",0,0,0,0
"4","Site","Local",0,0,0,0
"5","Site","Local",0,0,0,0
"6","Site","Local",0,0,0,0
"7","Site","Local",0,0,0,0
"8","Site","Local",0,0,0,0
"9","Site","Local",0,0,0,0
"10","Site","Local",0,0,0,0
"11","Site","Local",0,0,0,0
"12","Site","Local",0,0,0,0
"13","Site","Local",0,0,0,0
"14","Site","Local",0,0,0,0
"15","Site","Local",0,0,0,0
"16","Site","Local",0,0,0,0
"17","Site","Local",0,0,0,0
"18","Site","Local",0,0,0,0
"19","Site","Local",0,0,0,0
"20","Site","Local",0,0,0,0
"21","Site","Local",0,0,0,0
"22","Site","Local",0,0,0,0
"23","Site","Local",0,0,0,0
"24","Site","Local",0,0,0,0
"25","Site","Local",0,0,0,0
"26","Site","Local",0,0,0,0
"27","Site","Local",0,0,0,0
"28","Site","Local",0,0,0,0
"29","Site","Local",0,0,0,0
"30","Site","Local",0,0,0,0
"31","Site","Local",0,0,0,0
"32","Site","Local",0,0,0,0
"33","Site","Local",0,0,0,0
"34","Site","Local",0,0,0,0
"35","Site","Local",0,0,0,0
"36","Site","Local",0,0,0,0
"37","Site","Local",0,0,0,0
"38","Site","Local",0,0,0,0
"39","Site","Local",0,0,0,0
"40","Site","Local",0,0,0,0
"41","Site","Local",0,0,0,0
"42","Site","Local",0,0,0,0
"43","Site","Local",0,0,0,0
"44","Site","Local",0,0,0,0
"45","Site","Local",0,0,0,0
"46","Site","Local",0,0,0,0
"47","Site","Local",0,0,0,0
"48","Site","Local",0,0,0,0
"49","Site","Local",0,0,0,0
"50","Site","Local",0,0,0,0
"51","Site","Local",0,0,0,0
"52","Site","Local",0,0,0,0
"53","Site","Local",0,0,0,0
"54","Site","Local",0,0,0,0
"55","Site","Local",0,0,0,0
"56","Site","Local",0,0,0,0
"57","Site","Local",0,0,0,0
"58","Site","Local",0,0,0,0
"59","Site","Local",0,0,0,0
"60","Site","Local",0,0,0,0
"61","Site","Local",0,0,0,0
"62","Site","Local",0,0,0,0
"63","Site","Local",0,0,0,0
"64","Site","Local",0,0,0,0
"65","Site","Local",0,0,0,0
"66","Site","Local",0,0,0,0
"67","Site","Local",0,0,0,0
"68","Site","Local",0,0,0,0
"69","Site","Local",0,0,0,0
"70","Site","Local",0,0,0,0
"71","Site","Local",0,0,0,0
"72","Site","Local",0,0,0,0
"73","Site","Local",0,0,0,0
"74","Site","Local",0,0,0,0
"75","Site","Local",0,0,0,0
"76","Site","Local",0,0,0,0
"77","Site","Local",0,0,0,0
"78","Site","Local",0,0,0,0
"79","Site","Local",0,0,0,0
"80","Site","Local",0,0,0,0
"81","Site","Local",0,0,0,0
"82","Site","Local",0,0,0,0
"83","Site","Local",0,0,0,0
"84","Site","Local",0,0,0,0
"85","Site","Local",0,0,0,0
"86","Site","Local",0,0,0,0
"87","Site","Local",0,0,0,0
"88","Site","Local",0,0,0,0
"89","Site","Local",0,0,0,0
"90","Site","Local",0,0,0,0
"91","Site","Local",0,0,0,0
"92","Site","Local",0,0,0,0
"93","Site","Local",0,0,0,0
"94","Site","Local",0,0,0,0
"95","Site","Local",0,0,0,0
"96","Site","Local",0,0,0,0
"97","Site","Dist",0,0,0,0
"98","Site","Dist",0,0,0,0
"99","Site","Dist",0,0,0,0
"100","Site","Dist",0,0,0,0
"101","Site","Dist",0,0,0,0
"102","Site","Dist",0,0,0,0
"103","Site","Dist",0,0,0,0
"104","Site","Dist",0,0,0,0
"105","Site","Dist",0,0,0,0
"106","Site","Dist",0,0,0,0
"107","Site","Dist",0,0,0,0
"108","Site","Dist",0,0,0,0
"109","Site","Dist",0,0,0,0
"110","Site","Dist",0,0,0,0
"111","Site","Dist",0,0,0,0
"112","Site","Dist",0,0,0,0
"113","Site","Dist",0,0,0,0
"114","Site","Dist",0,0,0,0
"115","Site","Dist",0,0,0,0
"116","Site","Dist",0,0,0,0
"117","Site","Dist",0,0,0,0
"118","Site","Dist",0,0,0,0
"119","Site","Dist",0,0,0,0
"120","Site","Dist",0,0,0,0
"121","Site","Dist",0,0,0,0
"122","Site","Dist",0,0,0,0
"123","Site","Dist",0,0,0,0
"124","Site","Dist",0,0,0,0
"125","Site","Dist",0,0,0,0
"126","Site","Dist",0,0,0,0
"127","Site","Dist",0,0,0,0
"128","Site","Dist",0,0,0,0
"129","Site","Dist",0,0,0,0
"130","Site","Dist",0,0,0,0
"131","Site","Dist",0,0,0,0
"132","Site","Dist",0,0,0,0
"133","Site","Dist",0,0,0,0
"134","Site","Dist",0,0,0,0
"135","Site","Dist",0,0,0,0
"136","Site","Dist",0,0,0,0
"137","Site","Dist",0,0,0,0
"138","Site","Dist",0,0,0,0
"139","Site","Dist",0,0,0,0
"140","Site","Dist",0,0,0,0
"141","Site","Dist",0,0,0,0
"142","Site","Dist",0,0,0,0
"143","Site","Dist",0,0,0,0
"144","Site","Dist",0,0,0,0
"145","Site","Dist",0,0,0,0
"146","Site","Dist",0,0,0,0
"147","Site","Dist",0,0,0,0
"148","Site","Dist",0,0,0,0
"149","Site","Dist",0,0,0,0
"150","Site","Dist",0,0,0,0
"151","Site","Dist",0,0,0,0
"152","Site","Dist",0,0,0,0
"153","Site","Dist",0,0,0,0
"154","Site","Dist",0,0,0,0
"155","Site","Dist",0,0,0,0
"156","Site","Dist",0,0,0,0
