"","Site","Group","Mort","NumLoc","NumDist","AIC"
"1",78,"Local",0,25,15,0.702962363270841
"2",78,"Local",0,0,0,0
"3",78,"Local",0,0,0,0
"4",78,"Local",0,0,0,0
"5",78,"Local",0,0,0,0
"6",78,"Local",0,0,0,0
"7",78,"Local",0,0,0,0
"8",78,"Local",0,0,0,0
"9",78,"Local",0,0,0,0
"10",78,"Local",0,0,0,0
"11",78,"Local",0,0,0,0
"12",78,"Local",0,0,0,0
"13",78,"Local",1,0,0,0
"14",78,"Local",0,0,0,0
"15",78,"Local",0,0,0,0
"16",78,"Local",0,0,0,0
"17",78,"Local",0,0,0,0
"18",78,"Local",0,0,0,0
"19",78,"Local",0,0,0,0
"20",78,"Local",0,0,0,0
"21",78,"Local",0,0,0,0
"22",78,"Local",0,0,0,0
"23",78,"Local",0,0,0,0
"24",78,"Local",0,0,0,0
"25",78,"Local",0,0,0,0
"26",78,"Local",0,0,0,0
"27",78,"Local",0,0,0,0
"28",78,"Local",0,0,0,0
"29",78,"Local",0,0,0,0
"30",78,"Local",0,0,0,0
"31",78,"Local",0,0,0,0
"32",78,"Local",0,0,0,0
"33",78,"Local",0,0,0,0
"34",78,"Local",0,0,0,0
"35",78,"Local",0,0,0,0
"36",78,"Local",0,0,0,0
"37",78,"Local",0,0,0,0
"38",78,"Local",0,0,0,0
"39",78,"Local",0,0,0,0
"40",78,"Local",0,0,0,0
"41",78,"Local",0,0,0,0
"42",78,"Local",0,0,0,0
"43",78,"Local",0,0,0,0
"44",78,"Local",0,0,0,0
"45",78,"Local",0,0,0,0
"46",78,"Local",0,0,0,0
"47",78,"Local",0,0,0,0
"48",78,"Local",0,0,0,0
"49",78,"Local",0,0,0,0
"50",78,"Local",0,0,0,0
"51",78,"Local",0,0,0,0
"52",78,"Local",0,0,0,0
"53",78,"Local",0,0,0,0
"54",78,"Local",0,0,0,0
"55",78,"Local",0,0,0,0
"56",78,"Local",0.2,0,0,0
"57",78,"Local",0,0,0,0
"58",78,"Local",0,0,0,0
"59",78,"Local",0,0,0,0
"60",78,"Local",0,0,0,0
"61",78,"Local",0,0,0,0
"62",78,"Local",0,0,0,0
"63",78,"Local",0,0,0,0
"64",78,"Local",0,0,0,0
"65",78,"Local",0,0,0,0
"66",78,"Local",0,0,0,0
"67",78,"Local",0,0,0,0
"68",78,"Local",0,0,0,0
"69",78,"Local",0,0,0,0
"70",78,"Local",0,0,0,0
"71",78,"Local",0,0,0,0
"72",78,"Local",0,0,0,0
"73",78,"Local",0,0,0,0
"74",78,"Local",0,0,0,0
"75",78,"Local",0,0,0,0
"76",78,"Local",0,0,0,0
"77",78,"Local",0,0,0,0
"78",78,"Local",0,0,0,0
"79",78,"Local",0,0,0,0
"80",78,"Local",0,0,0,0
"81",78,"Local",0,0,0,0
"82",78,"Local",0,0,0,0
"83",78,"Local",0,0,0,0
"84",78,"Local",0,0,0,0
"85",78,"Local",0,0,0,0
"86",78,"Local",0,0,0,0
"87",78,"Local",0,0,0,0
"88",78,"Local",0,0,0,0
"89",78,"Local",0,0,0,0
"90",78,"Local",0,0,0,0
"91",78,"Local",0,0,0,0
"92",78,"Local",0,0,0,0
"93",78,"Local",0,0,0,0
"94",78,"Local",0,0,0,0
"95",78,"Local",0,0,0,0
"96",78,"Local",0,0,0,0
"97",78,"Dist",0,0,0,0
"98",78,"Dist",0,0,0,0
"99",78,"Dist",0,0,0,0
"100",78,"Dist",0,0,0,0
"101",78,"Dist",0,0,0,0
"102",78,"Dist",0,0,0,0
"103",78,"Dist",0.4,0,0,0
"104",78,"Dist",0,0,0,0
"105",78,"Dist",0,0,0,0
"106",78,"Dist",0,0,0,0
"107",78,"Dist",0,0,0,0
"108",78,"Dist",0,0,0,0
"109",78,"Dist",0,0,0,0
"110",78,"Dist",0,0,0,0
"111",78,"Dist",0,0,0,0
"112",78,"Dist",0,0,0,0
"113",78,"Dist",0,0,0,0
"114",78,"Dist",0,0,0,0
"115",78,"Dist",0,0,0,0
"116",78,"Dist",0,0,0,0
"117",78,"Dist",0,0,0,0
"118",78,"Dist",0,0,0,0
"119",78,"Dist",0,0,0,0
"120",78,"Dist",0,0,0,0
"121",78,"Dist",0,0,0,0
"122",78,"Dist",0,0,0,0
"123",78,"Dist",0,0,0,0
"124",78,"Dist",0,0,0,0
"125",78,"Dist",0,0,0,0
"126",78,"Dist",0,0,0,0
"127",78,"Dist",0,0,0,0
"128",78,"Dist",0,0,0,0
"129",78,"Dist",0,0,0,0
"130",78,"Dist",0,0,0,0
"131",78,"Dist",0,0,0,0
"132",78,"Dist",0,0,0,0
"133",78,"Dist",0,0,0,0
"134",78,"Dist",0,0,0,0
"135",78,"Dist",0,0,0,0
"136",78,"Dist",0,0,0,0
"137",78,"Dist",0,0,0,0
"138",78,"Dist",0,0,0,0
"139",78,"Dist",0,0,0,0
"140",78,"Dist",0,0,0,0
"141",78,"Dist",0,0,0,0
"142",78,"Dist",0,0,0,0
"143",78,"Dist",0,0,0,0
"144",78,"Dist",0,0,0,0
"145",78,"Dist",0,0,0,0
"146",78,"Dist",0,0,0,0
"147",78,"Dist",0,0,0,0
"148",78,"Dist",0,0,0,0
"149",78,"Dist",0,0,0,0
"150",78,"Dist",0,0,0,0
"151",78,"Dist",0,0,0,0
"152",78,"Dist",0,0,0,0
"153",78,"Dist",0,0,0,0
"154",78,"Dist",0,0,0,0
