"","Site","Overal_Indep","Dep","Spec_Indep","Estimate","STDError","Pr(>|z|)"
"1","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","CSCD","45.8603477007859","64243.0147612328","0.999430424297307"
"2","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","CSCO","362.743995944663","63870.9266290407","0.995468575559085"
"3","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","KLMT","59.8878683744623","39246.1151625056","0.998782463262589"
"4","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","PULO","-20.1445255421282","45887.6251998941","0.999649731156745"
"5","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","SRNA","138.885989110974","77820.789328008","0.998576024111887"
"6","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","WIVA","53.2774654180456","39246.1242347074","0.998916854724684"
"7","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","Dist","29.8924525156721","61.3661351543073","0.626175825597927"
"8","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","Slope","-286.783468233776","288.278443832805","0.319826674452639"
"9","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","Aspect","12.5660927099534","14.9044446359999","0.3991666866475"
"10","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","MSP","-85.3175078286172","91.267613764786","0.349888315848949"
"11","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","CSCD","109.980333018642","40233.2517525777","0.997818930943948"
"12","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","CSCO","787.303747490745","35686.498300756","0.98239876197051"
"13","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","KLMT","166.590283880087","17518.8752798019","0.992412879811799"
"14","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","PULO","36.9897096952535","28775.9795724538","0.99897436992293"
"15","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","SRNA","366.920922279539","40141.6094514352","0.992706907714966"
"16","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","WIVA","100.817709736875","17518.577172643","0.995408277210817"
"17","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","Dist","39.0593374870462","41.0866704224298","0.341778441094299"
"18","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","Slope","-553.630372908666","468.466767255123","0.23728816232145"
"19","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","ElevDist","-21.995718278177","19.0926330453771","0.249299443432342"
