"","Site","Dep","Indep","Rand","AIC","R2m","R2c"
"1","PuyallupValley","TotGrowth","Dist","Block","15406.1445737823","0.00125693004215977","0.00497387410263635"
"2","PuyallupValley","TotGrowth","Aspect","Block","15407.564092281","0.0017899584589071","0.00496984431296477"
"3","PuyallupValley","TotGrowth","MSP","Block","15408.2724718802","0.00112493675505613","0.00466374998251005"
"4","PuyallupValley","TotGrowth","DD.5.sp","Block","15409.4044790887","4.12354677745178e-05","0.00328079903416977"
"5","PuyallupHill","TotGrowth","Dist","Block","15390.7623812236","2.5687770461483e-05","0.00178215794847247"
"6","PuyallupHill","TotGrowth","Dist_Slope","Block","15393.8457422305","0.000904210331536573","0.0026659049971577"
"7","PuyallupHill","TotGrowth","Dist_Aspect","Block","15394.2402160344","0.000525781113230633","0.00224122158833852"
"8","PuyallupHill","TotGrowth","Dist_eFFP","Block","15394.1569435288","0.000606278743867393","0.00237596593219393"
"9","PuyallupHill","TotGrowth","Dist_MSP","Block","15393.2102926784","0.00151322780725417","0.00314409423827158"
"10","PuyallupHill","TotGrowth","Aspect","Block","15392.2574711152","0.000509228931978713","0.00224355126627379"
"11","PuyallupHill","TotGrowth","Aspect_DD.5.sp","Block","15395.6184856666","0.00112090577224484","0.00285819215945496"
"12","PuyallupHill","TotGrowth","eFFP","Block","15392.1939758205","0.000570510293120922","0.00231473031896652"
"13","PuyallupHill","TotGrowth","eFFP_MSP","Block","15394.9773115112","0.00173501924446135","0.00345787244161291"
"14","PuyallupHill","TotGrowth","eFFP_DD.5.sp","Block","15395.6267402729","0.00111371811499742","0.00289339623470135"
"15","PuyallupHill","TotGrowth","MSP","Block","15392.4620224719","0.00031469068823239","0.00193358339888569"
"16","PuyallupHill","TotGrowth","MSP_DD.5.sp","Block","15394.1064979581","0.00256925851601648","0.00418831814502171"
"17","Starker","TotGrowth","Dist","Block","21789.0157947746","0.000621072640587981","0.00066336438630996"
"18","Starker","TotGrowth","Dist_MSP","Block","21790.3639216235","0.00223679431771429","0.00228250530968582"
"19","Starker","TotGrowth","Slope","Block","21792.0004372614","2.12798871914324e-05","6.48811218100178e-05"
"20","Starker","TotGrowth","Aspect_MSP","Block","21792.481231898","0.00216516108663415","0.00220997010917262"
"21","Starker","TotGrowth","eFFP_MSP","Block","21791.181131762","0.0029549788981665","0.00299697610186412"
"22","Starker","TotGrowth","MSP","Block","21788.6965080226","0.00203403276967628","0.00207841840475273"
"23","Starker","TotGrowth","DD.5.sp","Block","21790.0965065554","0.00118138759435407","0.00122455119294717"
"24","Sprague","TotGrowth","Dist","Block","11496.0844965712","0.00741953062685718","0.0102124469689621"
"25","Sprague","TotGrowth","Dist_DD.5.sp","Block","11497.9528730457","0.00952264360350584","0.0123955944142768"
