"","Site","Overal_Indep","Dep","Spec_Indep","Estimate","Lower","Upper","P_val"
"1","PuyallupValley","Dist","TotGrowth","Dist","-0.053529283427817","-0.145137458231142","0.0380788913755082","0.25226506988367"
"2","PuyallupValley","Aspect","TotGrowth","Aspect","-0.035542234785126","-0.315079326149486","0.243994856579234","0.803304964197804"
"3","PuyallupValley","Aspect","TotGrowth","Aspect2","-1.65863061977144e-05","-0.000304643234339906","0.000271470621944477","0.910191736256227"
"4","PuyallupValley","MSP","TotGrowth","MSP","0.0524779956995718","-0.334768965184032","0.439724956583176","0.790650811983603"
"5","PuyallupValley","MSP","TotGrowth","MSP2","-0.00150243840688143","-0.00425316316990421","0.00124828635614134","0.284760208946131"
"6","PuyallupValley","DD.5.sp","TotGrowth","DD.5.sp","-0.0149942526264073","-0.414869466893835","0.384880961641021","0.941443410018556"
"7","PuyallupValley","DD.5.sp","TotGrowth","DD.5.sp2","4.98757549162859e-06","-9.04805162786719e-05","0.000100455667261929","0.918484731426309"
"8","PuyallupHill","Dist","TotGrowth","Dist","0.00562844117410314","-0.0618480846158602","0.0731049669640664","0.870140106718492"
"9","PuyallupHill","Dist_Slope","TotGrowth","Dist","0.015248018950015","-0.0552953644576139","0.0857914023576439","0.672142745894367"
"10","PuyallupHill","Dist_Slope","TotGrowth","Slope","3.62964015882417","-14.0388240441818","21.2981043618301","0.687521625727646"
"11","PuyallupHill","Dist_Slope","TotGrowth","Slope2","-0.126567586478106","-0.550033476819294","0.296898303863083","0.558430974015192"
"12","PuyallupHill","Dist_Aspect","TotGrowth","Dist","-0.00500877201597032","-0.0797889089428764","0.0697713649109357","0.895658680116714"
"13","PuyallupHill","Dist_Aspect","TotGrowth","Aspect","0.0386137764420425","-0.228799520075862","0.306027072959947","0.777386017784446"
"14","PuyallupHill","Dist_Aspect","TotGrowth","Aspect2","-7.6848915434909e-06","-0.000293291099241689","0.000277921316154707","0.957982947765739"
"15","PuyallupHill","Dist_eFFP","TotGrowth","Dist","0.00662684508597929","-0.0608906144980048","0.0741443046699634","0.847602858352572"
"16","PuyallupHill","Dist_eFFP","TotGrowth","eFFP","0.0588555228453378","-0.0986981352731734","0.216409180963849","0.46457159649961"
"17","PuyallupHill","Dist_eFFP","TotGrowth","eFFP2","-1.55622460061639e-05","-6.44508064098727e-05","3.33263143975449e-05","0.533140424799195"
"18","PuyallupHill","Dist_MSP","TotGrowth","Dist","0.083359901673908","-0.0627976623641693","0.229517465711985","0.264248787432891"
"19","PuyallupHill","Dist_MSP","TotGrowth","MSP","0.28939051201888","-0.168526642295075","0.747307666332835","0.21610418674452"
"20","PuyallupHill","Dist_MSP","TotGrowth","MSP2","-0.00157146048572451","-0.00515846157427525","0.00201554060282623","0.391084310595156"
"21","PuyallupHill","Aspect","TotGrowth","Aspect","0.032711450409907","-0.219797265110984","0.285220165930798","0.799672576407135"
"22","PuyallupHill","Aspect","TotGrowth","Aspect2","-3.44772882591033e-06","-0.000281983308858088","0.000275087851206268","0.980654722887307"
"23","PuyallupHill","Aspect_DD.5.sp","TotGrowth","Aspect","0.0256141905188597","-0.237864260247549","0.289092641285268","0.849108101243652"
"24","PuyallupHill","Aspect_DD.5.sp","TotGrowth","Aspect2","1.10915455959076e-05","-0.000278473933104232","0.000300657024296047","0.940243379897652"
"25","PuyallupHill","Aspect_DD.5.sp","TotGrowth","DD.5.sp","0.089230994812372","-0.223151853057054","0.401613842681798","0.576168895425892"
"26","PuyallupHill","Aspect_DD.5.sp","TotGrowth","DD.5.sp2","-2.66921368152509e-05","-0.000109000243271784","5.56159696412825e-05","0.52568334572954"
"27","PuyallupHill","eFFP","TotGrowth","eFFP","0.0581984459679453","-0.09922089268597","0.215617784621861","0.468978835677381"
"28","PuyallupHill","eFFP","TotGrowth","eFFP2","-1.53555568608423e-05","-6.42021761071991e-05","3.34910623855145e-05","0.53804828685662"
"29","PuyallupHill","eFFP_MSP","TotGrowth","eFFP","0.124883452249074","-0.0856319475727994","0.335398852070947","0.245799214735696"
"30","PuyallupHill","eFFP_MSP","TotGrowth","eFFP2","-5.72168287863844e-05","-0.000149630073063958","3.51964154911889e-05","0.225789280177572"
"31","PuyallupHill","eFFP_MSP","TotGrowth","MSP","0.341991312932077","-0.28225088885386","0.966233514718014","0.283770527988162"
"32","PuyallupHill","eFFP_MSP","TotGrowth","MSP2","0.00269250540415905","-0.00254426949283272","0.00792928030115082","0.314419626102141"
"33","PuyallupHill","eFFP_DD.5.sp","TotGrowth","eFFP","0.0648547741614035","-0.0935056542268675","0.223215202549674","0.422914613469751"
"34","PuyallupHill","eFFP_DD.5.sp","TotGrowth","eFFP2","-1.74336099678409e-05","-6.65786779575309e-05","3.1711458021849e-05","0.487576756053751"
"35","PuyallupHill","eFFP_DD.5.sp","TotGrowth","DD.5.sp","0.060053874020968","-0.246768928401021","0.366876676442957","0.701688963353103"
