"","Group","Dep","Indep","MAE1","MAE2","MAE3","MAE4","MAE5"
"1","PuyallupValley","TotGrowth","Dist","54.1024470502151","55.8298974576213","64.0449633144107","55.2337754341871","56.4203633087259"
"2","PuyallupValley","TotGrowth","Aspect","54.3405966740458","55.630765015625","64.5730663912162","55.3871333063163","56.2555453946593"
"3","PuyallupValley","TotGrowth","MSP","54.0139087873482","55.7570483813892","64.3044435267347","55.1364056660255","56.6554572482112"
"4","PuyallupValley","TotGrowth","DD.5.sp","54.083467302332","56.4753790020281","64.0129666067452","55.2180467713335","56.306120494871"
"5","PuyallupHill","TotGrowth","Dist","36.7740992307643","35.6969178177529","32.7785586478762","35.4765132580824","33.5422954446771"
"6","PuyallupHill","TotGrowth","Dist_Slope","36.6716847709001","35.5908593682563","32.9616149534053","35.8684388017694","33.7348272450347"
"7","PuyallupHill","TotGrowth","Dist_Aspect","36.7022764622931","35.49973647132","32.8419798520173","36.0105470549445","33.6671784919147"
"8","PuyallupHill","TotGrowth","Dist_eFFP","36.6365918177048","35.5263537625691","33.0332381416867","35.748148389226","33.673230784607"
"9","PuyallupHill","TotGrowth","Dist_MSP","36.5911096945936","35.58803344101","33.1059237755529","35.6514778384512","33.6355460284787"
"10","PuyallupHill","TotGrowth","Aspect","36.7984418003489","35.2076428684385","32.828079528148","35.6016198525892","33.6527118492375"
"11","PuyallupHill","TotGrowth","Aspect_DD.5.sp","36.8486132855142","35.646632506221","32.9192891475469","35.8088823944274","33.7885468468706"
"12","PuyallupHill","TotGrowth","eFFP","36.6908081029834","35.2851571495411","33.0337090840325","35.55371434203","33.6752427559096"
"13","PuyallupHill","TotGrowth","eFFP_MSP","36.5535134256338","35.4854236283239","32.990595580212","35.550980622861","33.688095086853"
"14","PuyallupHill","TotGrowth","eFFP_DD.5.sp","36.7314769527094","35.6708335557381","33.0592719074025","35.640622739051","33.7505191468007"
"15","PuyallupHill","TotGrowth","MSP","36.721208825667","35.4330155747209","33.0712557435683","35.2222056118699","33.6629474603199"
"16","PuyallupHill","TotGrowth","MSP_DD.5.sp","36.7988939571144","35.8806297564174","33.2145958764814","35.278681889746","33.753733076179"
"17","Starker","TotGrowth","Dist","42.3258138003578","35.5567284486737","36.4956104426672","38.4722167135473","38.7255909122694"
"18","Starker","TotGrowth","Dist_MSP","42.2997178687198","35.43057586323","36.3822358470197","38.4591143760175","38.8870940412727"
"19","Starker","TotGrowth","Slope","42.1431514160495","35.4876065288129","36.475425118492","38.5717242139732","38.7270443739329"
"20","Starker","TotGrowth","Aspect_MSP","42.189466657253","35.6224124530511","36.3336096064655","38.4997679527393","38.8973195549308"
"21","Starker","TotGrowth","eFFP_MSP","42.196863240969","35.6019651668697","36.3330063555818","38.4605824996846","38.8711683918811"
"22","Starker","TotGrowth","MSP","42.2752498570513","35.4339838765133","36.379633153025","38.4559060963482","38.9024477325735"
"23","Starker","TotGrowth","DD.5.sp","42.2166561007898","35.5224212147387","36.4776371870043","38.4500830303282","38.8686968322534"
"24","Sprague","TotGrowth","Dist","18.1540042715028","15.6361837896764","18.428927291749","18.430701932093","16.3910394899903"
"25","Sprague","TotGrowth","Dist_DD.5.sp","18.1142971011206","15.5708219454701","18.3844083205479","18.3924307446922","16.7130228692011"
